validation_volume,rank,training_volume,standardized_distance
104,1,64,3.47522331755104
104,2,95,4.006778047600893
104,3,93,4.050286449576214
105,1,87,0.6351591181874263
105,2,47,0.8078760506712739
105,3,74,1.219512600526107
106,1,87,0.9139965536004193
106,2,41,1.018952691372948
106,3,78,1.2816132424866378
107,1,50,1.537559021950594
107,2,65,1.637652615576925
107,3,85,1.9624761904402823
108,1,37,0.8675234026087231
108,2,57,0.867750814163563
108,3,90,0.9924150939277441
109,1,95,2.9097260629837036
109,2,93,3.027257874355057
109,3,4,3.1001322373736517
110,1,50,1.039460594578464
110,2,0,1.3856958063496352
110,3,62,2.0106081818427333
111,1,98,0.6799747603622411
111,2,83,1.0828919309200027
111,3,97,1.3859813241712422
112,1,83,2.383246365183779
112,2,92,2.4034474107820785
112,3,88,2.4492846848448226
113,1,28,1.1296212899347564
113,2,14,1.1695021666079741
113,3,0,1.1829907101423618
114,1,71,0.879845569963522
114,2,38,0.9696247333511673
114,3,37,1.0518192682617504
115,1,91,1.082969085626244
115,2,41,1.4115719644875813
115,3,1,1.563755633320599
116,1,19,1.3524486400791293
116,2,11,1.5084249535843712
116,3,32,1.901199313055071
