split,volume_id,sampled_slices,manifest_tumor_pixels,liver_mean,liver_std,liver_p10,liver_p50,liver_p90,tumor_mean,tumor_std,tumor_p10,tumor_p50,tumor_p90,tumor_liver_contrast,tumor_to_liver_std_ratio
train,0,24,644,119.8671875,20.20997428894043,103.5294189453125,122.35293579101562,136.4705810546875,87.71084594726562,21.45163345336914,54.90196228027344,88.62744903564453,116.07843017578125,-32.156341552734375,1.0614379388452853
train,1,24,1793,113.31777954101562,19.75020980834961,95.686279296875,116.07843017578125,128.62744140625,68.2818374633789,20.023162841796875,43.92156982421875,70.58824157714844,90.98039245605469,-45.03594207763672,1.0138202599413335
train,2,29,1967,84.05121612548828,15.71003532409668,65.88235473632812,84.70588684082031,101.96078491210938,55.49803924560547,16.871870040893555,32.94117736816406,56.4705810546875,76.86274719238281,-28.553176879882812,1.0739549398093846
train,3,29,697,100.53093719482422,20.756393432617188,80.0,101.96078491210938,120.7843017578125,76.57355499267578,14.319664001464844,57.725486755371094,76.86274719238281,94.4313735961914,-23.957382202148438,0.6898917216977838
train,4,31,46318,76.89115905761719,27.64997673034668,47.05882263183594,81.56863403320312,101.96078491210938,29.391942977905273,18.487791061401367,10.980392456054688,29.803924560546875,48.62745666503906,-47.499216079711914,0.6686367674628262
train,5,25,135,75.0263442993164,20.5037841796875,54.90196228027344,75.29411315917969,95.686279296875,57.378746032714844,12.296908378601074,42.352935791015625,57.25489807128906,72.62744903564453,-17.647598266601562,0.5997384809962671
train,6,30,1537,83.63397979736328,23.851654052734375,67.45097351074219,86.27450561523438,103.5294189453125,45.19956588745117,16.200483322143555,25.098037719726562,43.92156982421875,67.45097351074219,-38.43441390991211,0.6792184427262526
train,7,32,2111,86.63365173339844,26.73137092590332,67.45097351074219,89.41175842285156,109.80392456054688,45.19057083129883,18.789779663085938,24.000003814697266,43.92156982421875,67.45097351074219,-41.44308090209961,0.7029111868287385
train,8,31,1296,82.43161010742188,21.815195083618164,64.313720703125,84.70588684082031,101.96078491210938,46.43800354003906,13.556817054748535,29.803924560546875,45.49018859863281,64.313720703125,-35.99360656738281,0.6214391850627479
train,9,31,1581,85.1571273803711,24.58538055419922,67.45097351074219,87.8431396484375,105.09805297851562,51.74534225463867,16.089881896972656,34.50981140136719,50.196075439453125,73.72549438476562,-33.41178512573242,0.6544491699651352
train,10,30,1486,91.86815643310547,20.11737060546875,72.1568603515625,94.11764526367188,111.37255859375,49.662166595458984,14.68612289428711,31.372543334960938,48.62745666503906,69.01960754394531,-42.205989837646484,0.7300219885741331
train,11,29,874,79.779052734375,19.04734230041504,58.039215087890625,78.43136596679688,101.96078491210938,57.5533561706543,18.567380905151367,34.50981140136719,56.4705810546875,79.21568298339844,-22.225696563720703,0.9748016606362341
train,12,24,204,85.47283172607422,16.949731826782227,67.45097351074219,84.70588684082031,105.09805297851562,59.48945617675781,13.288773536682129,45.803916931152344,58.039215087890625,77.80391693115234,-25.983375549316406,0.7840108429140202
train,13,30,1837,55.591957092285156,19.88544464111328,37.647064208984375,54.90196228027344,75.29411315917969,38.04005813598633,13.293149948120117,20.39215087890625,39.21568298339844,54.90196228027344,-17.551898956298828,0.6684864325656791
train,14,30,649,107.17940521240234,17.093820571899414,89.41175842285156,106.66665649414062,125.49020385742188,79.87081909179688,18.348819732666016,56.4705810546875,83.13725280761719,100.54901123046875,-27.30858612060547,1.073418294961496
train,15,27,229,63.82921600341797,14.721502304077148,48.62745666503906,64.313720703125,80.0,47.70619583129883,10.508316993713379,34.82353591918945,47.05882263183594,60.54901885986328,-16.12302017211914,0.7138073802972595
train,16,31,18247,107.20549774169922,22.541242599487305,84.70588684082031,108.23529052734375,130.19607543945312,73.63838195800781,17.94527816772461,50.196075439453125,73.72549438476562,95.686279296875,-33.567115783691406,0.7961086478938286
train,17,30,3138,95.69538116455078,17.616069793701172,78.43136596679688,97.25491333007812,114.50979614257812,62.73522186279297,14.137495040893555,43.92156982421875,62.74510192871094,81.56863403320312,-32.96015930175781,0.8025340048294188
train,18,31,1128,98.06985473632812,16.876676559448242,83.13725280761719,98.82351684570312,114.50979614257812,80.28668212890625,13.435022354125977,64.1568603515625,80.78431701660156,95.686279296875,-17.783172607421875,0.7960703819144126
train,19,30,1560,68.83450317382812,23.601593017578125,42.352935791015625,67.45097351074219,95.686279296875,49.016658782958984,19.49091911315918,25.098037719726562,47.05882263183594,72.1568603515625,-19.81784439086914,0.8258306589153802
train,20,30,309,76.92083740234375,28.027141571044922,50.196075439453125,75.29411315917969,101.96078491210938,42.25956726074219,20.38691520690918,17.254898071289062,42.352935791015625,62.74510192871094,-34.66127014160156,0.7273990162439924
train,21,30,2582,92.95366668701172,13.830070495605469,76.86274719238281,94.11764526367188,109.80392456054688,72.90279388427734,15.08284854888916,54.90196228027344,72.1568603515625,92.54902648925781,-20.050872802734375,1.0905836346735733
train,22,24,2360,102.24137878417969,21.868682861328125,80.0,105.09805297851562,120.7843017578125,47.53072738647461,15.096940040588379,29.803924560546875,45.49018859863281,69.01960754394531,-54.71065139770508,0.6903451907149526
train,23,31,5847,95.0325927734375,21.29370880126953,75.29411315917969,94.11764526367188,117.64706420898438,45.83723449707031,16.068859100341797,26.666671752929688,43.92156982421875,67.45097351074219,-49.19535827636719,0.7546294189664025
train,24,22,352,93.80338287353516,12.86881160736084,78.43136596679688,94.11764526367188,108.23529052734375,82.24835968017578,10.867895126342773,70.2745132446289,83.13725280761719,94.11764526367188,-11.555023193359375,0.8445142766816509
train,25,26,119,123.2691879272461,16.080371856689453,108.23529052734375,123.92156982421875,138.03921508789062,85.259521484375,14.00380802154541,67.45097351074219,83.92156982421875,102.11764526367188,-38.009666442871094,0.8708634443500017
train,26,30,2921,88.68547821044922,15.892326354980469,72.1568603515625,89.41175842285156,106.66665649414062,50.835853576660156,12.355195045471191,36.07843017578125,50.196075439453125,65.88235473632812,-37.84962463378906,0.7774314955216873
train,27,30,7461,90.73303985595703,18.20949363708496,73.72549438476562,92.54902648925781,108.23529052734375,52.80794906616211,17.28873634338379,31.372543334960938,51.76470947265625,75.29411315917969,-37.92509078979492,0.9494353158823713
