volume_id,slice_index,component_count,tiny_components_lt_10px,smallest_component_pixels,largest_component_pixels
0,58,5,2,6,85
0,60,8,7,1,40
0,62,1,1,3,3
0,65,1,1,2,2
0,68,1,1,7,7
1,58,4,1,8,176
1,60,4,1,1,85
1,61,3,1,2,62
1,63,3,2,1,20
1,66,3,1,9,53
1,67,2,1,2,69
1,73,2,1,1,52
2,440,1,1,5,5
2,442,2,1,3,35
2,444,2,1,1,74
2,466,2,1,1,71
3,368,2,1,4,18
3,369,3,3,1,2
4,347,2,2,1,4
4,356,2,1,1,120
4,369,2,1,1,353
4,370,2,1,2,368
4,385,2,1,1,786
4,398,2,1,5,1002
4,401,3,1,2,1001
4,402,3,1,2,993
4,403,3,1,3,992
4,404,3,1,5,985
4,405,2,1,6,1153
4,406,2,1,6,1137
4,412,2,1,1,1105
4,413,2,1,1,1129
4,414,2,1,4,1139
4,415,2,1,7,1171
4,419,4,1,1,698
4,420,4,1,4,743
4,421,6,3,1,759
4,423,6,2,1,800
4,424,4,1,2,940
4,425,4,1,1,950
4,426,3,1,1,1005
4,436,5,1,2,1298
4,437,5,2,1,1326
4,438,5,2,1,1391
4,440,4,1,4,1657
4,441,5,2,1,1792
4,444,5,1,1,1899
4,445,7,4,1,1928
4,458,4,1,5,2355
4,459,4,1,2,2251
4,460,4,1,1,2286
4,462,4,1,1,2314
4,464,5,1,1,2075
4,468,6,1,6,1995
4,469,7,2,1,1951
4,472,6,1,5,1934
4,473,8,3,1,1925
4,479,6,1,3,1857
4,480,6,1,2,1857
4,481,6,1,1,1823
4,487,4,1,6,1863
4,490,5,1,1,1538
4,491,5,1,2,1586
4,492,6,3,1,1519
4,495,5,1,1,1523
4,496,5,1,4,1520
4,497,5,1,7,1522
4,500,4,1,1,1563
4,501,4,1,1,1583
4,503,4,1,1,1640
4,504,4,1,1,1694
4,505,4,1,2,1734
4,509,4,1,3,1833
4,513,4,1,1,1863
4,515,5,1,2,1845
4,516,5,2,1,1861
4,517,5,2,1,1863
4,518,4,1,1,1873
4,519,5,2,2,1891
4,521,2,1,5,1867
4,522,3,2,1,1832
4,536,2,1,1,1470
4,577,3,2,1,336
4,580,3,2,2,200
4,582,2,1,2,107
4,583,2,1,1,71
4,584,3,2,3,41
4,585,2,1,2,31
4,587,2,1,1,14
4,588,1,1,9,9
4,589,1,1,4,4
4,590,1,1,1,1
5,451,2,2,1,2
5,460,1,1,8,8
6,336,1,1,1,1
6,337,1,1,5,5
6,344,2,1,2,131
6,345,2,1,4,153
6,346,2,1,7,181
6,363,2,1,3,120
6,365,3,1,1,93
6,366,7,5,1,41
6,375,2,1,1,52
6,376,2,1,2,49
6,377,2,1,6,23
6,378,2,1,1,16
6,381,2,1,1,65
6,401,1,1,6,6
6,402,1,1,2,2
6,447,1,1,2,2
6,450,1,1,8,8
6,451,1,1,3,3
6,463,1,1,3,3
6,464,1,1,6,6
6,467,3,2,3,34
6,468,3,1,9,40
6,474,3,1,4,31
6,480,1,1,7,7
6,481,1,1,1,1
7,358,2,2,1,1
7,393,1,1,8,8
7,394,1,1,4,4
7,396,1,1,6,6
7,417,1,1,7,7
7,458,1,1,7,7
7,463,1,1,5,5
7,464,1,1,3,3
7,475,1,1,4,4
7,476,2,2,1,8
7,477,2,1,5,31
7,478,2,1,8,39
7,482,3,1,8,40
8,367,1,1,2,2
8,369,2,1,9,29
8,388,3,2,1,100
8,400,1,1,9,9
8,401,1,1,3,3
8,407,1,1,4,4
8,427,1,1,4,4
8,468,1,1,1,1
8,469,1,1,4,4
8,470,1,1,8,8
8,472,2,1,1,17
8,473,2,1,3,16
8,478,2,1,6,31
8,479,3,2,1,34
8,480,2,1,1,39
8,481,2,1,7,34
8,484,2,1,4,34
8,485,2,1,1,49
8,491,1,1,7,7
8,492,1,1,2,2
9,371,1,1,5,5
9,392,3,1,3,58
9,394,2,1,7,35
9,401,1,1,8,8
9,411,1,1,4,4
9,431,1,1,2,2
9,473,1,1,2,2
9,481,1,1,2,2
9,482,1,1,1,1
9,493,1,1,4,4
9,501,4,3,3,36
9,505,3,1,1,34
9,506,2,1,7,35
9,510,1,1,1,1
10,327,1,1,3,3
10,329,3,2,2,45
10,347,3,2,3,116
10,367,1,1,2,2
10,388,1,1,4,4
10,426,1,1,1,1
10,427,1,1,3,3
10,428,1,1,8,8
10,435,2,2,2,2
10,456,1,1,3,3
10,457,1,1,5,5
10,462,2,1,8,44
10,466,3,1,3,44
10,467,2,1,5,50
10,472,1,1,5,5
11,301,1,1,5,5
11,388,1,1,2,2
11,389,1,1,5,5
11,390,1,1,7,7
11,392,2,1,1,19
11,403,1,1,7,7
11,409,1,1,4,4
11,411,2,1,2,22
11,412,4,2,2,31
11,415,4,2,1,82
11,416,3,1,1,101
11,418,2,1,2,101
11,419,2,1,2,91
11,420,3,2,3,48
11,421,4,3,1,29
11,422,3,3,2,8
11,423,3,3,1,1
12,420,2,2,2,4
13,332,3,1,3,145
13,333,3,1,3,158
13,334,2,1,9,151
13,338,3,1,1,133
13,341,2,1,6,105
13,347,1,1,9,9
13,348,2,1,2,24
13,349,2,1,2,30
13,350,2,1,9,40
13,351,3,1,7,46
13,352,3,1,8,49
13,353,3,1,8,53
13,354,3,1,6,105
13,355,3,1,1,105
13,356,3,1,1,112
13,357,3,1,3,121
13,358,5,2,1,124
13,359,3,1,7,125
13,360,3,1,4,125
13,363,3,1,1,141
13,364,4,2,1,146
13,366,2,1,6,152
13,374,2,1,7,44
13,375,2,1,2,36
13,376,2,1,2,11
13,388,2,2,3,3
13,389,1,1,6,6
13,390,2,1,1,15
13,401,1,1,4,4
14,347,1,1,2,2
14,348,2,2,2,7
14,349,3,2,4,19
14,350,3,2,1,44
14,358,2,1,1,28
14,361,1,1,9,9
14,362,2,2,1,1
15,322,1,1,1,1
15,323,2,2,2,6
15,324,3,2,1,15
15,325,2,1,2,36
15,330,3,3,1,2
15,331,4,4,1,6
15,332,3,3,1,2
15,333,1,1,1,1
16,284,1,1,1,1
16,285,1,1,4,4
16,286,1,1,4,4
16,287,1,1,4,4
16,288,1,1,3,3
16,289,1,1,1,1
16,301,4,3,1,14
16,302,3,1,5,22
16,303,3,1,2,40
16,304,3,1,2,42
16,305,3,1,3,46
16,306,3,1,5,50
16,317,2,1,7,30
16,318,2,1,5,24
16,319,2,1,4,22
16,323,3,3,1,1
16,359,2,1,7,11
16,360,3,2,6,29
16,361,3,1,3,54
16,362,4,2,1,76
16,363,3,1,2,102
16,367,4,2,2,124
16,371,3,1,3,169
16,372,3,1,3,160
16,374,2,1,6,162
16,375,3,2,2,168
16,376,4,1,6,159
16,377,4,1,3,191
16,381,4,1,3,229
16,382,5,2,3,197
16,383,9,5,1,184
16,384,12,4,1,135
16,385,10,2,2,127
16,386,14,7,1,133
16,387,10,3,3,147
16,388,12,4,1,156
16,389,13,5,1,171
16,390,11,3,4,186
16,391,11,4,1,204
16,392,10,3,1,206
16,393,12,6,1,219
16,394,14,7,1,259
16,395,11,6,1,772
16,396,10,5,1,817
16,397,9,3,1,841
16,398,12,6,1,864
16,399,12,4,1,913
16,400,12,7,1,963
16,401,7,3,1,1008
16,402,8,4,2,1046
16,403,7,2,2,1064
16,404,6,2,2,1093
16,405,5,1,2,1130
16,406,6,2,1,1163
16,407,5,1,2,1202
16,408,5,1,7,1262
16,410,5,2,1,1416
16,411,5,2,2,1433
16,412,6,3,1,1450
16,416,5,1,1,1543
16,417,5,1,1,1570
16,418,6,2,1,1617
16,419,6,3,2,1669
16,420,5,2,2,1730
16,425,5,2,1,1866
16,426,6,3,1,1868
16,427,4,1,2,1812
16,429,4,2,1,1705
