volume_id,saved_slice_index,candidate_source_slice,offset,image_correlation
0,65,60,-5,0.8264777524206667
0,65,61,-4,0.8491281321592963
0,65,62,-3,0.873957016986585
0,65,63,-2,0.9039369466915849
0,65,64,-1,0.9541634370095656
0,65,65,0,1.0
0,65,66,1,0.9527856835917726
0,65,67,2,0.8839494754946533
0,65,68,3,0.8141536665607088
0,65,69,4,0.7297677716883265
0,65,70,5,0.6715596520237797
1,65,60,-5,0.8470867625795795
1,65,61,-4,0.8658296482955095
1,65,62,-3,0.8865744800470485
1,65,63,-2,0.9159105628063371
1,65,64,-1,0.9603624195656937
1,65,65,0,1.0
1,65,66,1,0.9553569588477446
1,65,67,2,0.8930474796716439
1,65,68,3,0.8239031945548367
1,65,69,4,0.7462603120232014
1,65,70,5,0.7014278871288447
2,436,431,-5,0.921787728759557
2,436,432,-4,0.937148094086558
2,436,433,-3,0.9558300738672997
2,436,434,-2,0.976710169677655
2,436,435,-1,0.9927625390250336
2,436,436,0,1.0
2,436,437,1,0.9925622046335245
2,436,438,2,0.9766539749456659
2,436,439,3,0.9587223956757079
2,436,440,4,0.9406366593507107
2,436,441,5,0.9236418799342749
3,432,427,-5,0.9131802491411061
3,432,428,-4,0.9322780857567928
3,432,429,-3,0.9524856646602242
3,432,430,-2,0.9732622927705478
3,432,431,-1,0.9916678849869095
3,432,432,0,1.0
3,432,433,1,0.9914627697893592
3,432,434,2,0.9724760757656529
3,432,435,3,0.9505042799126904
3,432,436,4,0.9292794566751825
3,432,437,5,0.9100619931993341
4,295,290,-5,0.9322365485367176
4,295,291,-4,0.9473787754240205
4,295,292,-3,0.9633256514084171
4,295,293,-2,0.979629710090761
4,295,294,-1,0.993665991610332
4,295,295,0,1.0
4,295,296,1,0.9934541660936094
4,295,297,2,0.9781618715028141
4,295,298,3,0.9605062752589697
4,295,299,4,0.9434241491046805
4,295,300,5,0.9276280499472742
4,347,342,-5,0.952949546550849
4,347,343,-4,0.9616926195276836
4,347,344,-3,0.9713855343602352
4,347,345,-2,0.9824270536938201
4,347,346,-1,0.9942065587450938
4,347,347,0,1.0
4,347,348,1,0.9944208667159851
4,347,349,2,0.9832686372442999
4,347,350,3,0.9717570931308449
4,347,351,4,0.9602826950457394
4,347,352,5,0.947895868353477
4,464,459,-5,0.9596211390106543
4,464,460,-4,0.9685732481048963
4,464,461,-3,0.9779736538410362
4,464,462,-2,0.9876143071749727
4,464,463,-1,0.9961380201875741
4,464,464,0,1.0
4,464,465,1,0.9957570806578162
4,464,466,2,0.9864763753521081
4,464,467,3,0.9765368344789329
4,464,468,4,0.9675173234593085
4,464,469,5,0.9604333017262026
4,472,467,-5,0.9620686142139492
4,472,468,-4,0.9689284358500734
4,472,469,-3,0.9776809799916268
4,472,470,-2,0.9873215291021916
4,472,471,-1,0.9960141260684345
4,472,472,0,1.0
4,472,473,1,0.9960298310345069
4,472,474,2,0.9872932549307026
4,472,475,3,0.97810560979029
4,472,476,4,0.9695162733271241
4,472,477,5,0.9616206885175616
4,511,506,-5,0.966828775434824
4,511,507,-4,0.9732783945633984
4,511,508,-3,0.9807098430960194
4,511,509,-2,0.9887397600854247
4,511,510,-1,0.9963549994782409
4,511,511,0,1.0
4,511,512,1,0.9962637599040083
4,511,513,2,0.988681933050547
4,511,514,3,0.9804086123774274
4,511,515,4,0.9719100260749259
4,511,516,5,0.9635631100936367
4,596,591,-5,0.9347486442069104
4,596,592,-4,0.9514334958329737
4,596,593,-3,0.9680940528681682
4,596,594,-2,0.983354119257912
4,596,595,-1,0.9952385215162148
4,596,596,0,1.0
4,596,597,1,0.9956002906849727
4,596,598,2,0.9849590641148016
4,596,599,3,0.9728418971294844
4,596,600,4,0.9603550746739261
4,596,601,5,0.9484178924943637
5,428,423,-5,0.9521460232168121
5,428,424,-4,0.962710747613598
5,428,425,-3,0.9730921798744181
5,428,426,-2,0.9828768527714375
5,428,427,-1,0.992578682880202
5,428,428,0,1.0
5,428,429,1,0.9926903933900725
5,428,430,2,0.9822284133505225
5,428,431,3,0.9708102293755174
5,428,432,4,0.9586294974676801
5,428,433,5,0.9465629278961551
6,450,445,-5,0.9171329683416609
6,450,446,-4,0.9346680549275458
6,450,447,-3,0.9536752751774581
6,450,448,-2,0.9741101905390349
6,450,449,-1,0.9919705086746421
6,450,450,0,1.0
6,450,451,1,0.9924878730331368
6,450,452,2,0.9763509502173964
6,450,453,3,0.9574334062281212
6,450,454,4,0.9383944856719334
6,450,455,5,0.9202251446723978
7,465,460,-5,0.8988785698712705
7,465,461,-4,0.9207649849551879
7,465,462,-3,0.9440444234825424
7,465,463,-2,0.9681357139958296
7,465,464,-1,0.990234499151348
7,465,465,0,1.0
7,465,466,1,0.9908636540577076
7,465,467,2,0.970411275902963
7,465,468,3,0.9471025502160838
7,465,469,4,0.9243637906271889
7,465,470,5,0.9031583999056484
8,464,459,-5,0.933914795443838
8,464,460,-4,0.9485805339994847
8,464,461,-3,0.9640719071357732
8,464,462,-2,0.9796240530712949
8,464,463,-1,0.9936652723958642
8,464,464,0,1.0
8,464,465,1,0.9934117864389401
8,464,466,2,0.9786586793141885
8,464,467,3,0.9607207847285276
8,464,468,4,0.9423845533142862
8,464,469,5,0.925391598260601
9,481,476,-5,0.9189688639255019
9,481,477,-4,0.9362127649143009
9,481,478,-3,0.9551623336622853
9,481,479,-2,0.9750027064429136
9,481,480,-1,0.9922892688452067
9,481,481,0,1.0
9,481,482,1,0.9922441844183706
9,481,483,2,0.974288123749663
9,481,484,3,0.9529632279402532
9,481,485,4,0.9315345495528298
9,481,486,5,0.9112280047111749
10,446,441,-5,0.9000701693003162
10,446,442,-4,0.9211571521324188
10,446,443,-3,0.9455856905237257
10,446,444,-2,0.9705738563715977
10,446,445,-1,0.9912368345084783
10,446,446,0,1.0
10,446,447,1,0.9916570931698755
10,446,448,2,0.9731553732897791
10,446,449,3,0.9513495625749444
10,446,450,4,0.9296539317749566
10,446,451,5,0.9091361183926056
11,386,381,-5,0.9126404889830297
11,386,382,-4,0.9323539400333622
11,386,383,-3,0.9519444577383406
