sample_id,volume_id,slice_index,true_pixels,predicted_pixels,intersection_pixels,dice,mean_probability,max_probability
v104_s0000,104,0,0,0,0,1.0,1.3889384717913345e-06,0.008633776567876339
v104_s0001,104,1,0,0,0,1.0,5.3836147344554774e-06,0.0856732651591301
v104_s0002,104,2,0,0,0,1.0,5.620808224193752e-06,0.09077363461256027
v104_s0003,104,3,0,0,0,1.0,5.989744295220589e-06,0.07897038757801056
v104_s0004,104,4,0,0,0,1.0,1.3068497537460644e-06,0.0016938410699367523
v104_s0005,104,5,0,0,0,1.0,1.4227957763068844e-06,0.002342203864827752
v104_s0006,104,6,0,0,0,1.0,1.5593122952850536e-06,0.003910831641405821
v104_s0007,104,7,0,0,0,1.0,1.5964583326422144e-06,0.0018396158702671528
v104_s0008,104,8,0,0,0,1.0,1.5202605254671653e-06,0.0020211604423820972
v104_s0009,104,9,0,0,0,1.0,1.5342557162512094e-06,0.010678503662347794
v104_s0010,104,10,0,0,0,1.0,1.5210328001558082e-06,0.001737853861413896
v104_s0011,104,11,0,0,0,1.0,1.7220299923792481e-06,0.0017142384313046932
v104_s0012,104,12,0,0,0,1.0,1.5244988844642648e-06,0.0021650376729667187
v104_s0013,104,13,0,0,0,1.0,1.432810677215457e-06,0.0019704883452504873
v104_s0014,104,14,0,0,0,1.0,1.4065052482692408e-06,0.0022213018964976072
v104_s0015,104,15,0,0,0,1.0,1.2351138138910756e-06,0.0018136322032660246
v104_s0016,104,16,0,0,0,1.0,1.9664735191327054e-06,0.006465275306254625
v104_s0017,104,17,0,0,0,1.0,1.3367434803512879e-06,0.00268138712272048
v104_s0018,104,18,0,0,0,1.0,1.3733651940128766e-06,0.0017818136839196086
v104_s0019,104,19,0,0,0,1.0,1.4410438780032564e-06,0.002125620376318693
v104_s0020,104,20,0,0,0,1.0,1.953199671334005e-06,0.001598466420546174
v104_s0021,104,21,0,0,0,1.0,2.4618625502625946e-06,0.005813579075038433
v104_s0022,104,22,0,0,0,1.0,1.068511755875079e-05,0.10443327575922012
v104_s0023,104,23,0,0,0,1.0,1.4277263744588709e-06,0.002282294910401106
v104_s0024,104,24,0,0,0,1.0,9.768582458491437e-07,0.0011331625282764435
v104_s0025,104,25,0,0,0,1.0,9.862587830866687e-07,0.0010768212378025055
v104_s0026,104,26,0,0,0,1.0,8.3770135006489e-07,0.0012898803688585758
v104_s0027,104,27,0,0,0,1.0,1.0024341463577002e-06,0.001117441221140325
v104_s0028,104,28,0,24,0,4.166666493055563e-08,0.00041370216058567166,0.9962260723114014
v104_s0029,104,29,0,15,0,6.666666222222252e-08,0.000240612484049052,0.9611469507217407
v104_s0030,104,30,0,0,0,1.0,2.26541828851623e-06,0.013735782355070114
v104_s0031,104,31,0,0,0,1.0,1.2099335435777903e-06,0.007251327857375145
v104_s0032,104,32,0,0,0,1.0,7.862653319534729e-07,0.0008356833714060485
v104_s0033,104,33,0,0,0,1.0,8.299313094539684e-07,0.0008318808395415545
v104_s0034,104,34,0,0,0,1.0,1.0713662277339608e-06,0.0030140208546072245
v104_s0035,104,35,0,0,0,1.0,1.4000758028487326e-06,0.011614165268838406
v104_s0036,104,36,0,0,0,1.0,1.9846775103360415e-06,0.01335463859140873
v104_s0037,104,37,0,0,0,1.0,2.8738033961417386e-06,0.030563896521925926
v104_s0038,104,38,0,0,0,1.0,1.826375978453143e-06,0.024601534008979797
