epoch,train_total_loss,train_liver_loss,train_tumor_loss,train_containment_loss,val_loss,mean_liver_dice,gated_mean_patient_dice,gated_median_patient_dice,gated_worst_patient_dice,gated_volume_104_dice,gated_volume_116_dice,gated_positive_predicted_empty_pct,gated_empty_slice_false_positive_pct,lr,temperature_c,gpu_utilization_pct,gpu_memory_mb,epoch_elapsed_seconds
1,0.38949650822406434,0.3766050022188421,0.4206558092715927,0.00010321892591469828,0.4472450216323012,0.8461435317840648,0.2960191442722277,0.21527138920459432,0.002742154574597814,0.015860899080918,0.002742154574597814,20.633397312859884,15.63828684019496,0.0001,,,,
2,0.20650903589421307,0.3158948727965774,0.18590695724841383,4.029178424742996e-06,0.4387494313951179,0.8668753811427629,0.30284005716023776,0.17578051095782588,6.474796853206806e-12,1.4470104763349106e-11,6.474796853206806e-12,46.06525911708253,3.4014310899097793,9.892923243595648e-05,87.0,77.0,990.0,658.3286116000018
3,0.1287202905332857,0.3150926695029871,0.07812353107466963,6.605508473055069e-07,0.4406109735822923,0.8801198789355914,0.2959061408899714,0.19581958204666453,1.4480581539944966e-11,1.4480581539944966e-11,0.002550448257284154,49.424184261036466,2.7792180856579902,9.576372742448744e-05,86.0,41.0,1520.0,696.5629047000002
4,0.12427285172058605,0.30794799493618297,0.07422880429698399,1.4512771717883588e-06,0.43521843642958646,0.8848266541221497,0.3138067956502975,0.18671199898190793,6.520987799189304e-12,1.4390766883760154e-11,6.520987799189304e-12,50.0,2.9969926371461164,9.064183272437242e-05,86.0,63.0,1520.0,720.1950843000013
5,0.1211865356707132,0.30433876493856726,0.07109513792503172,2.3813731588243155e-06,0.4351743271906464,0.888432880288859,0.31326079111086813,0.22346064982690492,1.4129682223247148e-11,1.4129682223247148e-11,0.0004150157965358177,47.504798464491365,3.0903245877838845,8.378739971158405e-05,86.0,28.0,1520.0,697.924445800003
6,0.1182308258382009,0.30132068697851666,0.06795398833698559,3.900890738218287e-06,0.4177733481069787,0.8785083207386688,0.3038922350918088,0.22072796386190208,6.5253280608256795e-12,0.02857102083560145,6.5253280608256795e-12,51.15163147792706,2.5925541843824536,7.55e-05,86.0,59.0,1520.0,735.9269735000016
7,0.11603099425977205,0.29894447151292025,0.06565750965862169,7.137525400272478e-06,0.42362027972113825,0.8901556626107294,0.31801838802409155,0.29269261332551777,6.518309932558187e-12,2.856083454676034e-05,6.518309932558187e-12,49.04030710172745,2.23996681530644,6.614183272437244e-05,87.0,57.0,1520.0,705.2429077000015
8,0.11257793272736415,0.29888029158636437,0.06088171352529952,1.2601585945374972e-05,0.40991249113480066,0.8863217756637942,0.3328539054838034,0.3103057758946195,6.52328486528423e-12,1.4421898210034442e-11,6.52328486528423e-12,46.161228406909785,3.245877838846832,5.612189470011504e-05,86.0,68.0,1520.0,672.982734199999
9,0.11202301572369172,0.29833645476271764,0.06028455572054081,1.4985164946537963e-05,0.4102977507126683,0.8796322384925263,0.32960707073751966,0.3533322254689492,0.00014300944512244852,0.00014374013223884233,0.00014300944512244852,42.41842610364683,3.9406823602613295,4.5878105299885006e-05,87.0,47.0,1520.0,652.3689534000005
10,0.11017152538707341,0.29441979711049365,0.058964321486597665,1.3171953750089932e-05,0.412006303769827,0.8881473307299668,0.32961611448226485,0.35217794265946656,1.448183977271503e-11,1.448183977271503e-11,0.00011758020602587039,45.87332053742802,2.893290469770818,3.5858167275627595e-05,86.0,50.0,1520.0,654.3552223000006
