volume_id,split,slices,positive_slices,tumor_pixels,positive_slice_pct
0,train,75,16,567,21.333333333333332
1,train,123,18,1659,14.634146341463415
2,train,517,28,3353,5.415860735009671
3,train,534,14,655,2.6217228464419478
4,train,841,244,371179,29.01307966706302
5,train,537,10,113,1.86219739292365
6,train,518,89,7354,17.18146718146718
7,train,541,81,7646,14.972273567467653
8,train,541,80,4887,14.78743068391867
9,train,549,77,5162,14.025500910746812
10,train,501,78,5691,15.568862275449101
11,train,466,53,2374,11.373390557939913
12,train,455,9,177,1.978021978021978
13,train,605,63,5443,10.413223140495868
14,train,588,14,583,2.380952380952381
15,train,565,10,186,1.7699115044247788
16,train,689,119,89890,17.271407837445572
17,train,826,53,8923,6.416464891041162
18,train,845,42,2306,4.970414201183432
19,train,547,46,4185,8.409506398537477
20,train,574,19,349,3.3101045296167246
21,train,437,68,8502,15.560640732265446
22,train,247,12,2253,4.8582995951417
23,train,391,31,10336,7.928388746803069
24,train,276,7,324,2.536231884057971
25,train,601,10,86,1.663893510815308
26,train,668,85,12287,12.724550898203592
27,train,861,143,44431,16.608594657375146
28,train,129,74,52506,57.36434108527132
29,train,172,22,3383,12.790697674418604
30,train,200,18,3421,9.0
31,train,91,35,1523,38.46153846153846
32,train,139,0,0,0.0
33,train,135,78,105416,57.77777777777778
34,train,151,0,0,0.0
35,train,124,29,4878,23.387096774193548
36,train,111,30,9575,27.027027027027028
37,train,122,48,3533,39.34426229508197
38,train,132,0,0,0.0
39,train,260,76,85913,29.23076923076923
40,train,122,54,29365,44.26229508196721
41,train,113,0,0,0.0
42,train,125,7,370,5.6
43,train,155,15,1766,9.67741935483871
44,train,119,36,45653,30.252100840336134
45,train,74,11,1073,14.864864864864865
46,train,124,33,9881,26.612903225806452
47,train,225,0,0,0.0
48,train,244,27,8640,11.065573770491802
49,train,254,23,1763,9.05511811023622
50,train,240,7,713,2.9166666666666665
51,train,227,35,29962,15.418502202643172
52,train,237,21,4398,8.860759493670885
53,train,105,10,535,9.523809523809524
54,train,96,4,115,4.166666666666667
55,train,192,6,673,3.125
56,train,239,66,66042,27.615062761506277
57,train,366,21,1563,5.737704918032787
58,train,212,17,318,8.018867924528301
59,train,216,4,158,1.8518518518518519
60,train,244,18,2722,7.377049180327869
61,train,193,11,676,5.699481865284974
62,train,188,13,747,6.914893617021277
63,train,104,7,152,6.730769230769231
64,train,230,38,44070,16.52173913043478
65,train,513,10,389,1.949317738791423
66,train,86,7,537,8.13953488372093
67,train,165,5,120,3.0303030303030303
68,train,266,9,1176,3.3834586466165413
69,train,245,10,735,4.081632653061225
70,train,333,51,29469,15.315315315315315
71,train,94,20,35220,21.27659574468085
72,train,93,17,5391,18.27956989247312
73,train,121,4,132,3.3057851239669422
74,train,107,10,9114,9.345794392523365
75,train,89,12,624,13.48314606741573
76,train,168,59,47296,35.11904761904762
77,train,94,8,1004,8.51063829787234
78,train,198,36,2885,18.181818181818183
79,train,147,18,2121,12.244897959183673
80,train,217,30,21643,13.824884792626728
81,train,343,14,1209,4.081632653061225
82,train,519,60,34733,11.560693641618498
83,train,871,5,17,0.574052812858783
84,train,733,217,130845,29.604365620736697
85,train,630,34,3713,5.396825396825397
86,train,647,48,1373,7.418856259659969
87,train,896,0,0,0.0
88,train,811,99,61903,12.20715166461159
89,train,766,0,0,0.0
90,train,751,162,60634,21.571238348868174
91,train,751,0,0,0.0
92,train,836,45,564,5.382775119617225
93,train,696,199,83174,28.591954022988507
94,train,917,117,14639,12.758996728462378
95,train,841,12,595,1.426872770511296
96,train,722,207,9087,28.670360110803323
97,train,671,188,175311,28.017883755588674
98,train,645,138,148239,21.3953488372093
99,train,629,89,2692,14.149443561208267
100,train,685,235,387034,34.306569343065696
101,train,683,190,91457,27.81844802342606
102,train,677,45,11555,6.646971935007386
103,train,683,64,18357,9.370424597364568
104,val,781,122,67235,15.620998719590268
105,val,986,0,0,0.0
106,val,771,0,0,0.0
107,val,771,70,1306,9.07911802853437
108,val,856,201,348313,23.481308411214954
109,val,756,131,16879,17.32804232804233
110,val,816,130,29574,15.931372549019608
111,val,761,90,1562,11.826544021024967
112,val,751,25,238,3.3288948069241013
113,val,836,133,19803,15.909090909090908
114,val,846,0,0,0.0
115,val,846,0,0,0.0
116,val,908,133,150735,14.647577092511014
117,test,836,245,249398,29.30622009569378
118,test,427,86,102979,20.140515222482435
119,test,461,0,0,0.0
120,test,424,48,1153,11.320754716981131
121,test,463,16,482,3.4557235421166306
122,test,422,64,19096,15.165876777251185
123,test,432,82,55528,18.98148148148148
124,test,407,56,17346,13.75921375921376
125,test,410,9,169,2.1951219512195124
126,test,401,15,1200,3.7406483790523692
127,test,987,3,68,0.303951367781155
128,test,654,144,78772,22.01834862385321
129,test,338,226,469423,66.86390532544378
130,test,624,198,340510,31.73076923076923
