epoch,train_loss,val_loss,val_global_micro_dice,val_mean_patient_dice,val_median_patient_dice,val_worst_patient_dice,val_pixel_precision,val_pixel_recall,val_positive_slice_recall,val_positive_predicted_empty_pct,val_empty_slice_false_positive_pct,lr,temperature_c,utilization_pct,memory_mb,elapsed_seconds
1,0.45573391043858746,0.4833847737836682,0.41743531707913395,0.28211610748898175,0.28989754399420775,0.007642833298370305,0.34516284118402946,0.5279891794689994,0.7236084452975048,9.117082533589251,41.397905216219016,0.0003,87.0,92.0,900.0,490.8233151000004
2,0.42391865820284014,0.48376108875439777,0.5253379904011722,0.3029785167761505,0.16617616869713392,0.0059158163006223854,0.5554509530851346,0.4983221807260821,0.6698656429942419,13.339731285988483,20.698952608109508,0.00029882903314519993,87.0,46.0,423.0,508.49285059999966
3,0.41281220148260883,0.4838785524060361,0.47790708232012585,0.2973678532562088,0.22952505051667615,0.0007309899169761906,0.49390002216490747,0.4629173888196994,0.6487523992322457,20.34548944337812,27.781810639842373,0.0002953345994276017,87.0,80.0,806.0,505.054822399994
4,0.4073915899424274,0.48361113268357325,0.5011090881347967,0.3163595405279305,0.21153685623077578,0.007574056793565159,0.6039545303869965,0.42819342913593716,0.6938579654510557,9.404990403071018,25.977392927512184,0.00028957180815440534,86.0,71.0,1378.0,1058.7417038999993
5,0.4029280560483069,0.48307230689283503,0.5215786517284919,0.34829877613911675,0.18519086322471395,0.0004949741153892845,0.6968346326939295,0.41676181638240517,0.6333973128598849,20.633397312859884,18.42787514259048,0.00028163154198651373,86.0,72.0,1378.0,1604.2700492000004
6,0.4006341136996558,0.4847789219343947,0.48026236717022597,0.304285979429974,0.11495882361662833,0.009332682719002908,0.5092118565599171,0.4544274564935254,0.6554702495201535,18.426103646833013,17.131598050399255,0.0002716390236646797,86.0,66.0,1378.0,2148.8169689999922
7,0.3985185019654878,0.4824140345096365,0.5363071849538084,0.3508468049681675,0.2774657693284119,0.0023877689269153363,0.6422029603503471,0.46039118284445274,0.6775431861804223,14.395393474088293,22.28559576895157,0.0002597518411720796,86.0,70.0,1378.0,2691.0898818999995
8,0.12256217819776896,0.4586892001864282,0.5673507389880642,0.36563126133585483,0.30961538471021766,0.00046472301217661584,0.7326158165659201,0.46292345414016817,0.5825335892514395,33.78119001919386,5.071035984652079,0.0002461574624776804,87.0,61.0,1378.0,3239.7239240999916
9,0.07802817562809045,0.4299076091255827,0.5583570881805978,0.3830690071400127,0.34259259320130314,6.412393874840252e-12,0.7335491895526901,0.4507139640365152,0.5527831094049904,39.44337811900192,3.34958000622213,0.00023107027905438094,86.0,69.0,1378.0,3787.7060069
10,0.07343845324280308,0.22642417561522588,0.5581500913811459,0.3557510848849106,0.31342193671484997,0.0077419690125888705,0.7039340341747486,0.4623897059389156,0.5767754318618042,35.98848368522073,4.3243803795499325,0.00021472822479741324,87.0,72.0,1378.0,4332.978438699996
