epoch,train_loss,val_loss,val_global_micro_dice,val_mean_patient_dice,val_median_patient_dice,val_worst_patient_dice,val_pixel_precision,val_pixel_recall,val_positive_slice_recall,val_positive_predicted_empty_pct,val_empty_slice_false_positive_pct,lr,temperature_c,utilization_pct,memory_mb,elapsed_seconds
1,0.6873611344834348,0.09684274962566755,1.5163301171948553e-12,5.303858812474076e-10,4.74473334576083e-11,2.7495339539872377e-12,1.0,1.5163301171948553e-12,0.0,100.0,0.0,0.0003,86.0,82.0,391.0,484.3552051000006
2,0.2836974475409768,0.09924490845835846,1.5163301171948553e-12,5.303858812474076e-10,4.74473334576083e-11,2.7495339539872377e-12,1.0,1.5163301171948553e-12,0.0,100.0,0.0,0.00029882903314519993,87.0,52.0,961.0,1045.5206550000003
3,0.28648620100029293,0.09483599503439946,1.5163301171948553e-12,5.303858812474076e-10,4.74473334576083e-11,2.7495339539872377e-12,1.0,1.5163301171948553e-12,0.0,100.0,0.0,0.0002953345994276017,86.0,47.0,961.0,1561.4825464999885
4,0.28647877079069695,0.09483577504464907,1.5163301171948553e-12,5.303858812474076e-10,4.74473334576083e-11,2.7495339539872377e-12,1.0,1.5163301171948553e-12,0.0,100.0,0.0,0.00028957180815440534,86.0,74.0,961.0,2079.551946499996
5,0.28685855348819433,0.09475517541896394,1.5163301171948553e-12,5.303858812474076e-10,4.74473334576083e-11,2.7495339539872377e-12,1.0,1.5163301171948553e-12,0.0,100.0,0.0,0.00028163154198651373,87.0,63.0,961.0,2596.593514099979
6,0.2853450697485868,0.09475147752200785,1.5163301171948553e-12,5.303858812474076e-10,4.74473334576083e-11,2.7495339539872377e-12,1.0,1.5163301171948553e-12,0.0,100.0,0.0,0.0002716390236646797,87.0,53.0,961.0,3111.9768083999807
7,0.28428993272949,0.09475861751839648,1.5163301171948553e-12,5.303858812474076e-10,4.74473334576083e-11,2.7495339539872377e-12,1.0,1.5163301171948553e-12,0.0,100.0,0.0,0.0002597518411720796,87.0,57.0,423.0,516.5254432999936
8,0.28540679979502936,0.09480482959567674,1.5163301171948553e-12,5.303858812474076e-10,4.74473334576083e-11,2.7495339539872377e-12,1.0,1.5163301171948553e-12,0.0,100.0,0.0,0.0002461574624776804,86.0,73.0,991.0,1052.6570049999864
9,0.2862963165441045,0.09485684815967137,1.5163301171948553e-12,5.303858812474076e-10,4.74473334576083e-11,2.7495339539872377e-12,1.0,1.5163301171948553e-12,0.0,100.0,0.0,0.00023107027905438094,86.0,69.0,991.0,1586.0920416000008
10,0.2846567817132759,0.09477965619980942,1.5163301171948553e-12,5.303858812474076e-10,4.74473334576083e-11,2.7495339539872377e-12,1.0,1.5163301171948553e-12,0.0,100.0,0.0,0.00021472822479741324,87.0,58.0,991.0,2133.9972332000034
