epoch,train_loss,val_loss,val_global_micro_dice,val_mean_patient_dice,val_median_patient_dice,val_worst_patient_dice,val_pixel_precision,val_pixel_recall,val_positive_slice_recall,val_positive_predicted_empty_pct,val_empty_slice_false_positive_pct,lr,temperature_c,utilization_pct,memory_mb,elapsed_seconds
1,0.5071173813732215,0.4014118504429399,0.42741695391320544,0.2382322825447097,0.07738272097067173,1.9032755371632958e-11,0.49407100471754656,0.3766093948790854,0.43761996161228406,49.61612284069098,4.054754744374158,0.0003,86.0,65.0,397.0,574.4372151999999
2,0.16943746484906774,0.382345615961198,0.5534452617459897,0.2758870888397418,0.30546926811261493,2.019386106215794e-10,0.633548412326698,0.4913243172352278,0.46833013435700577,46.54510556621881,1.8873794462304263,0.00029882903314519993,86.0,61.0,969.0,1114.3030242
3,0.13564309227745705,0.3651450263711968,0.4802998280466136,0.24355409272824766,0.23304608496326487,0.005667759954461308,0.8063478217354395,0.342008257934816,0.3944337811900192,55.950095969289826,0.6222130042517888,0.0002953345994276017,86.0,67.0,969.0,1662.4417076
4,0.12664466059326576,0.36579917129870043,0.5593722398607087,0.2684968440607196,0.18353814054330914,2.0412329042577598e-10,0.6187287465771764,0.5104073317601251,0.40115163147792704,55.854126679462574,0.9748003733278026,0.00028957180815440534,86.0,55.0,969.0,2210.7686697
5,0.12011228669508241,0.27239621724544644,0.5681541596760543,0.3229387569995727,0.29291949577246956,0.005004834229013752,0.6990486527201465,0.47854771966774395,0.5211132437619962,41.45873320537428,3.028103287358706,0.00028163154198651373,86.0,67.0,969.0,2753.5560752
6,0.1150860507908626,0.3349936462698219,0.5640617097671764,0.2929735204779737,0.13651877165850634,0.027047561308760435,0.6285476881581112,0.5115764222804823,0.44433781190019195,51.15163147792706,1.285906875453697,0.0002716390236646797,87.0,54.0,969.0,3296.2907131999996
7,0.1079138097303001,0.27241275363231743,0.5645315935673451,0.30266182082035825,0.24904214583363918,1.4445648248256474e-11,0.6166991547126529,0.5205015413502913,0.46257197696737046,50.95969289827255,1.4622005599917038,0.0002597518411720796,86.0,67.0,969.0,3819.6966975
8,0.10609326714643218,0.06342279823535153,0.5786210345506045,0.3136069597973068,0.21782881505649002,0.009966920149933885,0.6784624547211466,0.5043950828454474,0.5,44.049904030710174,2.6132946178575134,0.0002461574624776804,86.0,76.0,423.0,526.0278118999995
9,0.10122216911530021,0.06393232782463053,0.5067544894864882,0.2771161258342978,0.12686155550178382,1.4473665166020558e-11,0.6001261667318248,0.43852570255450296,0.4740882917466411,45.009596928982724,2.1881157316187907,0.00023107027905438094,88.0,66.0,997.0,1082.8457619
10,0.09806144518949639,0.05806367644024292,0.5324760811332747,0.30969147191234175,0.2856096670503077,6.5101623634069615e-12,0.8142627064689868,0.3955802009753102,0.43666026871401153,51.91938579654511,1.348128175878876,0.00021472822479741324,87.0,61.0,997.0,1665.9494329000008
