volume_id,split,slices,tumor_positive_slices,organ_pixels,tumor_pixels,tumor_positive_rate
0,train,75,16,138187,644,0.21333333333333335
1,train,123,18,162707,1793,0.14634146341463414
2,train,517,28,800146,3518,0.05415860735009671
3,train,534,14,811772,697,0.026217228464419477
4,train,841,244,1206655,378927,0.2901307966706302
5,train,537,10,478174,135,0.0186219739292365
6,train,518,91,618907,7941,0.17567567567567569
7,train,541,83,766352,8104,0.1534195933456562
8,train,541,81,661003,5192,0.14972273567467653
9,train,549,80,575337,5576,0.14571948998178508
10,train,501,81,720462,6051,0.16167664670658682
11,train,466,53,815704,2624,0.11373390557939914
12,train,455,9,1051235,204,0.01978021978021978
13,train,605,63,475291,5935,0.10413223140495868
14,train,588,16,761021,649,0.027210884353741496
15,train,565,12,809389,229,0.021238938053097345
16,train,689,120,884855,93269,0.1741654571843251
17,train,826,53,905014,9402,0.06416464891041163
18,train,845,43,485714,2556,0.05088757396449704
19,train,547,48,970129,4601,0.08775137111517367
20,train,574,22,914269,436,0.03832752613240418
21,train,437,68,756511,9020,0.15560640732265446
22,train,247,12,107788,2360,0.048582995951417005
23,train,391,32,598751,10737,0.08184143222506395
24,train,276,7,510658,352,0.025362318840579712
25,train,601,11,756048,119,0.018302828618968387
26,train,668,85,584698,12887,0.12724550898203593
27,train,861,144,842649,46858,0.1672473867595819
28,train,129,74,716289,53583,0.5736434108527132
29,train,172,22,411980,3511,0.12790697674418605
30,train,200,18,593747,3551,0.09
31,train,91,37,283054,1697,0.4065934065934066
32,train,139,0,531145,0,0.0
33,train,135,78,457122,108733,0.5777777777777777
34,train,151,0,365470,0,0.0
35,train,124,29,803799,5057,0.23387096774193547
36,train,111,30,316376,9881,0.2702702702702703
37,train,122,48,467998,3749,0.39344262295081966
38,train,132,0,423200,0,0.0
39,train,260,76,835442,87271,0.2923076923076923
40,train,122,54,515776,30582,0.4426229508196721
41,train,113,0,408374,0,0.0
42,train,125,7,347377,407,0.056
43,train,155,15,679189,1842,0.0967741935483871
44,train,119,36,526611,46506,0.3025210084033613
45,train,74,11,305107,1135,0.14864864864864866
46,train,124,33,145803,10408,0.2661290322580645
47,train,225,0,339990,0,0.0
48,train,244,27,222170,8880,0.11065573770491803
49,train,254,23,182030,1996,0.09055118110236221
50,train,240,7,177779,760,0.029166666666666667
51,train,227,35,195340,31202,0.15418502202643172
52,train,237,21,189883,4560,0.08860759493670886
53,train,105,10,139751,575,0.09523809523809523
54,train,96,4,131507,132,0.041666666666666664
55,train,192,6,425460,703,0.03125
56,train,239,66,434132,67074,0.27615062761506276
57,train,366,21,752207,1648,0.05737704918032787
58,train,212,17,334162,363,0.08018867924528301
59,train,216,4,375557,168,0.018518518518518517
60,train,244,18,470277,2843,0.07377049180327869
61,train,193,11,283226,733,0.05699481865284974
62,train,188,13,356555,803,0.06914893617021277
63,train,104,7,159083,171,0.0673076923076923
64,train,230,38,453711,44767,0.16521739130434782
65,train,513,10,696790,416,0.01949317738791423
66,train,86,7,168604,588,0.08139534883720931
67,train,165,5,275572,130,0.030303030303030304
68,train,266,9,317342,1223,0.03383458646616541
69,train,245,10,406495,776,0.04081632653061224
70,train,333,51,590780,30160,0.15315315315315314
71,train,94,20,269366,35658,0.2127659574468085
72,train,93,17,310919,5579,0.1827956989247312
73,train,121,4,140510,146,0.03305785123966942
74,train,107,10,186096,9301,0.09345794392523364
75,train,89,12,152967,685,0.1348314606741573
76,train,168,59,359112,48351,0.35119047619047616
77,train,94,8,155705,1059,0.0851063829787234
78,train,198,36,253289,3072,0.18181818181818182
79,train,147,18,164991,2262,0.12244897959183673
80,train,217,30,370969,22070,0.1382488479262673
