volume_id,volume_path,segmentation_path,pair_complete,ct_shape,seg_shape,shape_match,ct_axis_codes,seg_axis_codes,affine_match,ct_spacing,seg_spacing,slice_count
0,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-0.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-0.nii,True,"(512, 512, 75)","(512, 512, 75)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.703125, 0.703125, 5.0)","(0.703125, 0.703125, 5.0)",75
1,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-1.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-1.nii,True,"(512, 512, 123)","(512, 512, 123)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.6757810115814209, 0.6757810115814209, 5.0)","(0.6757810115814209, 0.6757810115814209, 5.0)",123
2,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-2.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-2.nii,True,"(512, 512, 517)","(512, 512, 517)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.775390625, 0.775390625, 1.0)","(0.775390625, 0.775390625, 1.0)",517
3,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-3.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-3.nii,True,"(512, 512, 534)","(512, 512, 534)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.693359375, 0.693359375, 1.0)","(0.693359375, 0.693359375, 1.0)",534
4,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-4.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-4.nii,True,"(512, 512, 841)","(512, 512, 841)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.9023439884185791, 0.9023439884185791, 0.800000011920929)","(0.9023439884185791, 0.9023439884185791, 0.800000011920929)",841
5,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-5.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-5.nii,True,"(512, 512, 537)","(512, 512, 537)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.96875, 0.96875, 0.7999879717826843)","(0.96875, 0.96875, 0.7999879717826843)",537
6,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-6.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-6.nii,True,"(512, 512, 518)","(512, 512, 518)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.873046875, 0.873046875, 1.0)","(0.873046875, 0.873046875, 1.0)",518
7,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-7.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-7.nii,True,"(512, 512, 541)","(512, 512, 541)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.748046875, 0.748046875, 1.0)","(0.748046875, 0.748046875, 1.0)",541
8,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-8.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-8.nii,True,"(512, 512, 541)","(512, 512, 541)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.84765625, 0.84765625, 1.0)","(0.84765625, 0.84765625, 1.0)",541
9,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-9.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-9.nii,True,"(512, 512, 549)","(512, 512, 549)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.8203125, 0.8203125, 1.0)","(0.8203125, 0.8203125, 1.0)",549
10,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-10.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-10.nii,True,"(512, 512, 501)","(512, 512, 501)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.76953125, 0.76953125, 1.0)","(0.76953125, 0.76953125, 1.0)",501
11,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-11.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-11.nii,True,"(512, 512, 466)","(512, 512, 466)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.671875, 0.671875, 1.0)","(0.671875, 0.671875, 1.0)",466
12,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-12.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-12.nii,True,"(512, 512, 455)","(512, 512, 455)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.654296875, 0.654296875, 1.0)","(0.654296875, 0.654296875, 1.0)",455
13,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-13.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-13.nii,True,"(512, 512, 605)","(512, 512, 605)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.84765625, 0.84765625, 1.0)","(0.84765625, 0.84765625, 1.0)",605
14,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-14.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-14.nii,True,"(512, 512, 588)","(512, 512, 588)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.685546875, 0.685546875, 1.0)","(0.685546875, 0.685546875, 1.0)",588
15,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-15.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-15.nii,True,"(512, 512, 565)","(512, 512, 565)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.654296875, 0.654296875, 1.0)","(0.654296875, 0.654296875, 1.0)",565
16,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-16.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-16.nii,True,"(512, 512, 689)","(512, 512, 689)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.703125, 0.703125, 0.800000011920929)","(0.703125, 0.703125, 0.800000011920929)",689
17,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-17.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-17.nii,True,"(512, 512, 826)","(512, 512, 826)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.7441409826278687, 0.7441409826278687, 0.800000011920929)","(0.7441409826278687, 0.7441409826278687, 0.800000011920929)",826
18,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-18.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-18.nii,True,"(512, 512, 845)","(512, 512, 845)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.921875, 0.921875, 0.800000011920929)","(0.921875, 0.921875, 0.800000011920929)",845
19,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-19.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-19.nii,True,"(512, 512, 547)","(512, 512, 547)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.751953125, 0.751953125, 0.7999879717826843)","(0.751953125, 0.751953125, 0.7999879717826843)",547
20,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-20.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-20.nii,True,"(512, 512, 574)","(512, 512, 574)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.802734375, 0.802734375, 0.7999879717826843)","(0.802734375, 0.802734375, 0.7999879717826843)",574
21,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-21.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-21.nii,True,"(512, 512, 437)","(512, 512, 437)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.767578125, 0.767578125, 1.0)","(0.767578125, 0.767578125, 1.0)",437
22,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-22.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-22.nii,True,"(512, 512, 247)","(512, 512, 247)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.9765620231628418, 0.9765620231628418, 3.2699999809265137)","(0.9765620231628418, 0.9765620231628418, 3.2699999809265137)",247
