epoch,loss,hard_micro_dice,hard_macro_slice_dice,soft_micro_dice,predicted_pixels,true_pixels,temperature_c,utilization_pct,memory_mb,elapsed_seconds
1,0.5060218274593353,1.0934937122915807e-10,1.0817673967233133e-08,0.017329603467415716,0,9145,74.0,28.0,382.0,4.378863500023726
2,0.5030003562569618,1.0934937122915807e-10,1.0817673967233133e-08,0.017970741185836008,0,9145,72.0,0.0,520.0,4.873005600005854
3,0.500626690685749,1.0908694228110756e-10,9.279489962292096e-09,0.01844729067431184,22,9145,74.0,43.0,520.0,5.407873600022867
4,0.49859561026096344,0.040521407349954644,0.03882778303819116,0.01881673651011893,442172,9145,74.0,48.0,520.0,5.972804200020619
5,0.4973858594894409,0.03135537867486006,0.030704287603321105,0.01910829696421764,574168,9145,75.0,51.0,520.0,6.498554499994498
6,0.49491795152425766,0.02593583115330652,0.025595640403795895,0.019289116615500018,696057,9145,74.0,50.0,520.0,7.020806899992749
7,0.4936317801475525,0.019203853791349756,0.018969560994473066,0.01980745475666301,943268,9145,75.0,54.0,520.0,7.533609699981753
8,0.49438241124153137,0.022270847109207185,0.022036403664913953,0.02162902618765756,812108,9145,75.0,52.0,520.0,8.134845199994743
9,0.4925369992852211,0.030980676461070077,0.0304335705075997,0.02541945161463235,581223,9145,72.0,34.0,520.0,8.658435099991038
10,0.48980607092380524,0.028256923256686484,0.02780514018997099,0.025227368872389574,638130,9145,73.0,31.0,520.0,9.170812199998181
11,0.4888441115617752,0.02679009542923945,0.026378317085413487,0.0250605876958641,673570,9145,73.0,26.0,520.0,9.819396700011566
12,0.4875146746635437,0.02560063023332016,0.013693826835790757,0.02124588450304562,6089,9145,75.0,1.0,520.0,10.3276298000128
13,0.4893622174859047,0.1455851768021936,0.11087488868914594,0.02505832123456853,33167,9145,77.0,45.0,520.0,10.913126600033138
14,0.4877850413322449,0.1661937100188623,0.13443790531452415,0.027410361632007964,41952,9145,77.0,55.0,520.0,11.476197300013155
15,0.48518068343400955,0.15117735015194106,0.14729991373186072,0.0327405211089675,73116,9145,76.0,38.0,520.0,12.115105199976824
16,0.48457958549261093,0.12542090349120336,0.13031439157596952,0.03719615538444423,110835,9145,74.0,31.0,520.0,12.67303050000919
17,0.4815713167190552,0.12230199004495865,0.12728218224385743,0.03925455266586814,119144,9145,75.0,26.0,520.0,13.222632799996063
18,0.48258212208747864,0.11618415913093631,0.10244833724787444,0.03910491869469515,111164,9145,75.0,13.0,520.0,13.747722400003113
19,0.48498421162366867,0.0886702979214851,0.10309433813311933,0.044578156782250314,189501,9145,76.0,10.0,520.0,14.255164699978195
20,0.4824420213699341,0.10577768737484801,0.10298673835544397,0.047715505157300074,157998,9145,76.0,6.0,520.0,14.782033300027251
21,0.47948020696640015,0.14711969500903163,0.13922680690070494,0.05333829084257801,110200,9145,77.0,5.0,520.0,15.286406999977771
22,0.4775700122117996,0.2281914964593651,0.13168285051882697,0.059894401185985886,65906,9145,77.0,4.0,520.0,15.827166399976704
23,0.4742954671382904,0.3993421825584555,0.24940997632227013,0.0689172418204354,33420,9145,79.0,11.0,520.0,16.38908230001107
24,0.4735305979847908,0.32346352028744185,0.20638222383855465,0.06850640165386564,44419,9145,80.0,52.0,520.0,16.944280900002923
25,0.4738312214612961,0.28861944979866844,0.2039696041795987,0.0729572478881008,50650,9145,80.0,52.0,520.0,17.45043149997946
26,0.4714716225862503,0.49875751000287005,0.3012677407290212,0.07876947258996782,22646,9145,79.0,48.0,520.0,18.008579700021073
27,0.4671274349093437,0.4042116321410512,0.2596262395805452,0.07895265508769968,32739,9145,79.0,60.0,520.0,18.508848600031342
28,0.46740635484457016,0.45849586733248326,0.30683875851195896,0.0704648454777984,27514,9145,79.0,45.0,520.0,19.097146500018425
29,0.46027233451604843,0.3650878353995798,0.32186359667898,0.07368125576926914,37704,9145,78.0,38.0,520.0,19.645195899996907
30,0.4498542919754982,0.4584237165777866,0.2991988637513565,0.12138984151654457,18515,9145,78.0,32.0,520.0,20.18793720001122
31,0.45061787962913513,0.2679723872328147,0.17630369388173553,0.1165048846202615,53145,9145,78.0,11.0,520.0,20.72383470000932
32,0.4553115516901016,0.14359624118735803,0.09101191434746453,0.01651184152218886,19268,9145,78.0,13.0,520.0,21.210018899990246
33,0.46652886271476746,0.10080998249301656,0.07378699252854481,0.0736621984784215,137031,9145,79.0,12.0,520.0,21.85034230002202
34,0.4698256850242615,0.03968910782914135,0.03211102777470738,0.03623007492463638,447605,9145,81.0,15.0,520.0,22.3575087999925
35,0.4604169875383377,0.20965692508197858,0.06525210928760763,0.06884568342225748,6595,9145,81.0,49.0,520.0,22.92212629999267
36,0.4433745667338371,0.08655823522683875,0.07901684169698833,0.028399203135356654,12251,9145,82.0,58.0,520.0,23.417791899992153
37,0.44344858825206757,0.19433185561756916,0.18420797786242035,0.157731677762782,54015,9145,82.0,50.0,520.0,23.96302409999771
38,0.44692666083574295,0.07140816913875045,0.060317082536546295,0.05016904568212109,11861,9145,81.0,45.0,520.0,24.559088799986057
39,0.44263339042663574,0.08665326340184733,0.06360110313680278,0.07458366571945178,168921,9145,81.0,48.0,520.0,25.090636699984316
40,0.43701232224702835,0.31195055786990944,0.21863081192799985,0.07108108603950784,39882,9145,80.0,37.0,520.0,25.648478500021156
41,0.42427612096071243,0.44185547854185353,0.3433425307110277,0.08316701746059742,18837,9145,80.0,35.0,520.0,26.172462599992286
42,0.4169953912496567,0.4345442084049544,0.16668578812677048,0.2142672592920274,3986,9145,80.0,11.0,520.0,26.750306600006297
43,0.42417750507593155,0.37686254818542925,0.1542523030335835,0.18000798272963459,2801,9145,80.0,8.0,520.0,27.281978800019715
44,0.4106419160962105,0.45715249664449553,0.26060001968741686,0.29009717954601466,20495,9145,81.0,5.0,520.0,27.865678999980446
45,0.42086244374513626,0.08762308032423718,0.05654205086189633,0.0729017987743499,178842,9145,83.0,22.0,520.0,28.37570279999636
46,0.43483956903219223,0.1387869314085208,0.0853225704977117,0.07549209826599652,106644,9145,82.0,36.0,520.0,29.081754599988926
47,0.4145260155200958,0.3567176870900246,0.2535089412297861,0.1531549547657468,33191,9145,80.0,31.0,520.0,29.677126099995803
48,0.41410570591688156,0.32826960735178257,0.2674701435444639,0.2064066149113869,39370,9145,81.0,11.0,520.0,30.340750899980776
49,0.4192432761192322,0.30579234973942093,0.27418164510149445,0.13495297060687586,45755,9145,83.0,46.0,520.0,30.977465500007384
50,0.3957425653934479,0.6387516255033051,0.35954521517511584,0.10744069977864588,13925,9145,83.0,43.0,520.0,31.604082699981518
51,0.38964395225048065,0.6691130403799734,0.36092975015149487,0.08784236293067955,13201,9145,81.0,46.0,520.0,32.11734420002904
52,0.3738240376114845,0.619216773539282,0.3709053855322949,0.10036977377819371,13939,9145,81.0,33.0,520.0,32.68409120000433
53,0.40101802349090576,0.27769247643611117,0.3268661221566584,0.09378117107327627,36445,9145,81.0,11.0,520.0,33.25562790001277
54,0.4304240047931671,0.4942446973779667,0.3259558520370636,0.07851612834383959,21783,9145,82.0,6.0,520.0,33.82760080002481
55,0.4155675619840622,0.4222222222404085,0.209076387025455,0.0741972348141513,22625,9145,83.0,6.0,520.0,34.36140900000464
56,0.4159843474626541,0.5149925937981907,0.3195338855700297,0.08321634101937436,15834,9145,84.0,32.0,520.0,34.8843319999869
57,0.39742255210876465,0.4710409601007357,0.3570641767728633,0.10007119658538541,21519,9145,85.0,49.0,520.0,35.48789500002749
58,0.40928835421800613,0.22076215507063798,0.2683287810832272,0.076804309118189,58584,9145,84.0,35.0,520.0,36.02533299999777
59,0.4027197062969208,0.22544786404493267,0.2783092369867616,0.07729064140924824,56165,9145,83.0,40.0,520.0,36.61464550002711
60,0.40764859318733215,0.2900174125461788,0.3697549095364213,0.07927035081443669,46562,9145,82.0,43.0,520.0,37.12294570001541
61,0.38476499170064926,0.5372935744095917,0.3373552732781964,0.08546797278297116,16409,9145,83.0,29.0,520.0,37.761326399981044
62,0.37023094296455383,0.6674060857565026,0.3653933583088508,0.09709010831510188,11592,9145,83.0,5.0,520.0,38.342669199977536
63,0.38449084758758545,0.7179697841198608,0.38407928498544575,0.08320662702736045,12764,9145,84.0,47.0,520.0,39.046776800008956
64,0.3567255586385727,0.7109287214953868,0.3662790883240149,0.07957273378264969,11324,9145,84.0,41.0,520.0,39.63064970000414
65,0.3614746183156967,0.683479020992855,0.4183745107609564,0.0777835827181213,13735,9145,82.0,25.0,520.0,40.33479240001179
66,0.34563253819942474,0.6508188540738185,0.38201878791020116,0.08224285461706024,12898,9145,85.0,49.0,520.0,40.96349689998897
67,0.3388739228248596,0.6014342440821766,0.36715896539793813,0.06636151617637553,7728,9145,85.0,42.0,520.0,41.5932446999941
68,0.3592655137181282,0.6800037481409293,0.4323289358347632,0.08495262826866214,12199,9145,83.0,34.0,520.0,42.21189520001644
69,0.36892978847026825,0.23684123794145148,0.37890863278619086,0.06051259532044397,51537,9145,85.0,37.0,520.0,42.90652930003125
70,0.3732607066631317,0.28311944720230076,0.3795009052197787,0.056446197484380255,36440,9145,85.0,39.0,520.0,43.61057770001935
71,0.3416139483451843,0.7605448377254269,0.379572449371173,0.07769068195563575,10604,9145,82.0,39.0,520.0,44.50943819998065
72,0.3495676591992378,0.6842484248566945,0.4036111076496607,0.0883588807309764,13075,9145,80.0,48.0,520.0,45.2093615999911
73,0.342696450650692,0.6021669054619374,0.3607957400220137,0.08263093167853923,13191,9145,80.0,6.0,520.0,45.854013000032865
74,0.347588948905468,0.7097166167725679,0.44148753969068394,0.10174712243138039,13898,9145,85.0,40.0,520.0,46.49594019999495
75,0.3448866456747055,0.8008497079246563,0.37606947446103095,0.08170249052311525,7802,9145,85.0,53.0,520.0,47.059066999994684
76,0.33251044899225235,0.8163059889383042,0.43406586609412134,0.08878524850497568,8738,9145,84.0,48.0,520.0,47.677855300018564
