sample_id,dice,predicted_pixels,true_pixels,mean_probability
v068_s0132,5.208333306206597e-09,0,192,0.3355703353881836
v035_s0053,5.91715972830083e-09,0,169,0.3393533527851105
v037_s0092,2.38095232426304e-08,0,42,0.33820292353630066
v049_s0158,2.4390243307555043e-08,0,41,0.33624082803726196
v008_s0391,2.4999999375000016e-08,0,40,0.26678478717803955
v084_s0632,5.555555246913597e-08,0,18,0.2991679906845093
v097_s0526,0.23928571564413265,68,492,0.3293547034263611
v019_s0439,0.27531285634207864,722,157,0.013088484294712543
v007_s0387,0.3292978224472208,345,68,0.04792992025613785
v093_s0393,0.7274290630030704,542,621,0.011104980483651161
v103_s0515,0.7942332899158149,456,307,0.0086915772408247
v033_s0089,0.8328546813136963,815,926,0.014382055029273033
v101_s0422,0.9090909092011019,433,392,0.008477459661662579
v100_s0481,0.9364717793124597,1885,2066,0.03041999787092209
v039_s0043,0.943241020032015,1722,1925,0.027907686308026314
v004_s0527,0.9578365804135398,1750,1689,0.028479913249611855
