feature,split,count,q00,q05,q25,q50,q75,q95,q100,mean,std,validation_minus_train_standardized_difference
tumour_hu_median,train,96,14.000000,34.000000,49.000000,67.000000,77.250000,95.000000,138.000000,64.656250,20.344314,-0.163690
tumour_hu_median,val,9,8.000000,12.800000,50.000000,59.000000,81.000000,98.000000,100.000000,60.333333,31.320920,-0.163690
tumour_hu_iqr,train,96,19.000000,21.750000,29.000000,36.000000,42.250000,58.500000,68.000000,37.317708,10.783240,-0.037309
tumour_hu_iqr,val,9,26.000000,28.800000,34.000000,39.000000,42.000000,42.000000,42.000000,37.000000,5.361903,-0.037309
liver_hu_median,train,104,27.000000,71.450000,92.250000,99.000000,114.000000,135.400000,165.000000,101.278846,20.307087,0.358216
liver_hu_median,val,13,66.000000,76.800000,98.000000,106.000000,126.000000,134.200000,139.000000,108.692308,21.076783,0.358216
liver_hu_iqr,train,104,16.000000,19.000000,25.000000,31.000000,37.000000,45.850000,57.000000,31.759615,8.920899,0.225703
liver_hu_iqr,val,13,27.000000,27.600000,29.000000,32.000000,38.000000,40.400000,41.000000,33.384615,4.908130,0.225703
tumour_minus_liver_hu,train,96,-102.000000,-81.000000,-47.000000,-34.000000,-22.000000,-12.000000,44.000000,-36.062500,20.906716,-0.551457
tumour_minus_liver_hu,val,9,-90.000000,-89.600000,-64.000000,-44.000000,-36.000000,-15.000000,-9.000000,-49.555556,27.573135,-0.551457
robust_cnr,train,96,-4.744759,-3.310771,-2.029745,-1.518286,-1.046340,-0.428147,2.473167,-1.594846,0.978724,-0.458035
robust_cnr,val,9,-4.336071,-4.257657,-2.539294,-1.881500,-1.312541,-0.582373,-0.296122,-2.134959,1.350227,-0.458035
background_hu_median,train,104,-999.000000,-990.700000,-935.250000,-887.000000,-469.500000,-118.000000,-98.000000,-705.144231,328.887339,-0.430530
background_hu_median,val,13,-986.000000,-986.000000,-941.000000,-908.000000,-862.000000,-384.000000,-162.000000,-827.461538,230.800280,-0.430530
slice_thickness_mm,train,104,0.699984,0.700000,0.800000,1.000000,2.000000,5.000000,5.000000,1.634806,1.279375,-0.939391
slice_thickness_mm,val,13,0.700000,0.700000,0.800000,0.800000,0.800000,0.800000,0.800000,0.784615,0.037553,-0.939391
spacing_x_mm,train,104,0.556641,0.644531,0.703125,0.772461,0.910156,1.000000,1.000000,0.804876,0.126885,-0.469054
spacing_x_mm,val,13,0.640000,0.688000,0.729000,0.781000,0.782000,0.810937,0.843750,0.759832,0.048425,-0.469054
tumour_volume_ml,train,104,0.000000,0.000000,1.955742,14.323928,42.139110,299.288166,987.656498,65.018968,136.498563,0.149952
tumour_volume_ml,val,13,0.000000,0.000000,0.000000,3.571300,51.593661,407.255691,618.611316,88.700294,176.775505,0.149952
lesion_count_6conn,train,104,0.000000,0.000000,1.000000,2.500000,8.000000,19.700000,50.000000,6.125000,7.919115,0.543582
lesion_count_6conn,val,13,0.000000,0.000000,0.000000,4.000000,17.000000,67.000000,70.000000,16.000000,24.440404,0.543582
roi_area_ratio,train,104,0.205261,0.289691,0.373051,0.420425,0.462467,0.546870,0.606201,0.415163,0.077756,0.177845
roi_area_ratio,val,13,0.332611,0.338452,0.380859,0.427002,0.488159,0.511560,0.533203,0.427962,0.065674,0.177845
