feature,outcome,n,spearman_rho,p_value_unadjusted,analysis_population,interpretation
tumour_hu_median,mark4e_patient_dice,9,0.316667,0.406397,nine_tumour_positive_validation_patients,association_only_not_causal
tumour_hu_median,mark4e_positive_slice_detection_rate,9,0.150000,0.700094,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
tumour_hu_median,mark4e_max_truth_score_median,9,0.204973,0.596777,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
tumour_hu_iqr,mark4e_patient_dice,9,-0.263890,0.492636,nine_tumour_positive_validation_patients,association_only_not_causal
tumour_hu_iqr,mark4e_positive_slice_detection_rate,9,-0.059588,0.878967,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
tumour_hu_iqr,mark4e_max_truth_score_median,9,0.114208,0.769851,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
liver_hu_median,mark4e_patient_dice,9,0.100000,0.797972,nine_tumour_positive_validation_patients,association_only_not_causal
liver_hu_median,mark4e_positive_slice_detection_rate,9,0.150000,0.700094,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
liver_hu_median,mark4e_max_truth_score_median,9,0.242241,0.530010,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
liver_hu_iqr,mark4e_patient_dice,9,-0.041841,0.914886,nine_tumour_positive_validation_patients,association_only_not_causal
liver_hu_iqr,mark4e_positive_slice_detection_rate,9,-0.066946,0.864127,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
liver_hu_iqr,mark4e_max_truth_score_median,9,0.065492,0.867057,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
tumour_minus_liver_hu,mark4e_patient_dice,9,0.016667,0.966055,nine_tumour_positive_validation_patients,association_only_not_causal
tumour_minus_liver_hu,mark4e_positive_slice_detection_rate,9,-0.133333,0.732368,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
tumour_minus_liver_hu,mark4e_max_truth_score_median,9,-0.111803,0.774595,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
robust_cnr,mark4e_patient_dice,9,-0.050000,0.898353,nine_tumour_positive_validation_patients,association_only_not_causal
robust_cnr,mark4e_positive_slice_detection_rate,9,-0.200000,0.605901,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
robust_cnr,mark4e_max_truth_score_median,9,-0.111803,0.774595,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
background_hu_median,mark4e_patient_dice,9,-0.033333,0.932157,nine_tumour_positive_validation_patients,association_only_not_causal
background_hu_median,mark4e_positive_slice_detection_rate,9,0.083333,0.831214,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
background_hu_median,mark4e_max_truth_score_median,9,0.130437,0.738014,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
slice_thickness_mm,mark4e_patient_dice,9,0.547723,0.126870,nine_tumour_positive_validation_patients,association_only_not_causal
slice_thickness_mm,mark4e_positive_slice_detection_rate,9,0.547723,0.126870,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
slice_thickness_mm,mark4e_max_truth_score_median,9,0.459279,0.213620,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
spacing_x_mm,mark4e_patient_dice,9,-0.436990,0.239545,nine_tumour_positive_validation_patients,association_only_not_causal
spacing_x_mm,mark4e_positive_slice_detection_rate,9,-0.588256,0.095679,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
spacing_x_mm,mark4e_max_truth_score_median,9,-0.432196,0.245332,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
tumour_volume_ml,mark4e_patient_dice,9,0.266667,0.487922,nine_tumour_positive_validation_patients,association_only_not_causal
tumour_volume_ml,mark4e_positive_slice_detection_rate,9,0.116667,0.765008,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
tumour_volume_ml,mark4e_max_truth_score_median,9,0.037268,0.924166,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
lesion_count_6conn,mark4e_patient_dice,9,0.870301,0.002274,nine_tumour_positive_validation_patients,association_only_not_causal
lesion_count_6conn,mark4e_positive_slice_detection_rate,9,0.845196,0.004117,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
lesion_count_6conn,mark4e_max_truth_score_median,9,0.748481,0.020336,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
roi_area_ratio,mark4e_patient_dice,9,0.100000,0.797972,nine_tumour_positive_validation_patients,association_only_not_causal
roi_area_ratio,mark4e_positive_slice_detection_rate,9,0.266667,0.487922,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
roi_area_ratio,mark4e_max_truth_score_median,9,0.316776,0.406226,tumour_positive_slices_aggregated_by_patient,association_only_not_causal
