split,volume_id,feature,value,train_q1,train_q3,lower_bound,upper_bound
train,0,slice_thickness_mm,5.000000,0.800000,2.000000,-1.000000,3.800000
train,1,slice_thickness_mm,5.000000,0.800000,2.000000,-1.000000,3.800000
train,53,slice_thickness_mm,4.000000,0.800000,2.000000,-1.000000,3.800000
train,54,slice_thickness_mm,5.000000,0.800000,2.000000,-1.000000,3.800000
train,63,slice_thickness_mm,5.000000,0.800000,2.000000,-1.000000,3.800000
train,66,slice_thickness_mm,5.000000,0.800000,2.000000,-1.000000,3.800000
train,71,slice_thickness_mm,5.000000,0.800000,2.000000,-1.000000,3.800000
train,73,slice_thickness_mm,4.000000,0.800000,2.000000,-1.000000,3.800000
train,74,slice_thickness_mm,5.000000,0.800000,2.000000,-1.000000,3.800000
train,75,slice_thickness_mm,5.000000,0.800000,2.000000,-1.000000,3.800000
train,77,slice_thickness_mm,5.000000,0.800000,2.000000,-1.000000,3.800000
train,22,fov_z_mm,807.689995,415.289250,549.550002,213.898121,750.941131
train,28,fov_z_mm,129.000000,415.289250,549.550002,213.898121,750.941131
train,29,fov_z_mm,172.000000,415.289250,549.550002,213.898121,750.941131
train,30,fov_z_mm,200.000000,415.289250,549.550002,213.898121,750.941131
train,31,fov_z_mm,91.000000,415.289250,549.550002,213.898121,750.941131
train,32,fov_z_mm,139.000000,415.289250,549.550002,213.898121,750.941131
train,33,fov_z_mm,135.000000,415.289250,549.550002,213.898121,750.941131
train,34,fov_z_mm,151.000000,415.289250,549.550002,213.898121,750.941131
train,35,fov_z_mm,124.000000,415.289250,549.550002,213.898121,750.941131
train,36,fov_z_mm,111.000000,415.289250,549.550002,213.898121,750.941131
train,37,fov_z_mm,122.000000,415.289250,549.550002,213.898121,750.941131
train,38,fov_z_mm,132.000000,415.289250,549.550002,213.898121,750.941131
train,40,fov_z_mm,122.000000,415.289250,549.550002,213.898121,750.941131
train,41,fov_z_mm,113.000000,415.289250,549.550002,213.898121,750.941131
train,42,fov_z_mm,125.000000,415.289250,549.550002,213.898121,750.941131
train,43,fov_z_mm,155.000000,415.289250,549.550002,213.898121,750.941131
train,44,fov_z_mm,119.000000,415.289250,549.550002,213.898121,750.941131
train,45,fov_z_mm,74.000000,415.289250,549.550002,213.898121,750.941131
train,46,fov_z_mm,124.000000,415.289250,549.550002,213.898121,750.941131
train,4,liver_volume_ml,3144.348138,1388.943712,1899.738057,622.752195,2665.929574
train,28,liver_volume_ml,2865.131000,1388.943712,1899.738057,622.752195,2665.929574
train,35,liver_volume_ml,3215.090000,1388.943712,1899.738057,622.752195,2665.929574
train,39,liver_volume_ml,3341.433000,1388.943712,1899.738057,622.752195,2665.929574
train,43,liver_volume_ml,2717.185000,1388.943712,1899.738057,622.752195,2665.929574
train,46,liver_volume_ml,583.208000,1388.943712,1899.738057,622.752195,2665.929574
train,4,tumour_volume_ml,987.656498,1.955742,42.139110,-58.319310,102.414163
train,16,tumour_volume_ml,147.572668,1.955742,42.139110,-58.319310,102.414163
train,28,tumour_volume_ml,214.268000,1.955742,42.139110,-58.319310,102.414163
train,33,tumour_volume_ml,434.721000,1.955742,42.139110,-58.319310,102.414163
train,39,tumour_volume_ml,348.986000,1.955742,42.139110,-58.319310,102.414163
train,40,tumour_volume_ml,122.480000,1.955742,42.139110,-58.319310,102.414163
train,44,tumour_volume_ml,185.990000,1.955742,42.139110,-58.319310,102.414163
train,51,tumour_volume_ml,305.077611,1.955742,42.139110,-58.319310,102.414163
train,56,tumour_volume_ml,345.771463,1.955742,42.139110,-58.319310,102.414163
train,64,tumour_volume_ml,216.438789,1.955742,42.139110,-58.319310,102.414163
train,71,tumour_volume_ml,221.140627,1.955742,42.139110,-58.319310,102.414163
train,74,tumour_volume_ml,126.765074,1.955742,42.139110,-58.319310,102.414163
train,76,tumour_volume_ml,266.481315,1.955742,42.139110,-58.319310,102.414163
train,84,tumour_volume_ml,217.602360,1.955742,42.139110,-58.319310,102.414163
train,88,tumour_volume_ml,116.200581,1.955742,42.139110,-58.319310,102.414163
train,90,tumour_volume_ml,122.427964,1.955742,42.139110,-58.319310,102.414163
train,93,tumour_volume_ml,122.037984,1.955742,42.139110,-58.319310,102.414163
train,97,tumour_volume_ml,265.146088,1.955742,42.139110,-58.319310,102.414163
train,98,tumour_volume_ml,229.770134,1.955742,42.139110,-58.319310,102.414163
train,100,tumour_volume_ml,537.202150,1.955742,42.139110,-58.319310,102.414163
train,101,tumour_volume_ml,131.694731,1.955742,42.139110,-58.319310,102.414163
val,104,tumour_volume_ml,134.639384,1.955742,42.139110,-58.319310,102.414163
val,108,tumour_volume_ml,618.611316,1.955742,42.139110,-58.319310,102.414163
val,116,tumour_volume_ml,266.351941,1.955742,42.139110,-58.319310,102.414163
train,22,roi_area_ratio,0.205261,0.373051,0.462467,0.238926,0.596592
train,71,roi_area_ratio,0.606201,0.373051,0.462467,0.238926,0.596592
train,28,roi_height_mm_derived_grid,394.000000,246.909868,298.500000,169.524671,375.885198
train,34,roi_height_mm_derived_grid,384.000000,246.909868,298.500000,169.524671,375.885198
train,35,roi_height_mm_derived_grid,470.000000,246.909868,298.500000,169.524671,375.885198
train,40,roi_width_mm_derived_grid,348.000000,222.786052,271.775002,149.302627,345.258426
train,43,roi_width_mm_derived_grid,414.000000,222.786052,271.775002,149.302627,345.258426
