feature,split,count,q00,q05,q25,q50,q75,q95,q100,mean,std,validation_minus_train_standardized_difference
slices_z,train,104,74.000000,93.150000,145.000000,263.000000,629.250000,841.000000,917.000000,391.028846,262.602230,2.244728
slices_z,val,13,751.000000,754.000000,771.000000,816.000000,846.000000,939.200000,986.000000,821.923077,68.819161,2.244728
spacing_x_mm,train,104,0.556641,0.644531,0.703125,0.772461,0.910156,1.000000,1.000000,0.804876,0.126885,-0.469054
spacing_x_mm,val,13,0.640000,0.688000,0.729000,0.781000,0.782000,0.810937,0.843750,0.759832,0.048425,-0.469054
spacing_y_mm,train,104,0.556641,0.644531,0.703125,0.772461,0.910156,1.000000,1.000000,0.804876,0.126885,-0.469054
spacing_y_mm,val,13,0.640000,0.688000,0.729000,0.781000,0.782000,0.810937,0.843750,0.759832,0.048425,-0.469054
slice_thickness_mm,train,104,0.699984,0.700000,0.800000,1.000000,2.000000,5.000000,5.000000,1.634806,1.279375,-0.939391
slice_thickness_mm,val,13,0.700000,0.700000,0.800000,0.800000,0.800000,0.800000,0.800000,0.784615,0.037553,-0.939391
fov_x_mm,train,104,285.000000,329.999896,360.000000,395.500000,466.000000,512.000000,512.000000,412.096694,64.964938,-0.469054
fov_x_mm,val,13,327.679993,352.256006,373.247986,399.872009,400.384003,415.200000,432.000000,389.033846,24.793407,-0.469054
fov_y_mm,train,104,285.000000,329.999896,360.000000,395.500000,466.000000,512.000000,512.000000,412.096694,64.964938,-0.469054
fov_y_mm,val,13,327.679993,352.256006,373.247986,399.872009,400.384003,415.200000,432.000000,389.033846,24.793407,-0.469054
fov_z_mm,train,104,74.000000,122.000000,415.289250,469.450005,549.550002,672.200010,807.689995,441.573213,171.629801,1.629363
fov_z_mm,val,13,600.800009,603.200009,616.800009,635.599989,676.800010,686.960001,690.199988,642.969237,33.153967,1.629363
liver_volume_ml,train,104,583.208000,1189.753112,1388.943712,1635.955753,1899.738057,2519.444741,3341.433000,1708.407959,467.401987,-0.206287
liver_volume_ml,val,13,983.072256,1175.236020,1487.127956,1574.940381,1808.237382,2140.568373,2253.770787,1624.661946,333.400088,-0.206287
tumour_volume_ml,train,104,0.000000,0.000000,1.955742,14.323928,42.139110,299.288166,987.656498,65.018968,136.498563,0.149952
tumour_volume_ml,val,13,0.000000,0.000000,0.000000,3.571300,51.593661,407.255691,618.611316,88.700294,176.775505,0.149952
roi_area_ratio,train,104,0.205261,0.289691,0.373051,0.420425,0.462467,0.546870,0.606201,0.415163,0.077756,0.177845
roi_area_ratio,val,13,0.332611,0.338452,0.380859,0.427002,0.488159,0.511560,0.533203,0.427962,0.065674,0.177845
roi_height_mm_derived_grid,train,104,213.984296,223.021783,246.909868,265.082503,298.500000,362.000000,470.000000,277.274917,44.564156,-0.274591
roi_height_mm_derived_grid,val,13,237.653991,237.909593,247.680010,270.000000,283.084002,295.132005,298.342007,267.781577,20.114107,-0.274591
roi_width_mm_derived_grid,train,104,163.750000,189.790711,222.786052,242.318359,271.775002,335.100000,414.000000,249.746926,41.984581,-0.251359
roi_width_mm_derived_grid,val,13,196.812005,202.071597,216.692003,240.407994,265.355990,282.229851,285.640625,240.603433,29.728067,-0.251359
