split,volume_id,tumour_hu_median,tumour_hu_iqr,liver_hu_median,liver_hu_iqr,tumour_minus_liver_hu,robust_cnr,background_hu_median,background_hu_iqr,tumour_broad_window_visibility,tumour_liver_window_visibility,liver_broad_window_visibility,liver_liver_window_visibility
train,0,89.000000,33.000000,122.000000,21.000000,-33.000000,-2.119857,-906.000000,956.000000,1.000000,1.000000,0.999878,0.997366
train,1,68.000000,27.000000,115.000000,20.000000,-47.000000,-3.170150,-850.000000,960.000000,1.000000,0.989575,0.999980,0.997731
train,2,55.000000,33.000000,85.000000,37.000000,-30.000000,-1.093784,-411.000000,979.000000,1.000000,0.985705,0.999993,0.996169
train,3,74.000000,34.000000,102.000000,35.000000,-28.000000,-1.079200,-174.000000,992.000000,1.000000,1.000000,0.999971,0.993657
train,4,29.000000,41.000000,80.000000,45.000000,-51.000000,-1.528867,-908.000000,925.000000,0.999672,0.838551,0.999005,0.972865
train,5,50.000000,28.000000,75.000000,43.000000,-25.000000,-0.784302,-858.000000,935.000000,1.000000,0.994444,0.999958,0.979159
train,6,43.000000,38.000000,86.000000,36.000000,-43.000000,-1.611306,-949.000000,922.000000,1.000000,0.942448,0.999379,0.987764
train,7,42.000000,37.000000,89.000000,37.000000,-47.000000,-1.713595,-236.000000,968.000000,1.000000,0.935445,0.998932,0.986737
train,8,45.000000,35.000000,84.000000,37.000000,-39.000000,-1.421919,-914.000000,935.000000,1.000000,0.958563,0.999540,0.989535
train,9,48.000000,35.000000,88.000000,35.000000,-40.000000,-1.541714,-909.000000,939.000000,1.000000,0.969521,0.999456,0.990012
train,10,47.000000,35.000000,93.000000,34.000000,-46.000000,-1.825118,-844.000000,958.000000,1.000000,0.972151,0.999998,0.996101
train,11,53.000000,37.000000,79.000000,37.000000,-26.000000,-0.947946,-110.000000,1002.000000,1.000000,0.974784,0.999904,0.995532
train,12,55.000000,30.000000,84.000000,34.000000,-29.000000,-1.150618,-120.000000,999.000000,1.000000,0.994937,0.999998,0.997667
train,13,37.000000,27.000000,54.000000,31.000000,-17.000000,-0.739774,-968.000000,908.000000,1.000000,0.962285,0.999830,0.984655
train,14,78.000000,36.000000,107.000000,30.000000,-29.000000,-1.304033,-817.000000,1002.000000,1.000000,0.994257,0.999974,0.998727
