split,volume_id,lesion_id_6conn,voxel_count,physical_volume_ml,equivalent_spherical_diameter_mm,bbox_x_mm,bbox_y_mm,bbox_z_mm,axial_span_slices,surface_voxel_per_mm3_proxy,centroid_distance_from_liver_centre_normalized,tiny_under_0_001_ml
train,0,1,46,0.113708,6.010788,4.921875,5.625000,5.000000,1,0.404543,0.250947,False
train,0,2,43,0.106293,5.877171,5.625000,5.625000,5.000000,1,0.404543,0.165492,False
train,0,3,98,0.242249,7.734297,6.328125,9.140625,5.000000,1,0.404543,0.136224,False
train,0,4,329,0.813263,11.580948,11.250000,9.843750,15.000000,3,0.352899,0.311539,False
train,0,5,1085,2.682037,17.238074,16.171875,18.281250,20.000000,4,0.259877,0.223994,False
train,0,6,147,0.363373,8.853560,8.437500,8.437500,15.000000,3,0.393535,0.032971,False
train,0,7,361,0.892365,11.944864,11.250000,13.359375,10.000000,2,0.404543,0.154375,False
train,0,8,137,0.338654,8.648066,7.734375,9.140625,10.000000,2,0.404543,0.163105,False
train,0,9,52,0.128540,6.261522,5.625000,7.031250,5.000000,1,0.404543,0.202340,False
train,0,10,134,0.331238,8.584475,7.031250,7.734375,15.000000,3,0.383410,0.318567,False
train,0,11,159,0.393036,9.088200,8.437500,8.437500,15.000000,3,0.368923,0.300307,False
train,1,1,169,0.385895,9.032820,7.433591,8.109372,10.000000,2,0.437943,0.161854,False
train,1,2,148,0.337943,8.642015,8.109372,6.082029,15.000000,3,0.372844,0.161095,False
train,1,3,80,0.182672,7.039759,6.082029,6.757810,10.000000,2,0.437943,0.141045,False
train,1,4,622,1.420275,13.946265,14.191401,14.867182,15.000000,3,0.394994,0.301638,False
train,1,5,1899,4.336176,20.231874,20.949211,25.679678,25.000000,5,0.344543,0.226041,False
train,1,6,751,1.714833,14.850501,14.867182,14.191401,20.000000,4,0.328895,0.035281,False
train,1,7,608,1.388307,13.840836,17.570306,14.191401,15.000000,3,0.365193,0.107449,False
train,1,8,1252,2.858817,17.608778,20.273430,18.921868,20.000000,4,0.329157,0.155115,False
train,1,9,327,0.746672,11.255817,9.460934,12.839839,10.000000,2,0.437943,0.174557,False
train,1,10,186,0.424712,9.326072,6.757810,14.191401,10.000000,2,0.437943,0.208793,False
train,1,11,383,0.874542,11.864808,14.867182,12.839839,10.000000,2,0.437943,0.323249,False
train,1,12,769,1.755935,14.968211,18.921868,13.515620,15.000000,3,0.361631,0.305549,False
train,2,1,14131,8.495990,25.316585,29.464844,28.689453,29.000000,29,0.355344,0.159085,False
train,3,1,2793,1.342727,13.687675,14.560547,16.640625,15.000000,15,0.708260,0.136305,False
train,4,1,1487023,968.616668,122.758368,109.183623,198.515677,195.200003,244,0.115020,0.129781,False
train,4,2,2,0.001303,1.355050,0.902344,0.902344,1.600000,2,1.535203,0.217874,False
train,4,3,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.183392,True
train,4,4,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.341124,True
