volume_id,roi_empty,y0,y1,x0,x1,crop_area_ratio,tumour_pixel_containment,positive_slice_containment,tumor_pixels,positive_slices,split,liver_threshold,padding,component_mode
0,False,19,204,54,200,0.412140,1.000000,1.000000,644,16,train,0.500000,16,largest_3d
1,False,17,209,63,215,0.445312,1.000000,1.000000,1793,18,train,0.500000,16,largest_3d
2,False,9,207,61,222,0.486420,1.000000,1.000000,3518,28,train,0.500000,16,largest_3d
3,False,3,173,70,247,0.459137,1.000000,1.000000,697,14,train,0.500000,16,largest_3d
4,False,20,208,56,206,0.430298,1.000000,1.000000,378927,244,train,0.500000,16,largest_3d
5,False,38,173,68,208,0.288391,1.000000,1.000000,135,10,train,0.500000,16,largest_3d
6,False,19,165,72,219,0.327484,1.000000,1.000000,7941,91,train,0.500000,16,largest_3d
7,False,3,168,48,212,0.412903,1.000000,1.000000,8104,83,train,0.500000,16,largest_3d
8,False,10,180,59,206,0.381317,1.000000,1.000000,5192,81,train,0.500000,16,largest_3d
9,False,4,156,67,209,0.329346,1.000000,1.000000,5576,80,train,0.500000,16,largest_3d
10,False,7,166,63,220,0.380905,1.000000,1.000000,6051,81,train,0.500000,16,largest_3d
11,False,0,187,50,224,0.496490,1.000000,1.000000,2624,53,train,0.500000,16,largest_3d
12,False,0,206,65,236,0.537506,1.000000,1.000000,204,9,train,0.500000,16,largest_3d
13,False,22,178,45,200,0.368958,1.000000,1.000000,5935,63,train,0.500000,16,largest_3d
14,False,3,165,48,220,0.425171,1.000000,1.000000,649,16,train,0.500000,16,largest_3d
15,False,0,167,31,216,0.471420,1.000000,1.000000,229,12,train,0.500000,16,largest_3d
16,False,11,189,39,194,0.420990,1.000000,1.000000,93269,120,train,0.500000,16,largest_3d
17,False,10,171,46,200,0.378326,1.000000,1.000000,9402,53,train,0.500000,16,largest_3d
18,False,37,167,59,187,0.253906,1.000000,1.000000,2556,43,train,0.500000,16,largest_3d
19,False,9,184,53,221,0.448608,1.000000,1.000000,4601,48,train,0.500000,16,largest_3d
20,False,20,188,59,214,0.397339,1.000000,1.000000,436,22,train,0.500000,16,largest_3d
21,False,14,197,69,226,0.438400,1.000000,1.000000,9020,68,train,0.500000,16,largest_3d
22,False,46,160,74,192,0.205261,1.000000,1.000000,2360,12,train,0.500000,16,largest_3d
23,False,11,241,26,193,0.586090,1.000000,1.000000,10737,32,train,0.500000,16,largest_3d
24,False,6,174,55,230,0.448608,1.000000,1.000000,352,7,train,0.500000,16,largest_3d
25,False,29,200,70,193,0.320938,1.000000,1.000000,119,11,train,0.500000,16,largest_3d
26,False,35,192,79,203,0.297058,1.000000,1.000000,12887,85,train,0.500000,16,largest_3d
27,False,21,186,63,194,0.329819,1.000000,1.000000,46858,144,train,0.500000,16,largest_3d
28,False,5,202,51,223,0.517029,1.000000,1.000000,53583,74,train,0.500000,16,largest_3d
29,False,33,183,56,196,0.320435,1.000000,1.000000,3511,22,train,0.500000,16,largest_3d
30,False,1,170,59,218,0.410019,1.000000,1.000000,3551,18,train,0.500000,16,largest_3d
31,False,20,174,58,217,0.373627,1.000000,1.000000,1697,37,train,0.500000,16,largest_3d
32,False,24,194,64,232,0.435791,,,0,0,train,0.500000,16,largest_3d
33,False,7,188,59,227,0.463989,1.000000,1.000000,108733,78,train,0.500000,16,largest_3d
34,False,16,208,48,195,0.430664,,,0,0,train,0.500000,16,largest_3d
35,False,9,244,55,213,0.566559,1.000000,1.000000,5057,29,train,0.500000,16,largest_3d
36,False,19,168,60,205,0.329666,1.000000,1.000000,9881,30,train,0.500000,16,largest_3d
37,False,25,187,85,230,0.358429,1.000000,1.000000,3749,48,train,0.500000,16,largest_3d
38,False,13,180,59,207,0.377136,,,0,0,train,0.500000,16,largest_3d
39,False,20,200,66,203,0.376282,1.000000,1.000000,87271,76,train,0.500000,16,largest_3d
40,False,3,189,53,227,0.493835,1.000000,1.000000,30582,54,train,0.500000,16,largest_3d
41,False,16,197,59,193,0.370087,,,0,0,train,0.500000,16,largest_3d
42,False,25,176,85,217,0.304138,1.000000,1.000000,407,7,train,0.500000,16,largest_3d
43,False,11,197,15,222,0.587494,1.000000,1.000000,1842,15,train,0.500000,16,largest_3d
44,False,24,192,67,239,0.440918,1.000000,1.000000,46506,36,train,0.500000,16,largest_3d
45,False,22,195,36,201,0.435562,1.000000,1.000000,1135,11,train,0.500000,16,largest_3d
46,False,32,194,59,196,0.338654,1.000000,1.000000,10408,33,train,0.500000,16,largest_3d
47,False,23,190,61,212,0.384781,,,0,0,train,0.500000,16,largest_3d
48,False,34,170,59,204,0.300903,1.000000,1.000000,8880,27,train,0.500000,16,largest_3d
49,False,40,176,54,179,0.259399,1.000000,1.000000,1996,23,train,0.500000,16,largest_3d
50,False,37,183,67,184,0.260651,1.000000,1.000000,760,7,train,0.500000,16,largest_3d
51,False,20,183,82,236,0.383026,1.000000,1.000000,31202,35,train,0.500000,16,largest_3d
52,False,28,175,58,196,0.309540,1.000000,1.000000,4560,21,train,0.500000,16,largest_3d
53,False,38,164,44,180,0.261475,1.000000,1.000000,575,10,train,0.500000,16,largest_3d
54,False,12,185,41,194,0.403885,1.000000,1.000000,132,4,train,0.500000,16,largest_3d
55,False,4,217,61,203,0.461517,1.000000,1.000000,703,6,train,0.500000,16,largest_3d
56,False,10,197,37,193,0.445129,1.000000,1.000000,67074,66,train,0.500000,16,largest_3d
57,False,10,192,58,212,0.427673,1.000000,1.000000,1648,21,train,0.500000,16,largest_3d
58,False,16,216,64,213,0.454712,1.000000,1.000000,363,17,train,0.500000,16,largest_3d
59,False,9,174,51,211,0.402832,1.000000,1.000000,168,4,train,0.500000,16,largest_3d
60,False,15,211,45,206,0.481506,1.000000,1.000000,2843,18,train,0.500000,16,largest_3d
61,False,13,213,47,203,0.476074,1.000000,1.000000,733,11,train,0.500000,16,largest_3d
62,False,24,190,61,202,0.357147,1.000000,1.000000,803,13,train,0.500000,16,largest_3d
63,False,13,180,59,210,0.384781,1.000000,1.000000,171,7,train,0.500000,16,largest_3d
64,False,12,191,58,212,0.420624,1.000000,1.000000,44767,38,train,0.500000,16,largest_3d
65,False,16,210,35,166,0.387787,1.000000,1.000000,416,10,train,0.500000,16,largest_3d
66,False,5,175,46,217,0.443573,1.000000,1.000000,588,7,train,0.500000,16,largest_3d
67,False,19,200,41,180,0.383896,1.000000,1.000000,130,5,train,0.500000,16,largest_3d
68,False,55,242,59,217,0.450836,1.000000,1.000000,1223,9,train,0.500000,16,largest_3d
69,False,86,247,58,226,0.412720,1.000000,1.000000,776,10,train,0.500000,16,largest_3d
70,False,61,244,48,196,0.413269,1.000000,1.000000,30160,51,train,0.500000,16,largest_3d
71,False,48,256,38,229,0.606201,1.000000,1.000000,35658,20,train,0.500000,16,largest_3d
72,False,64,250,55,228,0.490997,1.000000,1.000000,5579,17,train,0.500000,16,largest_3d
73,False,91,232,56,204,0.318420,1.000000,1.000000,146,4,train,0.500000,16,largest_3d
74,False,62,253,44,217,0.504196,1.000000,1.000000,9301,10,train,0.500000,16,largest_3d
75,False,68,250,84,226,0.394348,1.000000,1.000000,685,12,train,0.500000,16,largest_3d
76,False,69,248,68,230,0.442474,1.000000,1.000000,48351,59,train,0.500000,16,largest_3d
77,False,80,250,55,230,0.453949,1.000000,1.000000,1059,8,train,0.500000,16,largest_3d
78,False,77,242,69,219,0.377655,1.000000,1.000000,3072,36,train,0.500000,16,largest_3d
79,False,91,246,66,223,0.371323,1.000000,1.000000,2262,18,train,0.500000,16,largest_3d
80,False,58,237,59,202,0.390579,1.000000,1.000000,22070,30,train,0.500000,16,largest_3d
81,False,42,232,56,204,0.429077,1.000000,1.000000,1287,14,train,0.500000,16,largest_3d
82,False,27,236,49,221,0.548523,1.000000,1.000000,35374,60,train,0.500000,16,largest_3d
83,False,44,222,77,202,0.339508,1.000000,1.000000,28,5,train,0.500000,16,largest_3d
84,False,65,251,41,222,0.513702,1.000000,1.000000,135314,219,train,0.500000,16,largest_3d
85,False,59,248,25,206,0.521988,1.000000,1.000000,3882,34,train,0.500000,16,largest_3d
86,False,76,256,56,232,0.483398,1.000000,1.000000,1528,48,train,0.500000,16,largest_3d
87,False,66,236,43,215,0.446167,,,0,0,train,0.500000,16,largest_3d
88,False,69,245,69,230,0.432373,1.000000,1.000000,63512,101,train,0.500000,16,largest_3d
