policy,volume_id,slice_index,sample_id,truth_pixels,detected,max_truth_probability
maximum,104,282,v104_s0282,27,False,0.000000
maximum,104,283,v104_s0283,34,False,0.000000
maximum,104,284,v104_s0284,48,False,0.000000
maximum,104,285,v104_s0285,68,False,0.000000
maximum,104,286,v104_s0286,69,True,0.766113
maximum,104,287,v104_s0287,76,False,0.012299
maximum,104,288,v104_s0288,79,False,0.000000
maximum,104,289,v104_s0289,87,False,0.000000
maximum,104,290,v104_s0290,96,False,0.000000
maximum,104,291,v104_s0291,93,False,0.003151
maximum,104,292,v104_s0292,74,False,0.000000
maximum,104,293,v104_s0293,74,False,0.000000
maximum,104,294,v104_s0294,79,False,0.000000
maximum,104,295,v104_s0295,83,False,0.000000
maximum,104,296,v104_s0296,98,False,0.000002
maximum,104,297,v104_s0297,135,True,0.999512
maximum,104,298,v104_s0298,180,False,0.119385
maximum,104,299,v104_s0299,167,False,0.000000
maximum,104,300,v104_s0300,155,False,0.000000
maximum,104,301,v104_s0301,165,False,0.000000
maximum,104,302,v104_s0302,159,False,0.000000
maximum,104,303,v104_s0303,135,False,0.000128
maximum,104,304,v104_s0304,120,True,1.000000
maximum,104,305,v104_s0305,130,True,1.000000
maximum,104,306,v104_s0306,106,False,0.117126
maximum,104,307,v104_s0307,100,False,0.000000
maximum,104,308,v104_s0308,97,False,0.000000
maximum,104,309,v104_s0309,105,False,0.000000
maximum,104,310,v104_s0310,121,False,0.000000
maximum,104,311,v104_s0311,148,False,0.000000
maximum,104,312,v104_s0312,203,False,0.000000
maximum,104,313,v104_s0313,313,False,0.000000
maximum,104,314,v104_s0314,338,False,0.000000
maximum,104,315,v104_s0315,388,True,1.000000
maximum,104,316,v104_s0316,471,False,0.000000
maximum,104,317,v104_s0317,506,False,0.000000
maximum,104,318,v104_s0318,520,False,0.000000
maximum,104,319,v104_s0319,594,True,0.995117
maximum,104,320,v104_s0320,631,True,0.996094
maximum,104,321,v104_s0321,665,False,0.000000
maximum,104,322,v104_s0322,705,False,0.482178
maximum,104,323,v104_s0323,754,False,0.000000
maximum,104,324,v104_s0324,773,True,0.957031
maximum,104,325,v104_s0325,814,True,0.966797
maximum,104,326,v104_s0326,837,False,0.000000
maximum,104,327,v104_s0327,854,False,0.000000
maximum,104,328,v104_s0328,864,False,0.000002
maximum,104,329,v104_s0329,913,False,0.000000
maximum,104,330,v104_s0330,977,False,0.000000
maximum,104,331,v104_s0331,1006,False,0.000000
maximum,104,332,v104_s0332,1038,False,0.000000
maximum,104,333,v104_s0333,1068,False,0.000000
maximum,104,334,v104_s0334,1046,False,0.000000
maximum,104,335,v104_s0335,1079,False,0.000000
maximum,104,336,v104_s0336,1098,False,0.000000
maximum,104,337,v104_s0337,1125,False,0.000000
maximum,104,338,v104_s0338,1141,False,0.000000
maximum,104,339,v104_s0339,1145,False,0.000000
maximum,104,340,v104_s0340,1145,False,0.000000
maximum,104,341,v104_s0341,1165,False,0.000000
maximum,104,342,v104_s0342,1169,False,0.000000
maximum,104,343,v104_s0343,1179,False,0.000000
maximum,104,344,v104_s0344,1180,False,0.000000
maximum,104,345,v104_s0345,1191,False,0.000000
maximum,104,346,v104_s0346,1207,False,0.000000
maximum,104,347,v104_s0347,1221,False,0.000000
maximum,104,348,v104_s0348,1242,False,0.000000
maximum,104,349,v104_s0349,1227,False,0.000000
maximum,104,350,v104_s0350,1218,False,0.000000
maximum,104,351,v104_s0351,1207,False,0.000000
maximum,104,352,v104_s0352,1226,False,0.000000
maximum,104,353,v104_s0353,1239,False,0.000000
maximum,104,354,v104_s0354,1267,False,0.000000
maximum,104,355,v104_s0355,1273,False,0.000000
maximum,104,356,v104_s0356,1230,False,0.000000
maximum,104,357,v104_s0357,1225,False,0.000000
maximum,104,358,v104_s0358,1216,False,0.000029
maximum,104,359,v104_s0359,1214,True,0.994141
maximum,104,360,v104_s0360,1193,True,1.000000
maximum,104,361,v104_s0361,1155,True,1.000000
maximum,104,362,v104_s0362,1149,True,1.000000
maximum,104,363,v104_s0363,1110,True,0.998535
maximum,104,364,v104_s0364,1089,True,1.000000
maximum,104,365,v104_s0365,1062,True,0.933105
maximum,104,366,v104_s0366,1050,True,0.987793
maximum,104,367,v104_s0367,1037,True,1.000000
maximum,104,368,v104_s0368,988,True,1.000000
maximum,104,369,v104_s0369,975,True,0.999512
maximum,104,370,v104_s0370,960,True,1.000000
