model,volume_id,max_abs_difference,mean_abs_difference,tolerance,passed
control,104,0.00000000,0.00000000,0.00000100,True
recall_loss,104,0.00000000,0.00000000,0.00000100,True
control,105,0.00000000,0.00000000,0.00000100,True
recall_loss,105,0.00000000,0.00000000,0.00000100,True
control,106,0.00000000,0.00000000,0.00000100,True
recall_loss,106,0.00000000,0.00000000,0.00000100,True
control,107,0.00000000,0.00000000,0.00000100,True
recall_loss,107,0.00000000,0.00000000,0.00000100,True
control,108,0.00000000,0.00000000,0.00000100,True
recall_loss,108,0.00000000,0.00000000,0.00000100,True
control,109,0.00000000,0.00000000,0.00000100,True
recall_loss,109,0.00000000,0.00000000,0.00000100,True
control,110,0.00000000,0.00000000,0.00000100,True
recall_loss,110,0.00000000,0.00000000,0.00000100,True
control,111,0.00000000,0.00000000,0.00000100,True
recall_loss,111,0.00000000,0.00000000,0.00000100,True
control,112,0.00000000,0.00000000,0.00000100,True
recall_loss,112,0.00000000,0.00000000,0.00000100,True
control,113,0.00000000,0.00000000,0.00000100,True
recall_loss,113,0.00000000,0.00000000,0.00000100,True
control,114,0.00000000,0.00000000,0.00000100,True
recall_loss,114,0.00000000,0.00000000,0.00000100,True
control,115,0.00000000,0.00000000,0.00000100,True
recall_loss,115,0.00000000,0.00000000,0.00000100,True
control,116,0.00000000,0.00000000,0.00000100,True
recall_loss,116,0.00000000,0.00000000,0.00000100,True
