model,volume_id,pixels,max_abs_difference,mean_abs_difference,pixels_above_diagnostic_tolerance,fraction_above_diagnostic_tolerance,aggregate_mean_abs_difference,aggregate_fraction_above_tolerance,aggregate_passed
control,104,51183616,0.03613281,0.00000004,742,0.00001450,0.00000011,0.00003657,True
recall_loss,104,51183616,0.01562500,0.00000008,1914,0.00003739,0.00000011,0.00003657,True
control,105,64618496,0.01635742,0.00000001,236,0.00000365,0.00000011,0.00003657,True
recall_loss,105,64618496,0.00878906,0.00000002,631,0.00000977,0.00000011,0.00003657,True
control,106,50528256,0.00830078,0.00000001,150,0.00000297,0.00000011,0.00003657,True
recall_loss,106,50528256,0.01171875,0.00000003,715,0.00001415,0.00000011,0.00003657,True
control,107,50528256,0.01416016,0.00000001,121,0.00000239,0.00000011,0.00003657,True
recall_loss,107,50528256,0.00805664,0.00000004,881,0.00001744,0.00000011,0.00003657,True
control,108,56098816,0.03326416,0.00000060,8994,0.00016032,0.00000011,0.00003657,True
recall_loss,108,56098816,0.02490234,0.00000094,17804,0.00031737,0.00000011,0.00003657,True
control,109,49545216,0.01806641,0.00000008,1469,0.00002965,0.00000011,0.00003657,True
recall_loss,109,49545216,0.00854492,0.00000014,2953,0.00005960,0.00000011,0.00003657,True
control,110,53477376,0.00488281,0.00000006,944,0.00001765,0.00000011,0.00003657,True
recall_loss,110,53477376,0.01953125,0.00000009,1687,0.00003155,0.00000011,0.00003657,True
control,111,49872896,0.02856445,0.00000003,510,0.00001023,0.00000011,0.00003657,True
recall_loss,111,49872896,0.01538086,0.00000003,677,0.00001357,0.00000011,0.00003657,True
control,112,49217536,0.01220703,0.00000001,205,0.00000417,0.00000011,0.00003657,True
recall_loss,112,49217536,0.00805664,0.00000003,590,0.00001199,0.00000011,0.00003657,True
control,113,54788096,0.03149414,0.00000010,1683,0.00003072,0.00000011,0.00003657,True
recall_loss,113,54788096,0.01098633,0.00000014,2898,0.00005289,0.00000011,0.00003657,True
control,114,55443456,0.00488281,0.00000000,131,0.00000236,0.00000011,0.00003657,True
recall_loss,114,55443456,0.00341797,0.00000000,130,0.00000234,0.00000011,0.00003657,True
control,115,55443456,0.01049805,0.00000002,409,0.00000738,0.00000011,0.00003657,True
recall_loss,115,55443456,0.02124023,0.00000017,3153,0.00005687,0.00000011,0.00003657,True
control,116,59506688,0.03881836,0.00000003,586,0.00000985,0.00000011,0.00003657,True
recall_loss,116,59506688,0.01977539,0.00000005,1006,0.00001691,0.00000011,0.00003657,True
