volume_id,lesion_id_6conn,component_pixels,overlap_pixels,detected,overlap_fraction,axial_span_slices,size_stratum
104,1,302,2,True,0.00662252,10,validation_component_q3
104,2,1356,24,True,0.01769912,33,validation_component_q4
104,3,66981,4319,True,0.06448097,91,validation_component_q4
104,4,273,0,False,0.00000000,16,validation_component_q3
104,5,2,0,False,0.00000000,1,validation_component_q1
104,6,2,0,False,0.00000000,2,validation_component_q1
104,7,1,0,False,0.00000000,1,validation_component_q1
104,8,8,2,True,0.25000000,2,validation_component_q1
104,9,28,22,True,0.78571429,5,validation_component_q2
104,10,79,57,True,0.72151899,12,validation_component_q2
107,1,231,0,False,0.00000000,13,validation_component_q3
107,2,255,206,True,0.80784314,20,validation_component_q3
107,3,56,0,False,0.00000000,11,validation_component_q2
107,4,931,335,True,0.35982814,34,validation_component_q4
108,1,272943,204555,True,0.74944219,202,validation_component_q4
108,2,1178,925,True,0.78522920,16,validation_component_q4
108,3,1279,625,True,0.48866302,19,validation_component_q4
108,4,4200,1132,True,0.26952381,28,validation_component_q4
108,5,914,661,True,0.72319475,19,validation_component_q4
108,6,160,114,True,0.71250000,11,validation_component_q3
108,7,52,0,False,0.00000000,8,validation_component_q2
108,8,442,416,True,0.94117647,11,validation_component_q3
108,9,10404,9538,True,0.91676278,68,validation_component_q4
108,10,504,88,True,0.17460317,14,validation_component_q3
108,11,2129,1581,True,0.74260216,25,validation_component_q4
108,12,507,322,True,0.63510848,13,validation_component_q3
108,13,694,576,True,0.82997118,10,validation_component_q4
108,14,85,51,True,0.60000000,7,validation_component_q2
108,15,7645,5568,True,0.72831916,46,validation_component_q4
108,16,361,220,True,0.60941828,8,validation_component_q3
108,17,62,34,True,0.54838710,5,validation_component_q2
108,18,2784,2320,True,0.83333333,28,validation_component_q4
108,19,38,28,True,0.73684211,5,validation_component_q2
108,20,9797,5201,True,0.53087680,37,validation_component_q4
108,21,103,50,True,0.48543689,8,validation_component_q2
108,22,57,29,True,0.50877193,5,validation_component_q2
108,23,146,44,True,0.30136986,8,validation_component_q3
108,24,2348,1428,True,0.60817717,23,validation_component_q4
108,25,319,172,True,0.53918495,13,validation_component_q3
108,26,1460,941,True,0.64452055,17,validation_component_q4
108,27,1,0,False,0.00000000,1,validation_component_q1
108,28,12444,9467,True,0.76076824,56,validation_component_q4
108,29,163,143,True,0.87730061,7,validation_component_q3
108,30,49,0,False,0.00000000,6,validation_component_q2
108,31,42,40,True,0.95238095,2,validation_component_q2
108,32,7379,6436,True,0.87220491,37,validation_component_q4
108,33,6194,4616,True,0.74523733,43,validation_component_q4
108,34,1,1,True,1.00000000,1,validation_component_q1
108,35,139,112,True,0.80575540,16,validation_component_q3
108,36,11,11,True,1.00000000,1,validation_component_q1
108,37,309,0,False,0.00000000,10,validation_component_q3
108,38,528,265,True,0.50189394,12,validation_component_q3
108,39,439,193,True,0.43963554,9,validation_component_q3
108,40,510,327,True,0.64117647,12,validation_component_q3
108,41,93,39,True,0.41935484,6,validation_component_q2
108,42,718,598,True,0.83286908,19,validation_component_q4
108,43,153,87,True,0.56862745,6,validation_component_q3
108,44,532,443,True,0.83270677,12,validation_component_q3
108,45,140,0,False,0.00000000,4,validation_component_q3
108,46,5502,4270,True,0.77608142,35,validation_component_q4
108,47,66,46,True,0.69696970,5,validation_component_q2
108,48,146,63,True,0.43150685,6,validation_component_q3
108,49,105,90,True,0.85714286,7,validation_component_q2
108,50,64,33,True,0.51562500,5,validation_component_q2
108,51,199,68,True,0.34170854,8,validation_component_q3
108,52,29,11,True,0.37931034,3,validation_component_q2
108,53,1,0,False,0.00000000,1,validation_component_q1
