category,bin_left,bin_right,count
tumour_truth,0.00000000,0.05000000,287702
tumour_truth,0.05000000,0.10000000,5827
tumour_truth,0.10000000,0.15000000,4350
tumour_truth,0.15000000,0.20000000,3561
tumour_truth,0.20000000,0.25000000,3361
tumour_truth,0.25000000,0.30000000,3169
tumour_truth,0.30000000,0.35000000,3131
tumour_truth,0.35000000,0.40000000,3097
tumour_truth,0.40000000,0.45000000,3193
tumour_truth,0.45000000,0.50000000,3507
tumour_truth,0.50000000,0.55000000,3575
tumour_truth,0.55000000,0.60000000,3535
tumour_truth,0.60000000,0.65000000,3812
tumour_truth,0.65000000,0.70000000,4138
tumour_truth,0.70000000,0.75000000,4631
tumour_truth,0.75000000,0.80000000,5229
tumour_truth,0.80000000,0.85000000,6596
tumour_truth,0.85000000,0.90000000,8946
tumour_truth,0.90000000,0.95000000,13726
tumour_truth,0.95000000,1.00000000,284401
non_tumour_liver,0.00000000,0.05000000,10816410
non_tumour_liver,0.05000000,0.10000000,21973
non_tumour_liver,0.10000000,0.15000000,13780
non_tumour_liver,0.15000000,0.20000000,10507
non_tumour_liver,0.20000000,0.25000000,8661
non_tumour_liver,0.25000000,0.30000000,7722
non_tumour_liver,0.30000000,0.35000000,6879
non_tumour_liver,0.35000000,0.40000000,6422
non_tumour_liver,0.40000000,0.45000000,6074
non_tumour_liver,0.45000000,0.50000000,6199
non_tumour_liver,0.50000000,0.55000000,5960
non_tumour_liver,0.55000000,0.60000000,5628
non_tumour_liver,0.60000000,0.65000000,5518
non_tumour_liver,0.65000000,0.70000000,5505
non_tumour_liver,0.70000000,0.75000000,5611
non_tumour_liver,0.75000000,0.80000000,6059
non_tumour_liver,0.80000000,0.85000000,6535
non_tumour_liver,0.85000000,0.90000000,7770
non_tumour_liver,0.90000000,0.95000000,10359
non_tumour_liver,0.95000000,1.00000000,52333
background,0.00000000,0.05000000,688501342
background,0.05000000,0.10000000,5056
background,0.10000000,0.15000000,3227
background,0.15000000,0.20000000,2486
background,0.20000000,0.25000000,2043
background,0.25000000,0.30000000,1815
background,0.30000000,0.35000000,1712
background,0.35000000,0.40000000,1564
background,0.40000000,0.45000000,1503
background,0.45000000,0.50000000,1362
background,0.50000000,0.55000000,1308
background,0.55000000,0.60000000,1338
background,0.60000000,0.65000000,1335
background,0.65000000,0.70000000,1449
background,0.70000000,0.75000000,1545
background,0.75000000,0.80000000,1652
background,0.80000000,0.85000000,1880
background,0.85000000,0.90000000,2274
background,0.90000000,0.95000000,3290
background,0.95000000,1.00000000,38587
