bin_left,bin_right,count,mean_score,observed_positive_fraction,absolute_calibration_gap
0.00000000,0.05000000,699605454,0.00000285,0.00041123,0.00040838
0.05000000,0.10000000,32856,0.07293495,0.17734965,0.10441470
0.10000000,0.15000000,21357,0.12361419,0.20368029,0.08006610
0.15000000,0.20000000,16554,0.17437684,0.21511417,0.04073733
0.20000000,0.25000000,14065,0.22436586,0.23896196,0.01459610
0.25000000,0.30000000,12706,0.27430846,0.24940973,0.02489873
0.30000000,0.35000000,11722,0.32471647,0.26710459,0.05761188
0.35000000,0.40000000,11083,0.37476079,0.27943698,0.09532382
0.40000000,0.45000000,10770,0.42496289,0.29647168,0.12849121
0.45000000,0.50000000,11068,0.47518468,0.31685941,0.15832526
0.50000000,0.55000000,10843,0.52477058,0.32970580,0.19506478
0.55000000,0.60000000,10501,0.57491614,0.33663461,0.23828153
0.60000000,0.65000000,10665,0.62507508,0.35743085,0.26764424
0.65000000,0.70000000,11092,0.67529174,0.37306167,0.30223007
0.70000000,0.75000000,11787,0.72530690,0.39289047,0.33241642
0.75000000,0.80000000,12940,0.77523901,0.40409583,0.37114318
0.80000000,0.85000000,15011,0.82560780,0.43941110,0.38619670
0.85000000,0.90000000,18990,0.87634317,0.47109005,0.40525312
0.90000000,0.95000000,27375,0.92693218,0.50140639,0.42552579
0.95000000,1.00000000,375321,0.99566881,0.75775403,0.23791478
