model,volume_id,first_pass_seconds,repeat_pass_seconds,slices
control,104,7.04259180,5.43130070,781
recall_loss,104,5.48203620,5.50685580,781
control,105,7.67251020,7.32856250,986
recall_loss,105,7.39729830,7.43217850,986
control,106,6.15897390,5.71691250,771
recall_loss,106,5.70793460,5.88166490,771
control,107,6.09818920,5.86815560,771
recall_loss,107,5.90631400,5.89277900,771
control,108,7.38392630,6.72731750,856
recall_loss,108,6.68828560,6.76334460,856
control,109,6.53315490,5.86713650,756
recall_loss,109,5.81333940,5.82784580,756
control,110,6.32088940,6.32802600,816
recall_loss,110,6.29032290,6.34775480,816
control,111,6.86958410,6.04240990,761
recall_loss,111,6.13581520,6.20888200,761
control,112,6.45488040,5.94791290,751
recall_loss,112,5.96118240,5.98282860,751
control,113,7.34941830,6.65326240,836
recall_loss,113,6.51484060,6.62829100,836
control,114,7.27402570,6.74832800,846
recall_loss,114,6.76152120,6.90866090,846
control,115,6.89070090,6.78098000,846
recall_loss,115,7.01409450,6.81448100,846
control,116,7.61258230,7.35644450,908
recall_loss,116,7.37006390,7.43335490,908
