role,path,bytes,sha256
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_01_pretraining_dataset_characterization\outputs\pretraining_dataset_gate.json,2284,fcc1f735a1f10e7c9ac5c94029b513ab498be6f39cf243fa36f4562d358266cb
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_02_fusion_freeze_confirmation\outputs\gate_result.json,2080,d3dfb86af103e048ece734ac88ffccfeaaaa84a68596ae9f8c1012e2ea72a9c8
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_03_final_inference_policy_freeze\outputs\gate_result.json,2190,b701caeeb9814bc65ae33ea9a66039156125bf20daa52286b3d1e0c63c9fe9e0
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_03_final_inference_policy_freeze\outputs\final_inference_policy.json,4087,52d2df856709254992ab6b59f84a213a0a00f6e67293f66665b6f258d01f2131
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_03_final_inference_policy_freeze\outputs\final_acceptance_contract.json,1268,12e8932d71651fd9247d841a86dfcd0fa80d64d74c4f334e29b113c28213b52d
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_04_one_time_locked_test_evaluation_after_explicit_authorization\outputs\gate_result.json,3359,3efe028e1ab3edd32f59fa7bf648c130179c1c12b39038bac7e435ce72a23432
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_04_one_time_locked_test_evaluation_after_explicit_authorization\outputs\run_ledger.json,653,4629cda97b9a2c371ca8ded4b2705dd86184e8c75f4fe49011fc82bdfef7462b
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_04_one_time_locked_test_evaluation_after_explicit_authorization\outputs\final_test_signature.json,583,4da370ea561c98e4abf55c2a1cdfd60f4b94bc34c4b1ea22c39c640f53adf7b1
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_04_one_time_locked_test_evaluation_after_explicit_authorization\outputs\final_test_evidence_inventory.csv,5291,9b61a09119128c7b85689762aee51617ee791a2a2b1aafc56adf185dbe6672ab
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_04_one_time_locked_test_evaluation_after_explicit_authorization\outputs\patient_metrics.csv,1093,7ec5a2ff83b8d6e0648952c9f6cdabf516443fa09a3cbcae42726791bc9549e7
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_04_one_time_locked_test_evaluation_after_explicit_authorization\outputs\slice_metrics.csv,668138,322f36bce198331c6d4611b401d2516514203109ef0a5c00abaa674ebb3d703d
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_04_one_time_locked_test_evaluation_after_explicit_authorization\outputs\global_metrics.csv,459,a29d60adbc32e17a0f4af9727af04a13b9aa7ae1903979dfccc9e8be8a99ceac
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_04_one_time_locked_test_evaluation_after_explicit_authorization\outputs\bootstrap_uncertainty.csv,380,529405be9c3092973f464fe9f38c9fdc56beae6785717c360df534a4c2eaf7c6
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_04_one_time_locked_test_evaluation_after_explicit_authorization\outputs\lesion_or_size_metrics.csv,13651,431564a48f65a9a246f4741a7128de88bd20597a756ac4cf67df9013f84c536d
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_04_one_time_locked_test_evaluation_after_explicit_authorization\outputs\size_stratum_metrics.csv,380,dd2b496ac10bfc394e1955cc71239fb24775c92890aa9a60c4b096eb61ce7a22
source,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_04_one_time_locked_test_evaluation_after_explicit_authorization\outputs\test_roi_manifest.csv,1201,9070dfb247d7b6db80b8b931c9a85dd50b8b3416f3f19a5715cf5cc8aa15f837
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\final_evidence_validation.csv,399,bdb1e72300b78c9b2fb98034a2b3f90a08b6012abf57783c51bbde3d6e056054
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\final_metrics_summary.csv,594,f95151157cd29eaf674a25da3905a8e799f52267d4aa5fa925a536736fbaff85
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\methods_and_parameters.csv,1057,2f0e9f2ff28e9cc7a2e20f62684f415bc82c08698656e01beeaffb4efc82e331
