citation_key,year,title,venue,doi,url,source_kind,direct_lits,theme,method_family,dimensionality,dataset_scope,evaluation_scope,reported_metric_text,metric_population,postprocessing,evidence_use,claim_boundary,primary_source_verified,snapshot_date
Bilic2023LiTS,2023,The Liver Tumor Segmentation Benchmark (LiTS),Medical Image Analysis,10.1016/j.media.2022.102680,https://www.sciencedirect.com/science/article/pii/S1361841522003085,primary benchmark report,True,benchmark and evaluation,multi-method benchmark,mixed,LiTS benchmark,challenge benchmark,No single comparator value extracted for ranking,multiple challenge metrics and submissions,varies by submission,Dataset benchmark context and evaluation heterogeneity,Do not treat benchmark ranks as directly comparable to this custom split.,True,2026-08-05
Christ2017CFCN,2017,Automatic Liver and Tumor Segmentation of CT and MRI Volumes Using Cascaded Fully Convolutional Neural Networks,arXiv / MICCAI-era work,10.48550/arXiv.1702.05970,https://arxiv.org/abs/1702.05970,primary article,True,cascaded ROI segmentation,cascaded FCN,2D with volumetric pipeline,liver CT/MRI including LiTS-era data,study-specific,Not extracted for cross-study ranking,study-specific,pipeline-specific,Lineage for liver-first then tumour segmentation,Architecture lineage only; protocol is not identical.,True,2026-08-05
Chlebus2018ObjectPost,2018,Automatic liver tumor segmentation in CT with fully convolutional neural networks and object-based postprocessing,Scientific Reports,10.1038/s41598-018-33860-7,https://pmc.ncbi.nlm.nih.gov/articles/PMC6195599/,primary article,True,false-positive control,FCN plus object post-processing,2D/3D object pipeline,LiTS challenge test set,70 challenge test cases,Mean Dice 0.65 on challenge test; object post-processing reduced false positives by 85%,challenge-defined / object-aware reporting,random-forest object filtering,Shows sensitivity to explicit false-positive post-processing,Not comparable to this no-post-processing frozen policy.,True,2026-08-05
Li2018HDenseUNet,2018,H-DenseUNet: Hybrid Densely Connected UNet for Liver and Tumor Segmentation From CT Volumes,IEEE Transactions on Medical Imaging,10.1109/TMI.2018.2845918,https://pubmed.ncbi.nlm.nih.gov/29994201/,primary article,True,2D/3D context fusion,hybrid dense U-Net,hybrid 2D/3D,LiTS,challenge-style evaluation,Tumour Dice values are study/challenge-protocol specific; excluded from ranking here,per-case/global definitions differ from current primary endpoint,study-specific,Representative hybrid volumetric-context method,Do not compare reported challenge Dice directly to mean positive-patient Dice.,True,2026-08-05
Jin2020RAUNet,2020,RA-UNet: A Hybrid Deep Attention-Aware Network to Extract Liver and Tumor in CT Scans,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2020.605132,https://pmc.ncbi.nlm.nih.gov/articles/PMC7785874/,primary article,True,attention and 3D context,residual attention U-Net,3D,LiTS and 3DIRCADb,official LiTS-style and external dataset experiments,LiTS tumour Dice per case 0.595; Dice global 0.795,paper-defined per-case and global Dice,paper-specific pipeline,Representative attention-aware volumetric model with both per-case and global reporting,Values illustrate aggregation dependence; they are not a head-to-head comparison.,True,2026-08-05
Isensee2021nnUNet,2021,nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,Nature Methods,10.1038/s41592-020-01008-z,https://www.nature.com/articles/s41592-020-01008-z,primary article,False,self-configuring baseline,self-configuring U-Net framework,2D and 3D ensembles,23 biomedical segmentation datasets,cross-task benchmarking,No LiTS-specific value extracted for ranking,dataset-specific benchmark metrics,automatically configured where applicable,Strong reproducible baseline framework for future governed comparisons,Not evaluated under this project's corrected split and frozen policy.,True,2026-08-05
Ronneberger2015UNet,2015,U-Net: Convolutional Networks for Biomedical Image Segmentation,MICCAI,10.1007/978-3-319-24574-4_28,https://arxiv.org/abs/1505.04597,primary article,False,architecture lineage,U-Net,2D,microscopy,task-specific,Not a LiTS comparator,task-specific,task-specific,Decoder/skip-connection architecture lineage,Foundational architecture citation only.,True,2026-08-05
Cicek2016ThreeDUNet,2016,3D U-Net: Learning Dense Volumetric Segmentation from Sparse Annotation,MICCAI,10.1007/978-3-319-46723-8_49,https://arxiv.org/abs/1606.06650,primary article,False,volumetric context,3D U-Net,3D,Xenopus kidney microscopy,task-specific,Not a LiTS comparator,task-specific,task-specific,Volumetric segmentation lineage,Motivates 3D context; not evidence of LiTS performance.,True,2026-08-05
Sudre2017GeneralizedDice,2017,Generalised Dice overlap as a deep learning loss function for highly unbalanced segmentations,DLMIA / MICCAI workshop,10.1007/978-3-319-67558-9_28,https://arxiv.org/abs/1707.03237,primary article,False,class imbalance,loss function,general,imbalanced segmentation tasks,method study,Not a LiTS comparator,task-specific,not central,Loss-design context for severe foreground imbalance,Does not validate the current recall-loss checkpoint independently.,True,2026-08-05
Oktay2018AttentionUNet,2018,Attention U-Net: Learning Where to Look for the Pancreas,arXiv,10.48550/arXiv.1804.03999,https://arxiv.org/abs/1804.03999,primary article,False,attention mechanisms,attention U-Net,2D/3D formulation,pancreas CT,task-specific,Not a LiTS comparator,task-specific,study-specific,Attention-gate lineage for organ/lesion localization,"Different anatomy, cohort, and protocol.",True,2026-08-05
MaierHein2018Rankings,2018,Why rankings of biomedical image analysis competitions should be interpreted with care,Nature Communications,10.1038/s41467-018-07619-7,https://www.nature.com/articles/s41467-018-07619-7,primary methodological study,False,evaluation validity,challenge meta-research,not applicable,biomedical image-analysis challenges,ranking stability analysis,"Rankings can vary with test cases, metrics, aggregation, and observers",multi-challenge methodological analysis,not applicable,Justifies explicit no-leaderboard comparability rule,"Supports caution, not a performance comparison.",True,2026-08-05
Sandler2018MobileNetV2,2018,MobileNetV2: Inverted Residuals and Linear Bottlenecks,CVPR,10.1109/CVPR.2018.00474,https://openaccess.thecvf.com/content_cvpr_2018/html/Sandler_MobileNetV2_Inverted_Residuals_CVPR_2018_paper,primary article,False,efficient encoder,MobileNetV2,2D,natural-image classification/detection,task-specific,Not a LiTS comparator,computer-vision task metrics,not applicable,Encoder architecture provenance,Architecture citation only; no medical-performance implication.,True,2026-08-05
Tejani2024CLAIM,2024,Checklist for Artificial Intelligence in Medical Imaging (CLAIM): 2024 Update,Radiology: Artificial Intelligence,10.1148/ryai.240300,https://pubs.rsna.org/doi/10.1148/ryai.240300,primary reporting guideline,False,reporting governance,reporting checklist,not applicable,medical imaging AI,reporting framework,No performance comparator,not applicable,not applicable,Reporting completeness and transparent governance,Reporting guidance is not evidence of clinical validity.,True,2026-08-05
