case_id,archive_name,member,uncompressed_bytes,compressed_bytes,is_directory
1,3Dircadb1.1.zip,3Dircadb1.1/,0,0,True
1,3Dircadb1.1.zip,3Dircadb1.1/LABELLED_DICOM.zip,861649,861649,False
1,3Dircadb1.1.zip,3Dircadb1.1/LICENSE.txt,19127,19127,False
1,3Dircadb1.1.zip,3Dircadb1.1/MASKS_DICOM.zip,3270377,3270377,False
1,3Dircadb1.1.zip,3Dircadb1.1/MESHES_VTK.zip,4156541,4156541,False
1,3Dircadb1.1.zip,3Dircadb1.1/PATIENT_DICOM.zip,32333959,32333959,False
1,3Dircadb1.1.zip,3Dircadb1.1/liver_01.jpg,60220,60220,False
2,3Dircadb1.2.zip,3Dircadb1.2/,0,0,True
2,3Dircadb1.2.zip,3Dircadb1.2/LABELLED_DICOM.zip,723542,723542,False
2,3Dircadb1.2.zip,3Dircadb1.2/LICENSE.txt,19127,19127,False
2,3Dircadb1.2.zip,3Dircadb1.2/MASKS_DICOM.zip,1726173,1726173,False
2,3Dircadb1.2.zip,3Dircadb1.2/MESHES_VTK.zip,2014781,2014781,False
2,3Dircadb1.2.zip,3Dircadb1.2/PATIENT_DICOM.zip,38886096,38886096,False
2,3Dircadb1.2.zip,3Dircadb1.2/liver_02.jpg,43471,43471,False
3,3Dircadb1.3.zip,3Dircadb1.3/,0,0,True
3,3Dircadb1.3.zip,3Dircadb1.3/LABELLED_DICOM.zip,1194139,1194139,False
3,3Dircadb1.3.zip,3Dircadb1.3/LICENSE.txt,19127,19127,False
3,3Dircadb1.3.zip,3Dircadb1.3/MASKS_DICOM.zip,3583398,3583398,False
3,3Dircadb1.3.zip,3Dircadb1.3/MESHES_VTK.zip,7822244,7822244,False
3,3Dircadb1.3.zip,3Dircadb1.3/PATIENT_DICOM.zip,52557631,52557631,False
3,3Dircadb1.3.zip,3Dircadb1.3/liver_03.jpg,46120,46120,False
4,3Dircadb1.4.zip,3Dircadb1.4/,0,0,True
4,3Dircadb1.4.zip,3Dircadb1.4/LABELLED_DICOM.zip,505244,505244,False
4,3Dircadb1.4.zip,3Dircadb1.4/LICENSE.txt,19127,19127,False
4,3Dircadb1.4.zip,3Dircadb1.4/MASKS_DICOM.zip,1022730,1022730,False
4,3Dircadb1.4.zip,3Dircadb1.4/MESHES_VTK.zip,2422588,2422588,False
4,3Dircadb1.4.zip,3Dircadb1.4/PATIENT_DICOM.zip,25690091,25690091,False
4,3Dircadb1.4.zip,3Dircadb1.4/liver_04.jpg,62759,62759,False
5,3Dircadb1.5.zip,3Dircadb1.5/,0,0,True
5,3Dircadb1.5.zip,3Dircadb1.5/LABELLED_DICOM.zip,955902,955902,False
5,3Dircadb1.5.zip,3Dircadb1.5/LICENSE.txt,19127,19127,False
5,3Dircadb1.5.zip,3Dircadb1.5/MASKS_DICOM.zip,3091257,3091257,False
5,3Dircadb1.5.zip,3Dircadb1.5/MESHES_VTK.zip,4234758,4234758,False
5,3Dircadb1.5.zip,3Dircadb1.5/PATIENT_DICOM.zip,36395605,36395605,False
5,3Dircadb1.5.zip,3Dircadb1.5/liver_05.jpg,44333,44333,False
6,3Dircadb1.6.zip,3Dircadb1.6/,0,0,True
6,3Dircadb1.6.zip,3Dircadb1.6/LABELLED_DICOM.zip,779522,779522,False
6,3Dircadb1.6.zip,3Dircadb1.6/LICENSE.txt,19127,19127,False
6,3Dircadb1.6.zip,3Dircadb1.6/MASKS_DICOM.zip,1865676,1865676,False
6,3Dircadb1.6.zip,3Dircadb1.6/MESHES_VTK.zip,4300024,4300024,False
6,3Dircadb1.6.zip,3Dircadb1.6/PATIENT_DICOM.zip,35717621,35717621,False
6,3Dircadb1.6.zip,3Dircadb1.6/liver_06.jpg,62746,62746,False
7,3Dircadb1.7.zip,3Dircadb1.7/,0,0,True
7,3Dircadb1.7.zip,3Dircadb1.7/LABELLED_DICOM.zip,899687,899687,False
7,3Dircadb1.7.zip,3Dircadb1.7/LICENSE.txt,19127,19127,False
7,3Dircadb1.7.zip,3Dircadb1.7/MASKS_DICOM.zip,2756806,2756806,False
7,3Dircadb1.7.zip,3Dircadb1.7/MESHES_VTK.zip,1917535,1917535,False
7,3Dircadb1.7.zip,3Dircadb1.7/PATIENT_DICOM.zip,34178552,34178552,False
7,3Dircadb1.7.zip,3Dircadb1.7/liver_07.jpg,65851,65851,False
8,3Dircadb1.8.zip,3Dircadb1.8/,0,0,True
8,3Dircadb1.8.zip,3Dircadb1.8/LABELLED_DICOM.zip,693720,693720,False
8,3Dircadb1.8.zip,3Dircadb1.8/LICENSE.txt,19127,19127,False
8,3Dircadb1.8.zip,3Dircadb1.8/MASKS_DICOM.zip,1692137,1692137,False
8,3Dircadb1.8.zip,3Dircadb1.8/MESHES_VTK.zip,1854403,1854403,False
8,3Dircadb1.8.zip,3Dircadb1.8/PATIENT_DICOM.zip,31710712,31710712,False
8,3Dircadb1.8.zip,3Dircadb1.8/liver_08.jpg,78723,78723,False
9,3Dircadb1.9.zip,3Dircadb1.9/,0,0,True
9,3Dircadb1.9.zip,3Dircadb1.9/LABELLED_DICOM.zip,616729,616729,False
9,3Dircadb1.9.zip,3Dircadb1.9/LICENSE.txt,19127,19127,False
9,3Dircadb1.9.zip,3Dircadb1.9/MASKS_DICOM.zip,1470992,1470992,False
9,3Dircadb1.9.zip,3Dircadb1.9/MESHES_VTK.zip,2149976,2149976,False
9,3Dircadb1.9.zip,3Dircadb1.9/PATIENT_DICOM.zip,30436620,30436620,False
9,3Dircadb1.9.zip,3Dircadb1.9/liver_09.jpg,74915,74915,False
10,3Dircadb1.10.zip,3Dircadb1.10/,0,0,True
