dataset,case_id,official_url,local_relative_path,status,bytes,sha256,downloaded_or_verified_utc,license,redistribution_authorized
3D-IRCADb-01,1,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.1,outputs\raw_downloads\3Dircadb1.1.zip,reused_existing_archive,40703437,75c9e35e2378ca56909848e3d804411a992d24b51590617bb82fe0b4812b580f,2026-08-05T13:50:21.450068+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,2,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.2,outputs\raw_downloads\3Dircadb1.2.zip,reused_existing_archive,43414754,22cd69d6a1711f1871bd2c6300bef03781245a7e0e4ad545d4f82efa12709af0,2026-08-05T13:50:21.512895+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,3,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.3,outputs\raw_downloads\3Dircadb1.3.zip,reused_existing_archive,65224223,d1739f93fdc191e950a920fcdaefc789bf0551d21dfa1e0e5257aeb7f07f5230,2026-08-05T13:50:21.602862+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,4,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.4,outputs\raw_downloads\3Dircadb1.4.zip,reused_existing_archive,29724103,a810e9dc7860a6fe03136aa9bbdb699cad599e6b6cbc6ba628b2de3f18670ba1,2026-08-05T13:50:21.637671+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,5,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.5,outputs\raw_downloads\3Dircadb1.5.zip,reused_existing_archive,44742546,625855cbd3605c0d6c4d3db87c5fb2fcc3daaac7add388f246866556d1f52b49,2026-08-05T13:50:21.700885+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,6,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.6,outputs\raw_downloads\3Dircadb1.6.zip,reused_existing_archive,42746280,a317eb37a5b409979e6ee5ee185cec6c2418fc4bcccd08ef5a786f9addbacec9,2026-08-05T13:50:21.755905+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,7,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.7,outputs\raw_downloads\3Dircadb1.7.zip,reused_existing_archive,39839122,11cc5ec971b6a0680710efaf37fb020d4ca21fb854c56f3cbe0262fa02e46261,2026-08-05T13:50:21.804166+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,8,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.8,outputs\raw_downloads\3Dircadb1.8.zip,reused_existing_archive,36050386,371facf1bfdf342745becc3f9288372651538634330c79652b42a714933e32ea,2026-08-05T13:50:21.852809+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,9,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.9,outputs\raw_downloads\3Dircadb1.9.zip,reused_existing_archive,34769923,ad38a9c91b5c9a7f4f46b7cd5ad74359e50fb2bddb39a3b3efbafd589e296af5,2026-08-05T13:50:21.901784+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,10,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.10,outputs\raw_downloads\3Dircadb1.10.zip,reused_existing_archive,36530913,5507b6e08d7131f97ff01eceb9124d17283d1608c7c14c51e3384621bf3cded7,2026-08-05T13:50:21.959604+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,11,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.11,outputs\raw_downloads\3Dircadb1.11.zip,reused_existing_archive,38503140,813612cc921eacd4d8e331b594bb7a83eaba9aeea8aba484eb2ca599c35a0ee1,2026-08-05T13:50:22.005550+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,12,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.12,outputs\raw_downloads\3Dircadb1.12.zip,reused_existing_archive,69268436,0af48d6e509e665a6b779b19efb245a21ae8385d36137a2fc4341c9c819b3c7d,2026-08-05T13:50:22.110090+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,13,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.13,outputs\raw_downloads\3Dircadb1.13.zip,reused_existing_archive,34588787,fefaa0d676cf3c42abcc1a065a969e6e3e430860debf1a38450018dba7c7275b,2026-08-05T13:50:22.165295+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,14,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.14,outputs\raw_downloads\3Dircadb1.14.zip,reused_existing_archive,31453842,d45549883c22347114ab56c83adb479c6c80b2d4119a1026388e1e566ebc3bd7,2026-08-05T13:50:22.216196+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,15,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.15,outputs\raw_downloads\3Dircadb1.15.zip,reused_existing_archive,31550388,32c3d3717d3b8ab9df20cf06fcc760d2c0957a2b23eb606fb5b8864399f399ca,2026-08-05T13:50:22.262857+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,16,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.16,outputs\raw_downloads\3Dircadb1.16.zip,reused_existing_archive,43725515,940caecb452d86b109f4672defecfaaa560eeb40832de121f5827326d5bcc01f,2026-08-05T13:50:22.325391+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,17,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.17,outputs\raw_downloads\3Dircadb1.17.zip,reused_existing_archive,32710132,9ccdbb09c3b40b5917c08b30632aeb30ee851fd2b18f9bc55d6f5e402f0f9d01,2026-08-05T13:50:22.373560+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,18,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.18,outputs\raw_downloads\3Dircadb1.18.zip,reused_existing_archive,22928642,4b3d7effa03c565072fe5c9f78512960dae7857f79b576b1cd6c9281e247f027,2026-08-05T13:50:22.401341+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,19,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.19,outputs\raw_downloads\3Dircadb1.19.zip,reused_existing_archive,33002055,eda5d41bc3eace82649ba08bd8bab49a8a38d4b48a1760c7dbe7cac354af9af8,2026-08-05T13:50:22.444867+00:00,CC BY-NC-ND 4.0,False
3D-IRCADb-01,20,https://cloud.ircad.fr/index.php/s/JN3z7EynBiwYyjy/download?path=%2F3Dircadb1.20,outputs\raw_downloads\3Dircadb1.20.zip,reused_existing_archive,68792862,ebf49081dbe22de9a423aaac96f00ebb7ba2da1e461e6a1369d477df5196d80e,2026-08-05T13:50:22.533679+00:00,CC BY-NC-ND 4.0,False
