source_patient_id,internal_patient_id,ct_relative_path,liver_relative_path,tumour_relative_path,shape_xyz,ct_source_voxels,ct_normalized_voxels,ct_exact_parity,liver_source_voxels,liver_normalized_voxels,liver_exact_parity,tumour_source_voxels,tumour_normalized_voxels,tumour_exact_parity,ct_finite,ct_sha256,liver_sha256,tumour_sha256
3Dircadb1.1,ircadb_01,outputs\normalized\ircadb_01\ct_hu.nii.gz,outputs\normalized\ircadb_01\liver_mask.nii.gz,outputs\normalized\ircadb_01\tumour_mask.nii.gz,512x512x129,33816576,33816576,True,2865131,2865131,True,214268,214268,True,True,5776a354b8f25157fc9eb42d5c719e8e203376fef034d22fd2b760725f8bb1af,b18fa4351a8808437717a55d458cc7cd66b37e87b0b63350a3aed4fd0e97013a,9e054eff9c1a020fa810404e408435b24eaffed870acbefd5dedf0419b7a9585
3Dircadb1.2,ircadb_02,outputs\normalized\ircadb_02\ct_hu.nii.gz,outputs\normalized\ircadb_02\liver_mask.nii.gz,outputs\normalized\ircadb_02\tumour_mask.nii.gz,512x512x172,45088768,45088768,True,1648024,1648024,True,14062,14062,True,True,9ac510ac659726d635f34598583ceca0fe241d4823eb07b9ad4c2deab7a1d4a4,7e222395b82c61baa4aa03df1466e14bc13f76cd1c7c88853d6064d64dd035a5,db3dc9bbf210950429eac5c7385ee4df7473ee4b2b7fd471a98d5f85ba75bb95
3Dircadb1.3,ircadb_03,outputs\normalized\ircadb_03\ct_hu.nii.gz,outputs\normalized\ircadb_03\liver_mask.nii.gz,outputs\normalized\ircadb_03\tumour_mask.nii.gz,512x512x200,52428800,52428800,True,2375079,2375079,True,14252,14252,True,True,deab5525dc7a6cadc815062065529109fd2826d7ec94cdbbc9a219125a6e9c0a,e600261c2f36eeb146cc371ceda0ebaacb52aa68f67c230fead0a6eba2387212,70702e50cb73057f63b8beaa4622608f9d00079e341aa44053ead7f7845b39f2
3Dircadb1.4,ircadb_04,outputs\normalized\ircadb_04\ct_hu.nii.gz,outputs\normalized\ircadb_04\liver_mask.nii.gz,outputs\normalized\ircadb_04\tumour_mask.nii.gz,512x512x91,23855104,23855104,True,1132427,1132427,True,6736,6736,True,True,73b1ab661a79c318cd2689daf16c5f6de9ee78893b67b7c1f7c376839f5e9bd3,6f36931e7450b0aed2e407b149cb86d3f78623f8118b1b8475afe6cf830b1707,973569487716c3f1d41e055b7db321c2f3876c53e3932a244215551357696431
3Dircadb1.5,ircadb_05,outputs\normalized\ircadb_05\ct_hu.nii.gz,outputs\normalized\ircadb_05\liver_mask.nii.gz,outputs\normalized\ircadb_05\tumour_mask.nii.gz,512x512x139,36438016,36438016,True,2124505,2124505,True,0,0,True,True,c8cb33d52adde28faec3660bafdfb2e6ba76ed6abfd1ae327842e469256b32f8,db5b248597e1d4152f8fde96ce31831ca98dddce9c9341cb5ce08d389c0f44cb,dcd921a69e9cfd38bd2a3eaead923281bcc86752941f021e193b9434061bfaaa
3Dircadb1.6,ircadb_06,outputs\normalized\ircadb_06\ct_hu.nii.gz,outputs\normalized\ircadb_06\liver_mask.nii.gz,outputs\normalized\ircadb_06\tumour_mask.nii.gz,512x512x135,35389440,35389440,True,1828493,1828493,True,434721,434721,True,True,b9904f0b5cff42c56e16d555129157407e26de7dfa2882aaabadaf2274d67555,1fdf3462ed1a2d5c72bcc26fc7669ef0b46e42c5ec75aff1ecfa816438401652,2a043dd068021e2513ef23bf888e394feff320395c4e1ec029047dc8b01acb7d
3Dircadb1.7,ircadb_07,outputs\normalized\ircadb_07\ct_hu.nii.gz,outputs\normalized\ircadb_07\liver_mask.nii.gz,outputs\normalized\ircadb_07\tumour_mask.nii.gz,512x512x151,39583744,39583744,True,1461944,1461944,True,0,0,True,True,5123c64bf349ff750802a7bb89e7a466965b358d61a0d185bc247970f8cd3584,8b8ebf48e23536986e3b8d823c1c483a8251ccd2c4af6fb420e3a9f8dc1f18d6,50809624c69853fda3999134fc76dce7c2d0f4dc30b80ceed2f281a3aea500ae
3Dircadb1.8,ircadb_08,outputs\normalized\ircadb_08\ct_hu.nii.gz,outputs\normalized\ircadb_08\liver_mask.nii.gz,outputs\normalized\ircadb_08\tumour_mask.nii.gz,512x512x124,32505856,32505856,True,3215090,3215090,True,20318,20318,True,True,cab4622e85e3753b086d423b269199ac0de0727f247d927d6ce02edb667609fc,e1b8f7a474e999d388ffcc751caef3cc6b93ae547fdf2efc31ccd71fd6d4450e,32538f852f54cc429ccef10ad1bbcaa1e7137f2e88f268908fad41a4f4ffe387
3Dircadb1.9,ircadb_09,outputs\normalized\ircadb_09\ct_hu.nii.gz,outputs\normalized\ircadb_09\liver_mask.nii.gz,outputs\normalized\ircadb_09\tumour_mask.nii.gz,512x512x111,29097984,29097984,True,1265420,1265420,True,39484,39484,True,True,916693d84b9557976fa8d512f9daefc699d28fe1ca74450a7d1449e0bf60f2c7,34cf27af8e264fd30ebe664f0eae409085e7d2cac4decc1041b4d190ee418d69,5bb2d0aebace8f7fbb62afa1beb7a84caadcef12cb5a6f1575f9c146ae057be7
3Dircadb1.10,ircadb_10,outputs\normalized\ircadb_10\ct_hu.nii.gz,outputs\normalized\ircadb_10\liver_mask.nii.gz,outputs\normalized\ircadb_10\tumour_mask.nii.gz,512x512x122,31981568,31981568,True,1871804,1871804,True,14981,14981,True,True,79006f5543405b3266da6fb77563b06effb05939a471f676c3868be74ef557c4,48a029de2c2bee140a6790fcdcf7954a405e93902d601cea98d9fd72d0e1a4ba,1ad035cbef2b5123e787fb56efb5daa6fe26a5bf9369b3b644453a303cff4d0a
