artifact,exists,expected_sha256,actual_sha256,passed
step_19_external_evidence_manuscript_integration\outputs\EXTERNAL_EVIDENCE_TECHNICAL_REPORT.md,True,676e13b64d39cad4042e689443e875b3b25213759297d42dc42a8c27aa819f00,676e13b64d39cad4042e689443e875b3b25213759297d42dc42a8c27aa819f00,True
step_19_external_evidence_manuscript_integration\outputs\PAPER_DRAFT_EXTERNAL_VALIDATION_UPDATE.md,True,4083cab3893892cd5c2e165b2ba56a7ef1883cfa02a0b4135c020db447045e9a,4083cab3893892cd5c2e165b2ba56a7ef1883cfa02a0b4135c020db447045e9a,True
step_19_external_evidence_manuscript_integration\outputs\UPDATED_LIMITATIONS_AND_CLAIM_BOUNDARIES.md,True,10588a91c9a7d9ec66135f4d03329dd25c09ad0f4369cff884a02ede9f487e22,10588a91c9a7d9ec66135f4d03329dd25c09ad0f4369cff884a02ede9f487e22,True
step_19_external_evidence_manuscript_integration\outputs\chart_map.csv,True,a5d31dd966b8828a996300958861466add5fee0355da396eea822f5f835b9c78,a5d31dd966b8828a996300958861466add5fee0355da396eea822f5f835b9c78,True
step_19_external_evidence_manuscript_integration\outputs\comparative_results_figure.png,True,009c41a215f47bf82b56f37c20cde9dfde611f36f37f395ec65df31e34f7bef0,009c41a215f47bf82b56f37c20cde9dfde611f36f37f395ec65df31e34f7bef0,True
step_19_external_evidence_manuscript_integration\outputs\evaluation_cohort_summary.csv,True,220fb75d34ed85cce032fa8562eb8327c8f4247f5b0609fbf9d63891e4285e88,220fb75d34ed85cce032fa8562eb8327c8f4247f5b0609fbf9d63891e4285e88,True
step_19_external_evidence_manuscript_integration\outputs\evaluation_performance_comparison.csv,True,af22831017c115b99f5ebf618a54ebe988137a5b5a1aa9191de67699c620bde7,af22831017c115b99f5ebf618a54ebe988137a5b5a1aa9191de67699c620bde7,True
step_19_external_evidence_manuscript_integration\outputs\expected_vs_actual.csv,True,a0239de6d921d62872ab75eba2a58a7d35fe950ec125dafb36f047d3b5bf5ebd,a0239de6d921d62872ab75eba2a58a7d35fe950ec125dafb36f047d3b5bf5ebd,True
step_19_external_evidence_manuscript_integration\outputs\failure_mode_summary.csv,True,9520f328fd2fee1f884f0535efe83159fa55194655d7cc971463c172d58a9a44,9520f328fd2fee1f884f0535efe83159fa55194655d7cc971463c172d58a9a44,True
step_19_external_evidence_manuscript_integration\outputs\gate_result.json,True,7cccb04fda4a80c7a15f6416d802bacf8ab97711069aa40fcc58074738b69352,7cccb04fda4a80c7a15f6416d802bacf8ab97711069aa40fcc58074738b69352,True
step_19_external_evidence_manuscript_integration\outputs\input_signature_verification.csv,True,487f123ad903143d6b5410bb44fe990b1eb19607e1ce9017ee4fab60b49f404f,487f123ad903143d6b5410bb44fe990b1eb19607e1ce9017ee4fab60b49f404f,True
step_19_external_evidence_manuscript_integration\outputs\input_verification.csv,True,e9879f58ef96539e502ec28c36796ebd145ebe0b124251446757460434978975,e9879f58ef96539e502ec28c36796ebd145ebe0b124251446757460434978975,True
step_19_external_evidence_manuscript_integration\outputs\manuscript_claim_matrix.csv,True,83c4173577d6199a802da2474c1993a54ab4b13cb3694ef57751b636627d613e,83c4173577d6199a802da2474c1993a54ab4b13cb3694ef57751b636627d613e,True
step_19_external_evidence_manuscript_integration\outputs\patient_dice_distribution.csv,True,aa01050fb464758778e2cb824ee2a878b38919736302a0c9f3528314dbb7f999,aa01050fb464758778e2cb824ee2a878b38919736302a0c9f3528314dbb7f999,True
step_19_external_evidence_manuscript_integration\outputs\patient_dice_distribution_figure.png,True,113ea8a1f431dfda4a165d1fb4e2975dd1dacb33d12185c03b0cf4afd236a404,113ea8a1f431dfda4a165d1fb4e2975dd1dacb33d12185c03b0cf4afd236a404,True
step_19_external_evidence_manuscript_integration\outputs\provenance.json,True,2a1300cac71c0d1802c043ec835d76a1608549d9d4594faa868e5fd02771a8f0,2a1300cac71c0d1802c043ec835d76a1608549d9d4594faa868e5fd02771a8f0,True
step_19_external_evidence_manuscript_integration\outputs\step05_evidence_verification.csv,True,480be078cb85e570ab5157c085a0f1f41ca1ed18850936f9697afd5ed138a9c8,480be078cb85e570ab5157c085a0f1f41ca1ed18850936f9697afd5ed138a9c8,True
