sample_id,volume_id,slice_index,tumor_pixels_native,liver_background_pixels_native,tumor_mean_hu,tumor_median_hu,liver_background_mean_hu,liver_background_median_hu,mean_contrast_hu,median_contrast_hu,robust_effect_size
v104_s0282,104,282,101,892,23.03960418701172,20.0,76.60089874267578,82.0,-53.56129455566406,-62.0,-2.558647394180298
v104_s0283,104,283,130,993,20.21538543701172,19.0,79.67069244384766,84.0,-59.45530700683594,-65.0,-3.0217833518981934
v104_s0284,104,284,184,1110,22.478260040283203,21.5,81.36125946044922,85.5,-58.882999420166016,-64.0,-2.784994125366211
v104_s0285,104,285,272,1229,14.297794342041016,14.0,80.08218383789062,86.0,-65.78439331054688,-72.0,-3.4855215549468994
v104_s0286,104,286,273,1332,9.736263275146484,10.0,79.13813781738281,84.0,-69.40187072753906,-74.0,-3.486027240753174
v104_s0287,104,287,312,1440,8.967948913574219,7.5,79.33819580078125,86.0,-70.37024688720703,-78.5,-3.8001868724823
v104_s0288,104,288,322,1582,6.807453632354736,5.5,79.7844467163086,86.0,-72.97698974609375,-80.5,-3.842947244644165
v104_s0289,104,289,348,1722,5.020114898681641,5.0,80.65098571777344,86.5,-75.63087463378906,-81.5,-3.7610366344451904
v104_s0290,104,290,378,1868,4.711640357971191,5.0,80.11188507080078,87.0,-75.4002456665039,-82.0,-3.9108831882476807
v104_s0291,104,291,369,1930,6.0352301597595215,5.0,81.86787414550781,89.0,-75.8326416015625,-84.0,-4.246638298034668
v104_s0292,104,292,295,2168,2.6033897399902344,2.0,78.85240173339844,87.0,-76.24900817871094,-85.0,-3.93755841255188
v104_s0293,104,293,300,2338,5.03000020980835,4.0,77.7232666015625,85.0,-72.69326782226562,-81.0,-3.7522616386413574
v104_s0294,104,294,321,2572,5.613707065582275,5.0,76.65940856933594,85.0,-71.04570007324219,-80.0,-3.343198299407959
v104_s0295,104,295,338,2852,2.9467456340789795,5.0,76.93373107910156,84.0,-73.98698425292969,-79.0,-3.572219133377075
v104_s0296,104,296,395,3038,0.6000000238418579,4.0,79.84891510009766,85.0,-79.24891662597656,-81.0,-3.979287624359131
