sample_id,volume_id,slice_index,image_path,organ_mask_path,tumor_mask_path,source_volume_path,source_segmentation_path,source_volume_sha256,source_segmentation_sha256,transform_applied,image_width,image_height,organ_pixels,tumor_pixels,organ_present,tumor_present,automatic_integrity_pass,verification_status,exclusion_reason,build_id,preprocessing_profile,mask_operation_order,split,manual_spatial_status,eda_nonspatial_ready,eda_spatial_ready,size_quartile
v084_s0632,84,632,images\v084\s0632.png,organ_masks\v084\s0632.png,tumor_masks\v084\s0632.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-84.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-84.nii,74b08d40a3c96321425476752ddbd8de57c85311bf427872e3b61b92df166e16,c1f183ee08b7d0c3a7dc1880985d3c1e1165f860460bb84aac370483ee287224,rot180,256,256,2149,18,True,True,True,verified,,build_corrected_20260713_214847_v2,"HU[-160,240]_bilinear_image_nearest_mask_256",derive_resize_nearest_then_transform_256,train,approved,True,True,Q1
v049_s0158,49,158,images\v049\s0158.png,organ_masks\v049\s0158.png,tumor_masks\v049\s0158.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-49.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-49.nii,0f981d6563cf6978dbc06d0ebdf44bcdd09c39e7cc71d0658a03a4a747082f61,ea19b0230157c17dc342efbcdb4ca80353df05c078faf3d51780c5c0cd668996,identity,256,256,4768,41,True,True,True,verified,,build_corrected_20260713_214847_v2,"HU[-160,240]_bilinear_image_nearest_mask_256",derive_resize_nearest_then_transform_256,train,approved,True,True,Q1
v037_s0092,37,92,images\v037\s0092.png,organ_masks\v037\s0092.png,tumor_masks\v037\s0092.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-37.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-37.nii,cf6b6f2ad0b2a0675c638bff8f59d762dbd1720ec692fd0f2b2e288f3c949ee3,0db4c72742fa20750cf5e086e914ad933c1f7f2c66ab29f6fc9e57002c5a0468,identity,256,256,7552,42,True,True,True,verified,,build_corrected_20260713_214847_v2,"HU[-160,240]_bilinear_image_nearest_mask_256",derive_resize_nearest_then_transform_256,train,approved,True,True,Q1
v008_s0391,8,391,images\v008\s0391.png,organ_masks\v008\s0391.png,tumor_masks\v008\s0391.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-8.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-8.nii,6c17a6fb69c0fdaead9233a4092a0293d9e49f813d17b005499af3652c634847,ec66b45ed787ba2ee99615d57db90f990395bab517e8e1bc55399f30a6ea15e7,identity,256,256,3071,40,True,True,True,verified,,build_corrected_20260713_214847_v2,"HU[-160,240]_bilinear_image_nearest_mask_256",derive_resize_nearest_then_transform_256,train,approved,True,True,Q1
v066_s0078,66,78,images\v066\s0078.png,organ_masks\v066\s0078.png,tumor_masks\v066\s0078.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-66.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-66.nii,5daa30df6b1f880e1ac374cbb53003073622bb4d3000a54083821ea7c1067e45,ef638ed9240a6983b0e6ef4856e000cba11f1d2912441498a66e40bf99729b39,identity,256,256,8264,179,True,True,True,verified,,build_corrected_20260713_214847_v2,"HU[-160,240]_bilinear_image_nearest_mask_256",derive_resize_nearest_then_transform_256,train,approved,True,True,Q2
v033_s0049,33,49,images\v033\s0049.png,organ_masks\v033\s0049.png,tumor_masks\v033\s0049.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-33.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-33.nii,9093a27194cbc9ccf95ff34025fc4cff7661161f14722424c19613fd9c26e681,fc6a3ae74c68c8d307792bd21f19a0245bcecc5172b633164fe15e386cbfeef2,identity,256,256,1624,189,True,True,True,verified,,build_corrected_20260713_214847_v2,"HU[-160,240]_bilinear_image_nearest_mask_256",derive_resize_nearest_then_transform_256,train,approved,True,True,Q2
v029_s0058,29,58,images\v029\s0058.png,organ_masks\v029\s0058.png,tumor_masks\v029\s0058.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-29.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-29.nii,8ae4a6d04be1a612595ebfec4b366b2768f73825062e73a2e01958252223b96c,753c72ac615f540c1ffe83221a6069b0bd7b5070fbb20781e96f3a275ae3bb2a,identity,256,256,554,67,True,True,True,verified,,build_corrected_20260713_214847_v2,"HU[-160,240]_bilinear_image_nearest_mask_256",derive_resize_nearest_then_transform_256,train,approved,True,True,Q2
v007_s0365,7,365,images\v007\s0365.png,organ_masks\v007\s0365.png,tumor_masks\v007\s0365.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-7.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-7.nii,a2ca44706fe3f936c32702c1b4a746b98682f983a8739da8744881319f662743,da31d590e737b4d7274c8bf16ae978ff57f0295f496389fbda0784cded6c750b,identity,256,256,2044,194,True,True,True,verified,,build_corrected_20260713_214847_v2,"HU[-160,240]_bilinear_image_nearest_mask_256",derive_resize_nearest_then_transform_256,train,approved,True,True,Q2
v088_s0432,88,432,images\v088\s0432.png,organ_masks\v088\s0432.png,tumor_masks\v088\s0432.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-88.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-88.nii,75e460269033978885e79176f2988dd40ba86a9863043626b96c74e68207d002,da491d76d35b0b3fd36bf67b5891d5c6411cc5ed5919d5b18b42d8c669ecb3d2,rot180,256,256,6727,699,True,True,True,verified,,build_corrected_20260713_214847_v2,"HU[-160,240]_bilinear_image_nearest_mask_256",derive_resize_nearest_then_transform_256,train,approved,True,True,Q3
v056_s0150,56,150,images\v056\s0150.png,organ_masks\v056\s0150.png,tumor_masks\v056\s0150.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-56.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-56.nii,d24fc48631132804a91ce173c6f26e0c088c0f7e671064184fe7bddf6986ea77,6c6260dfa1f92c057051b13747443e37f108b50925454ebabb38c19934a29759,identity,256,256,982,537,True,True,True,verified,,build_corrected_20260713_214847_v2,"HU[-160,240]_bilinear_image_nearest_mask_256",derive_resize_nearest_then_transform_256,train,approved,True,True,Q3
