sample_id,volume_id,roundtrip_dice,box
v084_s0632,84,1.0,"[65, 251, 41, 222]"
v049_s0158,49,1.0,"[40, 176, 54, 179]"
v037_s0092,37,1.0,"[25, 187, 85, 230]"
v008_s0391,8,1.0,"[10, 180, 59, 206]"
v066_s0078,66,1.0,"[5, 175, 46, 217]"
v033_s0049,33,1.0,"[7, 188, 59, 227]"
v029_s0058,29,1.0,"[33, 183, 56, 196]"
v007_s0365,7,1.0,"[3, 168, 48, 212]"
v088_s0432,88,1.0,"[69, 245, 69, 230]"
v056_s0150,56,1.0,"[10, 197, 37, 193]"
v027_s0468,27,1.0,"[21, 186, 63, 194]"
v072_s0076,72,1.0,"[64, 250, 55, 228]"
v039_s0028,39,1.0,"[20, 200, 66, 203]"
v071_s0070,71,1.0,"[48, 256, 38, 229]"
v093_s0449,93,1.0,"[45, 238, 64, 223]"
v004_s0432,4,1.0,"[20, 208, 56, 206]"
