volume_id,roi_empty,y0,y1,x0,x1,crop_area_ratio,tumor_pixel_containment,positive_slice_containment,tumor_pixels,positive_slices
0,False,19,204,54,200,0.412139892578125,1.0,1.0,644,16
1,False,17,209,63,215,0.4453125,1.0,1.0,1793,18
2,False,9,207,61,222,0.486419677734375,1.0,1.0,3518,28
3,False,3,173,70,247,0.459136962890625,1.0,1.0,697,14
4,False,20,208,56,206,0.4302978515625,1.0,1.0,378927,244
5,False,38,173,68,208,0.28839111328125,1.0,1.0,135,10
6,False,19,165,72,219,0.327484130859375,1.0,1.0,7941,91
7,False,3,168,48,212,0.41290283203125,1.0,1.0,8104,83
8,False,10,180,59,206,0.381317138671875,1.0,1.0,5192,81
9,False,4,156,67,209,0.329345703125,1.0,1.0,5576,80
10,False,7,166,63,220,0.3809051513671875,1.0,1.0,6051,81
11,False,0,187,50,224,0.496490478515625,1.0,1.0,2624,53
12,False,0,206,65,236,0.537506103515625,1.0,1.0,204,9
13,False,22,178,45,200,0.36895751953125,1.0,1.0,5935,63
14,False,3,165,48,220,0.4251708984375,1.0,1.0,649,16
15,False,0,167,31,216,0.4714202880859375,1.0,1.0,229,12
16,False,11,189,39,194,0.420989990234375,1.0,1.0,93269,120
17,False,10,171,46,200,0.378326416015625,1.0,1.0,9402,53
18,False,37,167,59,187,0.25390625,1.0,1.0,2556,43
19,False,9,184,53,221,0.4486083984375,1.0,1.0,4601,48
20,False,20,188,59,214,0.3973388671875,1.0,1.0,436,22
21,False,14,197,69,226,0.4384002685546875,1.0,1.0,9020,68
22,False,46,160,74,192,0.20526123046875,1.0,1.0,2360,12
23,False,11,241,26,193,0.586090087890625,1.0,1.0,10737,32
24,False,6,174,55,230,0.4486083984375,1.0,1.0,352,7
25,False,29,200,70,193,0.3209381103515625,1.0,1.0,119,11
26,False,35,192,79,203,0.29705810546875,1.0,1.0,12887,85
27,False,21,186,63,194,0.3298187255859375,1.0,1.0,46858,144
28,False,5,202,51,223,0.51702880859375,1.0,1.0,53583,74
29,False,33,183,56,196,0.3204345703125,1.0,1.0,3511,22
30,False,1,170,59,218,0.4100189208984375,1.0,1.0,3551,18
31,False,20,174,58,217,0.373626708984375,1.0,1.0,1697,37
32,False,24,194,64,232,0.435791015625,,,0,0
33,False,7,188,59,227,0.4639892578125,1.0,1.0,108733,78
34,False,16,208,48,195,0.4306640625,,,0,0
35,False,9,244,55,213,0.566558837890625,1.0,1.0,5057,29
36,False,19,168,60,205,0.3296661376953125,1.0,1.0,9881,30
37,False,25,187,85,230,0.358428955078125,1.0,1.0,3749,48
38,False,13,180,59,207,0.37713623046875,,,0,0
39,False,20,200,66,203,0.37628173828125,1.0,1.0,87271,76
