model,volume_id,slice_index,sample_id,truth_pixels,predicted_pixels,detected,max_probability,max_truth_probability
control,104,0,v104_s0000,0,0,False,0.0,
control,104,1,v104_s0001,0,0,False,0.0,
control,104,2,v104_s0002,0,0,False,0.0,
control,104,3,v104_s0003,0,0,False,0.0,
control,104,4,v104_s0004,0,0,False,0.0,
control,104,5,v104_s0005,0,0,False,0.0,
control,104,6,v104_s0006,0,0,False,0.0,
control,104,7,v104_s0007,0,0,False,0.0,
control,104,8,v104_s0008,0,0,False,0.0,
control,104,9,v104_s0009,0,0,False,0.0,
control,104,10,v104_s0010,0,0,False,0.0,
control,104,11,v104_s0011,0,0,False,0.0,
control,104,12,v104_s0012,0,0,False,0.0,
control,104,13,v104_s0013,0,0,False,0.0,
control,104,14,v104_s0014,0,0,False,0.0,
control,104,15,v104_s0015,0,0,False,0.0,
control,104,16,v104_s0016,0,0,False,0.0,
control,104,17,v104_s0017,0,0,False,0.0,
control,104,18,v104_s0018,0,0,False,0.0,
control,104,19,v104_s0019,0,0,False,0.0,
control,104,20,v104_s0020,0,0,False,0.0,
control,104,21,v104_s0021,0,0,False,0.0,
control,104,22,v104_s0022,0,0,False,0.0,
control,104,23,v104_s0023,0,0,False,0.0,
control,104,24,v104_s0024,0,0,False,0.0,
control,104,25,v104_s0025,0,0,False,0.0,
control,104,26,v104_s0026,0,0,False,0.0,
control,104,27,v104_s0027,0,0,False,0.0,
control,104,28,v104_s0028,0,0,False,0.0,
control,104,29,v104_s0029,0,0,False,0.0,
control,104,30,v104_s0030,0,0,False,0.0,
control,104,31,v104_s0031,0,0,False,0.0,
control,104,32,v104_s0032,0,0,False,0.0,
control,104,33,v104_s0033,0,0,False,0.0,
control,104,34,v104_s0034,0,0,False,0.0,
control,104,35,v104_s0035,0,0,False,3.933906555175781e-06,
control,104,36,v104_s0036,0,0,False,0.0,
control,104,37,v104_s0037,0,0,False,0.0,
control,104,38,v104_s0038,0,0,False,0.0,
control,104,39,v104_s0039,0,62,False,1.0,
control,104,40,v104_s0040,0,0,False,0.0,
control,104,41,v104_s0041,0,0,False,0.0,
control,104,42,v104_s0042,0,99,False,0.99853515625,
control,104,43,v104_s0043,0,0,False,5.960464477539063e-08,
control,104,44,v104_s0044,0,0,False,0.0,
control,104,45,v104_s0045,0,0,False,0.0,
control,104,46,v104_s0046,0,0,False,0.0,
control,104,47,v104_s0047,0,0,False,0.0,
control,104,48,v104_s0048,0,0,False,0.0,
control,104,49,v104_s0049,0,0,False,0.0,
control,104,50,v104_s0050,0,0,False,0.0,
control,104,51,v104_s0051,0,0,False,0.0,
control,104,52,v104_s0052,0,0,False,0.0,
control,104,53,v104_s0053,0,0,False,0.0,
control,104,54,v104_s0054,0,0,False,0.0,
control,104,55,v104_s0055,0,0,False,9.5367431640625e-07,
control,104,56,v104_s0056,0,0,False,0.0,
control,104,57,v104_s0057,0,0,False,0.0,
control,104,58,v104_s0058,0,0,False,0.0,
control,104,59,v104_s0059,0,0,False,0.0,
control,104,60,v104_s0060,0,0,False,0.0,
control,104,61,v104_s0061,0,0,False,0.0,
control,104,62,v104_s0062,0,0,False,0.0,
control,104,63,v104_s0063,0,0,False,0.0,
control,104,64,v104_s0064,0,0,False,0.0,
control,104,65,v104_s0065,0,0,False,0.0,
control,104,66,v104_s0066,0,0,False,0.0,
control,104,67,v104_s0067,0,0,False,0.0,
control,104,68,v104_s0068,0,0,False,0.0,
control,104,69,v104_s0069,0,0,False,0.0,
control,104,70,v104_s0070,0,0,False,0.0,
control,104,71,v104_s0071,0,0,False,0.0,
control,104,72,v104_s0072,0,17,False,1.0,
control,104,73,v104_s0073,0,0,False,0.0,
control,104,74,v104_s0074,0,0,False,0.0,
control,104,75,v104_s0075,0,0,False,0.0,
control,104,76,v104_s0076,0,0,False,0.0,
control,104,77,v104_s0077,0,0,False,0.0,
control,104,78,v104_s0078,0,0,False,0.0,
control,104,79,v104_s0079,0,0,False,0.0,
control,104,80,v104_s0080,0,0,False,0.0,
control,104,81,v104_s0081,0,0,False,0.0,
control,104,82,v104_s0082,0,0,False,0.0,
