model,volume_id,slice_index,sample_id,truth_pixels,predicted_pixels,detected,max_probability,max_truth_probability,truth_size_quartile
control,116,495,v116_s0495,89,0,False,0.0,0.0,Q1
control,116,496,v116_s0496,93,0,False,0.0,0.0,Q1
control,116,497,v116_s0497,100,0,False,0.0,0.0,Q1
control,116,498,v116_s0498,104,0,False,0.0,0.0,Q1
control,116,499,v116_s0499,112,0,False,0.0,0.0,Q1
control,116,500,v116_s0500,119,0,False,0.0,0.0,Q1
control,116,501,v116_s0501,123,0,False,0.0,0.0,Q1
control,116,502,v116_s0502,134,0,False,0.0,0.0,Q1
control,116,503,v116_s0503,134,0,False,0.0013942718505859375,0.0,Q1
control,116,504,v116_s0504,142,0,False,0.0,0.0,Q1
control,116,505,v116_s0505,145,0,False,0.0,0.0,Q1
control,116,506,v116_s0506,151,0,False,0.0,0.0,Q1
control,116,507,v116_s0507,154,0,False,0.0,0.0,Q1
control,116,508,v116_s0508,158,0,False,0.0,0.0,Q1
control,116,509,v116_s0509,162,0,False,0.0,0.0,Q1
control,116,510,v116_s0510,166,0,False,0.0,0.0,Q1
control,116,511,v116_s0511,170,0,False,0.0,0.0,Q1
control,116,512,v116_s0512,174,0,False,0.0,0.0,Q1
control,116,513,v116_s0513,181,0,False,0.0,0.0,Q1
control,116,514,v116_s0514,188,0,False,0.0,0.0,Q1
control,116,515,v116_s0515,196,0,False,0.0,0.0,Q1
control,116,516,v116_s0516,202,0,False,0.0,0.0,Q1
control,116,517,v116_s0517,204,0,False,0.0,0.0,Q1
control,116,518,v116_s0518,213,0,False,0.0,0.0,Q1
control,116,519,v116_s0519,225,0,False,0.0,0.0,Q1
control,116,520,v116_s0520,234,0,False,0.0,0.0,Q1
control,116,521,v116_s0521,245,0,False,0.0,0.0,Q1
control,116,522,v116_s0522,263,0,False,0.0,0.0,Q1
control,116,523,v116_s0523,280,0,False,0.0,0.0,Q1
control,116,524,v116_s0524,302,0,False,0.0,0.0,Q1
control,116,525,v116_s0525,318,0,False,0.0,0.0,Q1
control,116,526,v116_s0526,340,0,False,0.0,0.0,Q1
control,116,527,v116_s0527,369,0,False,0.0,0.0,Q1
control,116,528,v116_s0528,394,0,False,0.0,0.0,Q1
control,116,529,v116_s0529,422,0,False,0.0,0.0,Q2
control,116,530,v116_s0530,456,0,False,0.0,0.0,Q2
control,116,531,v116_s0531,486,0,False,0.0,0.0,Q2
