policy,volume_id,slice_index,sample_id,truth_pixels,detected,max_truth_probability
control,104,282,v104_s0282,27,False,0.0
control,104,283,v104_s0283,34,False,0.0
control,104,284,v104_s0284,48,False,0.0
control,104,285,v104_s0285,68,False,0.0
control,104,286,v104_s0286,69,False,0.0
control,104,287,v104_s0287,76,False,0.0
control,104,288,v104_s0288,79,False,0.0
control,104,289,v104_s0289,87,False,0.0
control,104,290,v104_s0290,96,False,0.0
control,104,291,v104_s0291,93,False,0.0
control,104,292,v104_s0292,74,False,0.0
control,104,293,v104_s0293,74,False,0.0
control,104,294,v104_s0294,79,False,0.0
control,104,295,v104_s0295,83,False,0.0
control,104,296,v104_s0296,98,False,0.0
control,104,297,v104_s0297,135,False,0.0
control,104,298,v104_s0298,180,False,0.0
control,104,299,v104_s0299,167,False,0.0
control,104,300,v104_s0300,155,False,0.0
control,104,301,v104_s0301,165,False,0.0
control,104,302,v104_s0302,159,False,0.0
control,104,303,v104_s0303,135,False,0.0
control,104,304,v104_s0304,120,False,0.0
control,104,305,v104_s0305,130,False,0.0
control,104,306,v104_s0306,106,False,0.0
control,104,307,v104_s0307,100,False,0.0
control,104,308,v104_s0308,97,False,0.0
control,104,309,v104_s0309,105,False,0.0
control,104,310,v104_s0310,121,False,0.0
control,104,311,v104_s0311,148,False,0.0
control,104,312,v104_s0312,203,False,0.0
control,104,313,v104_s0313,313,False,0.0
control,104,314,v104_s0314,338,False,0.0
control,104,315,v104_s0315,388,True,1.0
control,104,316,v104_s0316,471,False,0.0
control,104,317,v104_s0317,506,False,0.0
control,104,318,v104_s0318,520,False,0.0
control,104,319,v104_s0319,594,True,0.9951171875
control,104,320,v104_s0320,631,True,0.99609375
control,104,321,v104_s0321,665,False,0.0
control,104,322,v104_s0322,705,False,0.0
control,104,323,v104_s0323,754,False,0.0
control,104,324,v104_s0324,773,True,0.95703125
control,104,325,v104_s0325,814,True,0.85888671875
control,104,326,v104_s0326,837,False,0.0
control,104,327,v104_s0327,854,False,0.0
control,104,328,v104_s0328,864,False,1.9669532775878906e-06
control,104,329,v104_s0329,913,False,0.0
control,104,330,v104_s0330,977,False,0.0
control,104,331,v104_s0331,1006,False,0.0
control,104,332,v104_s0332,1038,False,0.0
control,104,333,v104_s0333,1068,False,0.0
control,104,334,v104_s0334,1046,False,0.0
control,104,335,v104_s0335,1079,False,0.0
control,104,336,v104_s0336,1098,False,0.0
control,104,337,v104_s0337,1125,False,0.0
control,104,338,v104_s0338,1141,False,0.0
control,104,339,v104_s0339,1145,False,0.0
control,104,340,v104_s0340,1145,False,0.0
control,104,341,v104_s0341,1165,False,0.0
control,104,342,v104_s0342,1169,False,0.0
control,104,343,v104_s0343,1179,False,0.0
control,104,344,v104_s0344,1180,False,0.0
control,104,345,v104_s0345,1191,False,0.0
control,104,346,v104_s0346,1207,False,0.0
control,104,347,v104_s0347,1221,False,0.0
control,104,348,v104_s0348,1242,False,0.0
control,104,349,v104_s0349,1227,False,0.0
control,104,350,v104_s0350,1218,False,0.0
control,104,351,v104_s0351,1207,False,0.0
control,104,352,v104_s0352,1226,False,0.0
control,104,353,v104_s0353,1239,False,0.0
control,104,354,v104_s0354,1267,False,0.0
control,104,355,v104_s0355,1273,False,0.0
control,104,356,v104_s0356,1230,False,0.0
control,104,357,v104_s0357,1225,False,0.0
control,104,358,v104_s0358,1216,False,0.0
control,104,359,v104_s0359,1214,False,5.960464477539063e-08
control,104,360,v104_s0360,1193,False,0.0
control,104,361,v104_s0361,1155,False,0.0
control,104,362,v104_s0362,1149,False,0.0
control,104,363,v104_s0363,1110,False,0.0
control,104,364,v104_s0364,1089,False,0.0
control,104,365,v104_s0365,1062,False,0.0
control,104,366,v104_s0366,1050,False,0.0
control,104,367,v104_s0367,1037,False,0.0
control,104,368,v104_s0368,988,False,0.0
control,104,369,v104_s0369,975,False,0.0
control,104,370,v104_s0370,960,True,0.5400390625
control,104,371,v104_s0371,892,True,0.99951171875
control,104,372,v104_s0372,867,True,0.994140625
control,104,373,v104_s0373,826,True,1.0
control,104,374,v104_s0374,749,True,1.0
control,104,375,v104_s0375,696,True,1.0
control,104,376,v104_s0376,644,True,1.0
control,104,377,v104_s0377,601,True,1.0
control,104,378,v104_s0378,561,True,1.0
control,104,379,v104_s0379,507,True,1.0
control,104,380,v104_s0380,452,True,1.0
control,104,381,v104_s0381,412,True,1.0
control,104,382,v104_s0382,364,True,1.0
control,104,383,v104_s0383,202,True,1.0
control,104,384,v104_s0384,130,True,1.0
control,104,385,v104_s0385,25,False,0.0
control,104,386,v104_s0386,14,False,0.0
control,104,413,v104_s0413,5,True,1.0
control,104,414,v104_s0414,8,True,1.0
control,104,415,v104_s0415,7,True,1.0
control,104,416,v104_s0416,6,True,1.0
control,104,417,v104_s0417,2,False,0.0
control,104,423,v104_s0423,2,False,0.0
control,104,424,v104_s0424,3,False,0.0
control,104,425,v104_s0425,5,False,3.2782554626464844e-06
control,104,426,v104_s0426,8,True,1.0
control,104,427,v104_s0427,10,True,1.0
control,104,428,v104_s0428,12,True,1.0
control,104,429,v104_s0429,13,True,1.0
control,104,430,v104_s0430,10,True,1.0
control,104,431,v104_s0431,5,True,1.0
control,104,432,v104_s0432,3,True,1.0
control,104,433,v104_s0433,4,True,1.0
control,104,434,v104_s0434,4,False,0.0
recall_loss,104,282,v104_s0282,27,False,0.0
recall_loss,104,283,v104_s0283,34,False,0.0
recall_loss,104,284,v104_s0284,48,False,0.0
recall_loss,104,285,v104_s0285,68,False,0.0
recall_loss,104,286,v104_s0286,69,True,0.76611328125
recall_loss,104,287,v104_s0287,76,False,0.012298583984375
recall_loss,104,288,v104_s0288,79,False,0.0
recall_loss,104,289,v104_s0289,87,False,0.0
recall_loss,104,290,v104_s0290,96,False,0.0
recall_loss,104,291,v104_s0291,93,False,0.00315093994140625
recall_loss,104,292,v104_s0292,74,False,0.0
recall_loss,104,293,v104_s0293,74,False,0.0
recall_loss,104,294,v104_s0294,79,False,0.0
recall_loss,104,295,v104_s0295,83,False,0.0
recall_loss,104,296,v104_s0296,98,False,1.9669532775878906e-06
recall_loss,104,297,v104_s0297,135,True,0.99951171875
recall_loss,104,298,v104_s0298,180,False,0.119384765625
recall_loss,104,299,v104_s0299,167,False,0.0
recall_loss,104,300,v104_s0300,155,False,0.0
recall_loss,104,301,v104_s0301,165,False,0.0
recall_loss,104,302,v104_s0302,159,False,0.0
recall_loss,104,303,v104_s0303,135,False,0.0001283884048461914
recall_loss,104,304,v104_s0304,120,True,1.0
recall_loss,104,305,v104_s0305,130,True,1.0
recall_loss,104,306,v104_s0306,106,False,0.11712646484375
recall_loss,104,307,v104_s0307,100,False,0.0
recall_loss,104,308,v104_s0308,97,False,0.0
recall_loss,104,309,v104_s0309,105,False,0.0
recall_loss,104,310,v104_s0310,121,False,0.0
recall_loss,104,311,v104_s0311,148,False,0.0
recall_loss,104,312,v104_s0312,203,False,0.0
recall_loss,104,313,v104_s0313,313,False,0.0
recall_loss,104,314,v104_s0314,338,False,0.0
recall_loss,104,315,v104_s0315,388,True,0.646484375
recall_loss,104,316,v104_s0316,471,False,0.0
recall_loss,104,317,v104_s0317,506,False,0.0
recall_loss,104,318,v104_s0318,520,False,0.0
recall_loss,104,319,v104_s0319,594,False,0.0134124755859375
recall_loss,104,320,v104_s0320,631,False,0.0
recall_loss,104,321,v104_s0321,665,False,0.0
recall_loss,104,322,v104_s0322,705,False,0.482177734375
recall_loss,104,323,v104_s0323,754,False,0.0
recall_loss,104,324,v104_s0324,773,True,0.76025390625
recall_loss,104,325,v104_s0325,814,True,0.966796875
recall_loss,104,326,v104_s0326,837,False,0.0
recall_loss,104,327,v104_s0327,854,False,0.0
recall_loss,104,328,v104_s0328,864,False,0.0
recall_loss,104,329,v104_s0329,913,False,0.0
recall_loss,104,330,v104_s0330,977,False,0.0
recall_loss,104,331,v104_s0331,1006,False,0.0
recall_loss,104,332,v104_s0332,1038,False,0.0
recall_loss,104,333,v104_s0333,1068,False,0.0
recall_loss,104,334,v104_s0334,1046,False,0.0
recall_loss,104,335,v104_s0335,1079,False,0.0
recall_loss,104,336,v104_s0336,1098,False,0.0
recall_loss,104,337,v104_s0337,1125,False,0.0
recall_loss,104,338,v104_s0338,1141,False,0.0
recall_loss,104,339,v104_s0339,1145,False,0.0
recall_loss,104,340,v104_s0340,1145,False,0.0
recall_loss,104,341,v104_s0341,1165,False,0.0
recall_loss,104,342,v104_s0342,1169,False,0.0
recall_loss,104,343,v104_s0343,1179,False,0.0
recall_loss,104,344,v104_s0344,1180,False,0.0
recall_loss,104,345,v104_s0345,1191,False,0.0
recall_loss,104,346,v104_s0346,1207,False,0.0
recall_loss,104,347,v104_s0347,1221,False,0.0
recall_loss,104,348,v104_s0348,1242,False,0.0
recall_loss,104,349,v104_s0349,1227,False,0.0
recall_loss,104,350,v104_s0350,1218,False,0.0
recall_loss,104,351,v104_s0351,1207,False,0.0
recall_loss,104,352,v104_s0352,1226,False,0.0
recall_loss,104,353,v104_s0353,1239,False,0.0
recall_loss,104,354,v104_s0354,1267,False,0.0
recall_loss,104,355,v104_s0355,1273,False,5.960464477539063e-08
recall_loss,104,356,v104_s0356,1230,False,0.0
recall_loss,104,357,v104_s0357,1225,False,0.0
recall_loss,104,358,v104_s0358,1216,False,2.9146671295166016e-05
recall_loss,104,359,v104_s0359,1214,True,0.994140625
recall_loss,104,360,v104_s0360,1193,True,1.0
recall_loss,104,361,v104_s0361,1155,True,1.0
recall_loss,104,362,v104_s0362,1149,True,1.0
recall_loss,104,363,v104_s0363,1110,True,0.99853515625
recall_loss,104,364,v104_s0364,1089,True,1.0
recall_loss,104,365,v104_s0365,1062,True,0.93310546875
recall_loss,104,366,v104_s0366,1050,True,0.98779296875
recall_loss,104,367,v104_s0367,1037,True,1.0
recall_loss,104,368,v104_s0368,988,True,1.0
recall_loss,104,369,v104_s0369,975,True,0.99951171875
recall_loss,104,370,v104_s0370,960,True,1.0
recall_loss,104,371,v104_s0371,892,True,1.0
recall_loss,104,372,v104_s0372,867,True,1.0
recall_loss,104,373,v104_s0373,826,True,1.0
recall_loss,104,374,v104_s0374,749,True,1.0
recall_loss,104,375,v104_s0375,696,True,1.0
recall_loss,104,376,v104_s0376,644,True,1.0
recall_loss,104,377,v104_s0377,601,True,1.0
recall_loss,104,378,v104_s0378,561,True,1.0
recall_loss,104,379,v104_s0379,507,True,1.0
recall_loss,104,380,v104_s0380,452,True,1.0
recall_loss,104,381,v104_s0381,412,True,1.0
recall_loss,104,382,v104_s0382,364,True,1.0
recall_loss,104,383,v104_s0383,202,True,1.0
recall_loss,104,384,v104_s0384,130,True,0.74755859375
recall_loss,104,385,v104_s0385,25,False,0.0
recall_loss,104,386,v104_s0386,14,False,0.0
recall_loss,104,413,v104_s0413,5,True,0.94580078125
recall_loss,104,414,v104_s0414,8,True,1.0
recall_loss,104,415,v104_s0415,7,True,1.0
recall_loss,104,416,v104_s0416,6,False,3.5762786865234375e-07
recall_loss,104,417,v104_s0417,2,False,0.0
recall_loss,104,423,v104_s0423,2,False,0.0
recall_loss,104,424,v104_s0424,3,False,0.0
recall_loss,104,425,v104_s0425,5,False,1.1920928955078125e-07
recall_loss,104,426,v104_s0426,8,True,1.0
recall_loss,104,427,v104_s0427,10,True,1.0
recall_loss,104,428,v104_s0428,12,True,1.0
recall_loss,104,429,v104_s0429,13,True,1.0
recall_loss,104,430,v104_s0430,10,True,1.0
recall_loss,104,431,v104_s0431,5,True,1.0
recall_loss,104,432,v104_s0432,3,False,7.212162017822266e-06
recall_loss,104,433,v104_s0433,4,False,0.00262451171875
recall_loss,104,434,v104_s0434,4,False,0.0
maximum,104,282,v104_s0282,27,False,0.0
maximum,104,283,v104_s0283,34,False,0.0
maximum,104,284,v104_s0284,48,False,0.0
maximum,104,285,v104_s0285,68,False,0.0
maximum,104,286,v104_s0286,69,True,0.76611328125
maximum,104,287,v104_s0287,76,False,0.012298583984375
maximum,104,288,v104_s0288,79,False,0.0
maximum,104,289,v104_s0289,87,False,0.0
maximum,104,290,v104_s0290,96,False,0.0
maximum,104,291,v104_s0291,93,False,0.00315093994140625
maximum,104,292,v104_s0292,74,False,0.0
maximum,104,293,v104_s0293,74,False,0.0
maximum,104,294,v104_s0294,79,False,0.0
maximum,104,295,v104_s0295,83,False,0.0
maximum,104,296,v104_s0296,98,False,1.9669532775878906e-06
maximum,104,297,v104_s0297,135,True,0.99951171875
maximum,104,298,v104_s0298,180,False,0.119384765625
maximum,104,299,v104_s0299,167,False,0.0
maximum,104,300,v104_s0300,155,False,0.0
maximum,104,301,v104_s0301,165,False,0.0
maximum,104,302,v104_s0302,159,False,0.0
maximum,104,303,v104_s0303,135,False,0.0001283884048461914
maximum,104,304,v104_s0304,120,True,1.0
maximum,104,305,v104_s0305,130,True,1.0
maximum,104,306,v104_s0306,106,False,0.11712646484375
maximum,104,307,v104_s0307,100,False,0.0
maximum,104,308,v104_s0308,97,False,0.0
maximum,104,309,v104_s0309,105,False,0.0
maximum,104,310,v104_s0310,121,False,0.0
maximum,104,311,v104_s0311,148,False,0.0
maximum,104,312,v104_s0312,203,False,0.0
maximum,104,313,v104_s0313,313,False,0.0
maximum,104,314,v104_s0314,338,False,0.0
maximum,104,315,v104_s0315,388,True,1.0
maximum,104,316,v104_s0316,471,False,0.0
maximum,104,317,v104_s0317,506,False,0.0
maximum,104,318,v104_s0318,520,False,0.0
maximum,104,319,v104_s0319,594,True,0.9951171875
maximum,104,320,v104_s0320,631,True,0.99609375
maximum,104,321,v104_s0321,665,False,0.0
maximum,104,322,v104_s0322,705,False,0.482177734375
maximum,104,323,v104_s0323,754,False,0.0
maximum,104,324,v104_s0324,773,True,0.95703125
maximum,104,325,v104_s0325,814,True,0.966796875
maximum,104,326,v104_s0326,837,False,0.0
maximum,104,327,v104_s0327,854,False,0.0
maximum,104,328,v104_s0328,864,False,1.9669532775878906e-06
maximum,104,329,v104_s0329,913,False,0.0
maximum,104,330,v104_s0330,977,False,0.0
maximum,104,331,v104_s0331,1006,False,0.0
maximum,104,332,v104_s0332,1038,False,0.0
maximum,104,333,v104_s0333,1068,False,0.0
maximum,104,334,v104_s0334,1046,False,0.0
maximum,104,335,v104_s0335,1079,False,0.0
maximum,104,336,v104_s0336,1098,False,0.0
maximum,104,337,v104_s0337,1125,False,0.0
maximum,104,338,v104_s0338,1141,False,0.0
maximum,104,339,v104_s0339,1145,False,0.0
maximum,104,340,v104_s0340,1145,False,0.0
maximum,104,341,v104_s0341,1165,False,0.0
maximum,104,342,v104_s0342,1169,False,0.0
maximum,104,343,v104_s0343,1179,False,0.0
maximum,104,344,v104_s0344,1180,False,0.0
maximum,104,345,v104_s0345,1191,False,0.0
maximum,104,346,v104_s0346,1207,False,0.0
maximum,104,347,v104_s0347,1221,False,0.0
maximum,104,348,v104_s0348,1242,False,0.0
maximum,104,349,v104_s0349,1227,False,0.0
maximum,104,350,v104_s0350,1218,False,0.0
maximum,104,351,v104_s0351,1207,False,0.0
maximum,104,352,v104_s0352,1226,False,0.0
maximum,104,353,v104_s0353,1239,False,0.0
maximum,104,354,v104_s0354,1267,False,0.0
maximum,104,355,v104_s0355,1273,False,5.960464477539063e-08
maximum,104,356,v104_s0356,1230,False,0.0
maximum,104,357,v104_s0357,1225,False,0.0
maximum,104,358,v104_s0358,1216,False,2.9146671295166016e-05
maximum,104,359,v104_s0359,1214,True,0.994140625
maximum,104,360,v104_s0360,1193,True,1.0
maximum,104,361,v104_s0361,1155,True,1.0
maximum,104,362,v104_s0362,1149,True,1.0
maximum,104,363,v104_s0363,1110,True,0.99853515625
maximum,104,364,v104_s0364,1089,True,1.0
maximum,104,365,v104_s0365,1062,True,0.93310546875
maximum,104,366,v104_s0366,1050,True,0.98779296875
maximum,104,367,v104_s0367,1037,True,1.0
maximum,104,368,v104_s0368,988,True,1.0
maximum,104,369,v104_s0369,975,True,0.99951171875
maximum,104,370,v104_s0370,960,True,1.0
maximum,104,371,v104_s0371,892,True,1.0
maximum,104,372,v104_s0372,867,True,1.0
maximum,104,373,v104_s0373,826,True,1.0
maximum,104,374,v104_s0374,749,True,1.0
maximum,104,375,v104_s0375,696,True,1.0
maximum,104,376,v104_s0376,644,True,1.0
maximum,104,377,v104_s0377,601,True,1.0
maximum,104,378,v104_s0378,561,True,1.0
maximum,104,379,v104_s0379,507,True,1.0
maximum,104,380,v104_s0380,452,True,1.0
maximum,104,381,v104_s0381,412,True,1.0
maximum,104,382,v104_s0382,364,True,1.0
maximum,104,383,v104_s0383,202,True,1.0
maximum,104,384,v104_s0384,130,True,1.0
maximum,104,385,v104_s0385,25,False,0.0
maximum,104,386,v104_s0386,14,False,0.0
maximum,104,413,v104_s0413,5,True,1.0
maximum,104,414,v104_s0414,8,True,1.0
maximum,104,415,v104_s0415,7,True,1.0
maximum,104,416,v104_s0416,6,True,1.0
maximum,104,417,v104_s0417,2,False,0.0
maximum,104,423,v104_s0423,2,False,0.0
maximum,104,424,v104_s0424,3,False,0.0
maximum,104,425,v104_s0425,5,False,3.2782554626464844e-06
maximum,104,426,v104_s0426,8,True,1.0
maximum,104,427,v104_s0427,10,True,1.0
maximum,104,428,v104_s0428,12,True,1.0
maximum,104,429,v104_s0429,13,True,1.0
maximum,104,430,v104_s0430,10,True,1.0
maximum,104,431,v104_s0431,5,True,1.0
maximum,104,432,v104_s0432,3,True,1.0
maximum,104,433,v104_s0433,4,True,1.0
maximum,104,434,v104_s0434,4,False,0.0
control75_recall25,104,282,v104_s0282,27,False,0.0
control75_recall25,104,283,v104_s0283,34,False,0.0
control75_recall25,104,284,v104_s0284,48,False,0.0
control75_recall25,104,285,v104_s0285,68,False,0.0
control75_recall25,104,286,v104_s0286,69,False,0.1915283203125
control75_recall25,104,287,v104_s0287,76,False,0.00307464599609375
control75_recall25,104,288,v104_s0288,79,False,0.0
control75_recall25,104,289,v104_s0289,87,False,0.0
control75_recall25,104,290,v104_s0290,96,False,0.0
control75_recall25,104,291,v104_s0291,93,False,0.0007877349853515625
control75_recall25,104,292,v104_s0292,74,False,0.0
control75_recall25,104,293,v104_s0293,74,False,0.0
control75_recall25,104,294,v104_s0294,79,False,0.0
control75_recall25,104,295,v104_s0295,83,False,0.0
control75_recall25,104,296,v104_s0296,98,False,4.917383193969727e-07
control75_recall25,104,297,v104_s0297,135,False,0.2498779296875
control75_recall25,104,298,v104_s0298,180,False,0.02984619140625
control75_recall25,104,299,v104_s0299,167,False,0.0
control75_recall25,104,300,v104_s0300,155,False,0.0
control75_recall25,104,301,v104_s0301,165,False,0.0
control75_recall25,104,302,v104_s0302,159,False,0.0
control75_recall25,104,303,v104_s0303,135,False,3.209710121154785e-05
control75_recall25,104,304,v104_s0304,120,False,0.25
control75_recall25,104,305,v104_s0305,130,False,0.25
control75_recall25,104,306,v104_s0306,106,False,0.0292816162109375
control75_recall25,104,307,v104_s0307,100,False,0.0
control75_recall25,104,308,v104_s0308,97,False,0.0
control75_recall25,104,309,v104_s0309,105,False,0.0
control75_recall25,104,310,v104_s0310,121,False,0.0
